source_headword	TE	example_TE
strengthen	బలోపేతం చేయు	కొత్త విధానం ఆన్‌లైన్ భద్రతను బలోపేతం చేస్తుంది.
strictly	ఖచ్చితంగా	టిక్కెట్లు ఖచ్చಿತంగా ఒకరికి రెండు మాత్రమే పరిమితం చేయబడ్డాయి.
striking	ఆకర్షణీయమైన	ఈ పెయింటింగ్‌లో ఆకర్షణీయమైన రంగులు ఉన్నాయి.
stroke	గీత	ఆమె కాగితం మీద ఒక గీత గీసింది.
stunning	అద్భుతమైన	పర్వత దృశ్యం అద్భుతంగా ఉంది.
subsequent	తదుపరి	తదుపరి సమావేశం బడ్జెట్‌ను నిర్ధారించింది.
subsequently	ఆ తర్వాత	రహదారి మూసివేయబడింది; ఆ తర్వాత, ట్రాఫిక్ నెమ్మదిగా కదిలింది.
suburb	శివారు ప్రాంతం	వారు ప్రశాంతమైన శివారు ప్రాంతంలో నివసిస్తున్నారు.
suffering	బాధ	మందు అతని బాధను తగ్గించింది.
sufficient	తగినంత	జట్టుకు తగినంత సమయం ఉంది.
sufficiently	తగినంతగా	గది తగినంతగా వెచ్చగా ఉంది.
super	సూపర్	కొత్త టాబ్లెట్ సూపర్ ఫాస్ట్‌గా ఉంది.
surgeon	శస్త్రవైద్యుడు	శస్త్రవైద్యుడు దెబ్బతిన్న మోకాలిని బాగుచేశాడు.
survival	మనుగడ	మనుగడకు స్వచ్ఛమైన నీరు అవసరం.
survivor	ప్రాణాలతో బయటపడిన వ్యక్తి	ప్రాణాలతో బయటపడిన వ్యక్తి వరదను వివరించాడు.
suspend	తాత్కాలికంగా నిలిపివేయు	పాఠశాల పర్యటనను తాత్కాలికంగా నిలిపివేయవచ్చు.
sustainable	స్థిరమైన	వ్యవసాయ క్షేత్రం స్థిరమైన పద్ధతులను ఉపయోగిస్తుంది.
swallow	మింగు	మాత్రను నీటితో మింగండి.
sympathetic	సానుభూతి గల	మేనేజర్ ఆమె సమస్య పట్ల సానుభూతితో ఉన్నాడు.
tackle	పరిష్కరించు	మనం గృహ సమస్యను పరిష్కరించాలి.
tag	ట్యాగ్	ఆ బ్యాగ్‌కు ధర ట్యాగ్ ఉంది.
tap	కుళాయి	ఆమె కుళాయిని కట్టేసింది.
technological	సాంకేతిక	సాంకేతిక మార్పు ప్రతి కార్యాలయాన్ని ప్రభావితం చేస్తుంది.
teens	కౌమారదశలో ఉన్నవారు	చాలా మంది కౌమారదశలో ఉన్నవారు ప్రతిరోజూ సోషల్ మీడియాను ఉపయోగిస్తారు.
