source_headword	TE	example_TE
absorb	గ్రహించు	టవల్ నీటిని త్వరగా పీల్చుకుంటుంది.
abstract	నైరూప్య	ఉపన్యాసం నైరూప్య ఆలోచనలను చర్చించింది.
accent	యాస	ఆమె యాసను అర్థం చేసుకోవడం సులభం.
accidentally	పొరపాటున	నేను పొరపాటున ఫైల్‌ను తొలగించాను.
accommodate	అనుకూలపరచు	హోటల్ పెద్ద కుటుంబాలకు వసతి కల్పించగలదు.
accomplish	సాధించు	ఆమె జూన్ లోపు తన లక్ష్యాన్ని సాధించింది.
accountant	అకౌంటెంట్	అకౌంటెంట్ ఇన్‌వాయిస్‌ను తనిఖీ చేశారు.
accuracy	ఖచ్చితత్వం	ఈ పరీక్ష చదవడంలో కచ్చితత్వాన్ని కొలుస్తుంది.
accurately	ఖచ్చితంగా	మ్యాప్ మార్గాన్ని కచ్చితంగా చూపుతుంది.
acid	ఆమ్లం	ఆమ్లం లోహపు ఉపరితలాన్ని దెబ్బతీసింది.
activate	సక్రియం చేయు	అలారం సక్రియం చేయడానికి బటన్‌ను నొక్కండి.
addiction	వ్యసనం	అతని వ్యసనం అతని పనిపై ప్రభావం చూపింది.
additionally	అదనంగా	అదనంగా, మాకు మరిన్ని కుర్చీలు కావాలి.
adequate	తగినంత	గదిలో తగినంత కాంతి ఉంది.
adequately	తగినంతగా	నివేదిక సమస్యను తగినంతగా వివరించింది.
adjust	సర్దుబాటు చేయు	డ్రైవింగ్ చేయడానికి ముందు సీటును సర్దుబాటు చేయండి.
affordable	సరసమైన	ఈ అపార్ట్‌మెంట్ విద్యార్థులకు సరసమైన ధరకు లభిస్తుంది.
agriculture	వ్యవసాయం	వ్యవసాయం అనేక గ్రామీణ కుటుంబాలకు మద్దతు ఇస్తుంది.
AIDS	ఎయిడ్స్	వైద్యులు ఆధునిక వైద్యంతో ఎయిడ్స్‌కు చికిత్స చేస్తారు.
alien	గ్రహాంతరవాసి	ఈ చిత్రం ఒక గ్రహాంతర గ్రహాన్ని చూపుతుంది.
alongside	పక్కన	బైక్ మార్గం నది పక్కన ఉంటుంది.
altogether	పూర్తిగా	మొత్తంగా, ఈ ప్రాజెక్ట్‌కు ఆరు వారాలు పట్టింది.
ambulance	అంబులెన్స్	అంబులెన్స్ కొద్ది నిమిషాల్లోనే వచ్చింది.
amusing	వినోదభరితమైన	ఆ కథ వినోదభరితంగా మరియు తేలికగా ఉంది.
analyst	విశ్లేషకుడు	విశ్లేషకుడు విక్రయాల డేటాను సమీక్షించారు.
ancestor	పూర్వీకుడు	నా పూర్వీకుడు ఈ గ్రామానికి సమీపంలో నివసించారు.
animation	యానిమేషన్	యానిమేషన్ పాఠాన్ని మరింత స్పష్టంగా చేసింది.
annually	ఏటా	ఈ పండుగ ఏటా జరుగుతుంది.
anticipate	ఊహించు	రేపు భారీ ట్రాఫిక్ ఉంటుందని మేము అంచనా వేస్తున్నాము.
anxiety	ఆందోళన	ఆందోళన వల్ల నిద్ర పట్టడం కష్టమవుతుంది.
apology	క్షమాపణ	ఆమె హృదయపూర్వక క్షమాపణ చెప్పింది.
applicant	దరఖాస్తుదారు	దరఖాస్తుదారు కొత్త రెజ్యూమ్‌ను పంపారు.
appropriately	తగిన విధంగా	దయచేసి ఇంటర్వ్యూకు తగినట్లుగా దుస్తులు ధరించండి.
arrow	బాణం	ఆ బాణం నిష్క్రమణను సూచిస్తుంది.
artwork	కళాకృతి	మ్యూజియం స్థానిక కళాకృతిని ప్రదర్శించింది.
aside	పక్కన	అతన్ని వెళ్లనివ్వడానికి ఆమె పక్కకు తప్పుకుంది.
asset	ఆస్తి	అనుభవం అనేది ఒక విలువైన ఆస్తి.
assign	అప్పగించు	ఉపాధ్యాయుడు ఈ రోజు హోమ్‌వర్క్ అప్పగించారు.
assistance	సహాయం	దయచేసి సహాయం కోసం సిబ్బందిని అడగండి.
assumption	ఊహ	ఆ ఊహ తప్పు కావచ్చు.
assure	హామీ ఇచ్చు	తలుపు తాళం వేయబడిందని నేను మీకు భరోసా ఇస్తున్నాను.
astonishing	ఆశ్చర్యకరమైన	కొండప్రాంతం నుండి కనిపించే దృశ్యం ఆశ్చర్యపరిచేలా ఉంది.
attachment	జోడింపు	ఇమెయిల్‌లో ఒక జోడింపు ఉంది.
auction	వేలం	ఆ పెయింటింగ్ వేలంలో అమ్ముడైంది.
audio	ఆడియో	ఆడియో రికార్డింగ్ స్పష్టంగా వినిపిస్తుంది.
automatic	స్వయంచాలక	ఈ తలుపుకు స్వయంచాలక తాళం ఉంది.
automatically	స్వయంచాలకంగా	లైట్లు స్వయంచాలకంగా ఆన్ అవుతాయి.
awareness	అవగాహన	ప్రచారం ప్రజల్లో అవగాహన పెంచింది.
awkward	ఇబ్బందికరమైన	ఆ నిశ్శబ్దం ఇబ్బందికరంగా అనిపించింది.
badge	బ్యాడ్జ్	సందర్శకులు తప్పనిసరిగా బ్యాడ్జ్ ధరించాలి.
balanced	సమతుల్య	సమతుల్య ఆహారంలో కూరగాయలు ఉంటాయి.
ballet	బ్యాలే	ఆమె పాఠశాల తర్వాత బ్యాలే నేర్చుకుంటుంది.
balloon	బెలూన్	బెలూన్ టేబుల్ పైన తేలింది.
barely	కష్టంగా	అతను ప్రకటనను అతి కష్టంగా విన్నాడు.
bargain	బేరం	ఆ జాకెట్ నిజంగా లాభసాటి బేరం.
basement	బేస్మెంట్	పెట్టెలు నేలమాళిగలో ఉన్నాయి.
basket	బుట్ట	ఆమె యాపిల్స్‌ను బుట్టలో పెట్టింది.
bat	బ్యాట్	గబ్బిలం ಗುహలోంచి బయటకు ఎగిరింది.
beneficial	ప్రయోజనకరమైన	క్రమం తప్పకుండా వ్యాయామం చేయడం ఆరోగ్యానికి ప్రయోజనకరం.
beside	పక్కన	దీపం సోఫా పక్కన ఉంది.
besides	అదనంగా	గణితంతో పాటు, అతను రసాయన శాస్త్రం కూడా చదువుతాడు.
bias	పక్షపాతం	ఆ వ్యాసం స్పష్టమైన పక్షపాతాన్ని చూపించింది.
bid	వేలం	ఆ కంపెనీ ఎక్కువ బిడ్ వేసింది.
biological	జీవసంబంధమైన	జీవసంబంధమైన పరీక్ష ఫలితాన్ని నిర్ధారించింది.
blanket	దుప్పటి	ఆ బిడ్డ దుప్పటి కప్పుకుని నిద్రపోయాడు.
blow	దెబ్బ	బలమైన దెబ్బకు కిటికీ పగిలింది.
bold	ధైర్యమైన	ఆ శీర్షికలో మందపాటి అక్షరాలను ఉపయోగించారు.
bombing	బాంబు దాడులు	బాంబు దాడి వల్ల పలు భవనాలు దెబ్బతిన్నాయి.
booking	బుకింగ్	నేను హోటల్ బుకింగ్‌ని నిర్ధారించాను.
boost	ప్రోత్సాహం	ఆ గెలుపు జట్టులో ఆత్మవిశ్వాసాన్ని పెంచింది.
bound	కట్టుబడి	పార్శిల్‌ను దారంతో కట్టారు.
brick	ఇటుక	ఆ గోడను ఇటుకతో కట్టారు.
briefly	క్లుప్తంగా	భోజనం తర్వాత ఆమె క్లుప్తంగా మాట్లాడింది.
broadcaster	ప్రసారకర్త	ప్రసారకర్త మేయర్‌ను ఇంటర్వ్యూ చేశారు.
broadly	విస్తృతంగా	ఈ రెండు ప్రణాళికలు స్థూలంగా ఒకేలా ఉన్నాయి.
bug	బగ్	ఒక బగ్ కారణంగా యాప్ ఆగిపోయింది.
cabin	క్యాబిన్	మేము ఒక చిన్న క్యాబిన్‌లో బస చేశాము.
canal	కాలువ	పడవలు కాలువ గుండా నెమ్మదిగా కదిలాయి.
candle	కొవ్వొత్తి	కొవ్వొత్తి టేబుల్ మీద వెలుగుతోంది.
carbon	కార్బన్	చెట్లు గాలిలోని కార్బన్‌ను పీల్చుకుంటాయి.
