source_headword	ES-419	example_ES-419
abolish	abolir	La ley abolirá la antigua tarifa.
abortion	el aborto	El aborto sigue siendo un tema médico delicado.
absence	la ausencia	Su ausencia retrasó la decisión final.
absent	ausente	Dos miembros estuvieron ausentes de la clase.
absurd	absurdo	La afirmación sonó absurda para todos.
abundance	la abundancia	El valle tiene una abundancia de agua.
abuse	el abuso	El informe describió abusos en el lugar de trabajo.
academy	la academia	La academia entrena a jóvenes músicos.
accelerate	acelerar	Los nuevos fondos acelerarán la investigación.
acceptance	la aceptación	Su aceptación de las críticas me impresionó.
accessible	accesible	El museo es accesible para usuarios de sillas de ruedas.
accomplishment	el logro	Terminar el libro fue un verdadero logro.
accordance	la conformidad	El trabajo se realizó en conformidad con la política.
accordingly	en consecuencia	La evidencia cambió, y actuamos en consecuencia.
accountability	la responsabilidad	La política aumenta la responsabilidad de los gerentes.
accountable	responsable	Los gerentes son responsables de la seguridad.
accumulate	acumular	El polvo puede acumularse detrás de la pantalla.
accumulation	la acumulación	La acumulación de datos tomó meses.
accusation	la acusación	La acusación sorprendió al comité.
accused	el acusado	El acusado compareció ante el tribunal.
acquisition	la adquisición	La adquisición expandió la empresa rápidamente.
acre	el acre	La granja cubre un acre.
activation	la activación	La activación de la tarjeta toma minutos.
activist	el activista	El activista habló en la manifestación.
acute	agudo	Ella sintió un dolor agudo después de correr.
adaptation	la adaptación	La adaptación cambió el final de la novela.
adhere	adherirse	El personal debe adherirse a las reglas de seguridad.
adjacent	adyacente	El hotel es adyacente a la estación.
adjustment	el ajuste	Un pequeño ajuste solucionó el problema.
administer	administrar	Las enfermeras administran la vacuna con cuidado.
administrative	administrativo	El personal administrativo se encarga de los formularios.
administrator	el administrador	El administrador restableció mi contraseña.
admission	la admisión	La admisión al museo es gratuita.
adolescent	el adolescente	El adolescente necesitó apoyo extra.
adoption	la adopción	La adopción le dio al niño un hogar estable.
adverse	adverso	El medicamento causó efectos adversos.
advocate	el defensor	El defensor defendió los derechos de los inquilinos.
aesthetic	estético	La habitación tiene un estilo estético tranquilo.
affection	el afecto	Ella mostró afecto por su familia.
aftermath	las secuelas	Las secuelas de la tormenta fueron difíciles.
aggression	la agresión	El profesor notó la agresión durante el recreo.
agricultural	agrícola	Las exportaciones agrícolas aumentaron este año.
aide	el ayudante	El ayudante organizó la agenda del ministro.
albeit	aunque	El plan funcionó, aunque lentamente.
alert	alertar	Por favor, alerte al personal de inmediato.
align	alinear	Las flechas se alinean con la carretera.
alignment	la alineación	La alineación de las ruedas mejoró el manejo del auto.
alike	igual	Los gemelos se visten igual los fines de semana.
allegation	la alegación	La alegación apareció en el periódico.
allege	alegar	Ellos alegan que los fondos se perdieron.
allegedly	presuntamente	El conductor presuntamente ignoró la advertencia.
alliance	la alianza	Los partidos formaron una alianza temporal.
allocate	asignar	La ciudad asignará fondos para las escuelas.
allocation	la asignación	La asignación de asientos fue injusta.
allowance	la mesada	Su mesada cubre el almuerzo y el transporte.
ally	el aliado	Canadá se convirtió en un aliado cercano.
aluminium	el aluminio	El marco está hecho de aluminio.
amateur	aficionado	Un fotógrafo aficionado tomó la foto.
ambassador	el embajador	El embajador se reunió con estudiantes locales.
amend	modificar	El parlamento votó para modificar la ley.
amendment	la enmienda	La enmienda cambió un párrafo.
amid	en medio de	El discurso se dio en medio de una creciente tensión.
analogy	la analogía	El profesor usó una analogía simple.
anchor	el ancla	El barco echó el ancla cerca de la isla.
angel	el ángel	El niño usó un disfraz de ángel.
anonymous	anónimo	La queja fue anónima.
apparatus	el aparato	El aparato de laboratorio necesita limpieza.
