source_headword	SL	example_SL
prey	plen	Sove ponoči lovijo plen.
privatization	privatizacija	Privatizacija je spremenila železniški sistem.
privilege	privilegij	Izobrazba ne bi smela biti privilegij.
probe	preiskava	Preiskava je razkrila resne napake.
problematic	problematičen	Sporazum ostaja problematičen.
proceedings	postopek	Sodni postopek se je začel v ponedeljek.
proceeds	izkupiček	Izkupiček bo podprl lokalne šole.
processing	obdelava	Obdelava slik vzame nekaj časa.
processor	procesor	Procesor je med testiranjem odpovedal.
proclaim	razglasiti	Voditelji prehitro razglasijo zmago.
productive	produktiven	Sestanek je bil produktiven.
productivity	produktivnost	Produktivnost se je po usposabljanju izboljšala.
profitable	donosen	Trgovina je letos postala donosna.
profound	globok	Govor je imel globok učinek.
projection	projekcija	Projekcija kaže stalno rast.
prominent	ugleden	Postala je ugledna znanstvenica.
pronounced	izrazit	Njegov naglas je postal izrazitejši.
propaganda	propaganda	Kampanja je uporabljala propagando na spletu.
proposition	predlog	Predlog je tvegana zadeva.
prosecute	preganjati	Uradniki preganjajo resne primere goljufij.
prosecution	tožilstvo	Tožilstvo je predstavilo nove dokaze.
prosecutor	tožilec	Tožilec je zaslišal pričo.
prospective	bodoči	Bodoči študenti so si ogledali kampus.
prosperity	blaginja	Trgovina je regiji prinesla blaginjo.
protective	zaščiten	Nosila je zaščitne rokavice.
protocol	protokol	Protokol zahteva pisno odobritev.
province	provinca	Provinca je vlagala v promet.
provincial	provincialen	Provincialni uradniki so oznanili načrt.
provision	določba	Pogodba vključuje varnostno določbo.
provoke	izzvati	Govor lahko izzove močne odzive.
psychiatric	psihiatričen	Bolnišnica je odprla psihiatrični oddelek.
pulse	utrip	Medicinska sestra mu je preverila utrip.
pump	črpalka	Črpalka potiska vodo navzgor.
punch	udarec	V jezi je zadal udarec.
query	poizvedba	Pošljite svojo poizvedbo podpori.
quest	iskanje	Njihovo iskanje pravice se je nadaljevalo.
quota	kvota	Ekipa je dosegla prodajno kvoto.
radar	radar	Nevihta se je pojavila na radarju.
radical	radikalen	Skupina je predlagala radikalne reforme.
rage	bes	Njegov bes je hitro zbledel.
raid	racija	Policija je izvedla jutranjo racijo.
rally	zborovanje	Podporniki so se pridružili zborovanju v središču mesta.
ranking	uvrstitev	Univerza je izboljšala svojo uvrstitev.
rape	posilstvo	Primeri posilstva zahtevajo skrbno preiskavo.
ratio	razmerje	Razred ima nizko razmerje med učitelji in učenci.
rational	racionalen	Njena odločitev je bila racionalna.
ray	žarek	Vstopil je sončni žarek.
readily	zlahka	Zlahka je sprejel ponudbo.
realization	spoznanje	Spoznanje je spremenilo njene načrte.
realm	področje	To vprašanje pripada drugemu področju.
rear	zadnji	Danes uporabite zadnji vhod.
reasoning	sklepanje	Njegovo sklepanje je bilo jasno.
reassure	pomiriti	Zdravnik jo je poskušal pomiriti.
rebel	upornik	Vodja upornikov se je izognil ujetju.
rebellion	upor	Upor se je po pogajanjih končal.
recipient	prejemnik	Prejemnik je podpisal obrazec.
reconstruction	obnova	Obnova se je začela po poplavi.
recount1	opisati	Dogodke lahko jasno opiše.
referendum	referendum	Referendum je razdelil državo.
reflection	razmislek	Esej je zahteval globlji razmislek.
reform	reforma	Reforma je izboljšala javne storitve.
refuge	zatočišče	Družina je poiskala zatočišče v tujini.
refusal	zavrnitev	Njena zavrnitev je presenetila odbor.
regain	ponovno pridobiti	Trdo je delal, da bi ponovno pridobil zaupanje.
regardless	ne glede na	Nadaljevali so ne glede na kritike.
regime	režim	Režim je omejil svobodo govora.
regulator	regulator	Regulator je kaznoval podjetje.
regulatory	regulativen	Regulativna odobritev je trajala več mesecev.
rehabilitation	rehabilitacija	Rehabilitacija mu je pomagala znova hoditi.
reign	vladavina	Kraljeva vladavina je trajala desetletja.
rejection	zavrnitev	Zavrnitev je prizadela njeno samozavest.
relevance	pomembnost	Podatki imajo omejeno pomembnost.
reliability	zanesljivost	Zanesljivost je v nujnih sistemih pomembna.
reluctant	nejevoljen	Bil je nejevoljen govoriti.
