source_headword	NO	example_NO
incur	å medføre	Forsinkelser kan medføre ekstra kostnader.
indicator	en indikator	Arbeidsledighet er en økonomisk indikator.
indictment	en tiltale	Tiltalen listet opp tre anklager.
indigenous	stedegen	Stedegne planter vokser godt her.
induce	å fremkalle	Medisinen kan fremkalle søvn.
indulge	å unne seg	Hun unner seg ikke dyre vaner.
inequality	en ulikhet	Inntektsulikhet er fortsatt et stort problem.
infamous	beryktet	Fengselet ble beryktet over hele verden.
infant	et spedbarn	Spedbarnet sov i sprinkelsengen.
infect	å smitte	Viruset kan smitte friske celler.
inflict	å påføre	Ikke påfør dyr smerte.
influential	innflytelsesrik	Hun er en innflytelsesrik jurist.
inherent	iboende	Designet har iboende risikoer.
inhibit	å hemme	Frykt kan hemme en ærlig diskusjon.
initiate	å sette i gang	Lederen vil sette i gang gjennomgangen.
inject	å injisere	Sykepleieren vil injisere vaksinen.
injection	en injeksjon	Injeksjonen reduserte smerten.
injustice	en urettferdighet	Kjennelsen avslørte en tydelig urettferdighet.
inmate	en innsatt	Den innsatte ba om juridisk rådgivning.
insertion	en innsetting	Skjemaet trenger én tekstinnsetting.
insider	en innsider	En innsider lekket rapporten.
inspect	å inspisere	Tjenestemenn inspiserer broen årlig.
inspection	en inspeksjon	Inspeksjonen fant alvorlige skader.
inspiration	en inspirasjon	Talen hennes ga meg inspirasjon.
instinct	et instinkt	Hans første instinkt var å hjelpe.
institutional	institusjonell	Institusjonelle regler formet beslutningen.
instruct	å instruere	Manualen vil instruere nye ansatte.
instrumental	medvirkende	Rådene hennes var avgjørende i forhandlingene.
insufficient	utilstrekkelig	Bevisene var utilstrekkelige for tiltale.
insult	en fornærmelse	Fornærmelsen hans avsluttet samtalen.
intact	intakt	Den gamle muren forble intakt.
intake	et inntak	Sukkerinntaket bør holdes moderat.
integral	integrert	Tillit er en vesentlig del av teamet.
integrated	integrert	Skolen tilbyr integrert støtte.
integration	en integrering	Integrering forbedret hele systemet.
integrity	en integritet	Dommeren viste stor integritet.
intensify	å intensivere	Stormen kan intensivere seg i løpet av natten.
intensity	en intensitet	Intensiteten på treningen økte.
intensive	intensiv	De fullførte intensiv språkopplæring.
intent	en hensikt	Hensikten hans var vanskelig å bevise.
interactive	interaktiv	Museet har interaktive utstillinger.
interface	et grensesnitt	Grensesnittet er lett å navigere.
interfere	å blande seg inn	Ikke bland deg inn i etterforskningen.
interference	en forstyrrelse	Signalforstyrrelser avbrøt samtalen.
interim	midlertidig	En midlertidig rapport ankommer i morgen.
interior	innvendig	De innvendige veggene trenger maling.
intermediate	middels	Hun begynte på mellomnivåklassen.
intervene	å gripe inn	Politiet måtte gripe inn raskt.
intervention	et inngrep	Tidlig inngrep hjalp pasienten.
intimate	intim	De holdt en intim familieseremoni.
intriguing	fascinerende	Dataene avslørte et fascinerende mønster.
investigator	en etterforsker	Etterforskeren intervjuet hvert vitne.
invisible	usynlig	Gassen er usynlig og farlig.
invoke	å påberope seg	Advokaten prøvde å påberope seg presedens.
involvement	en innblanding	Hans innblanding forble uklar.
ironic	ironisk	Den ironiske kommentaren fikk alle til å le.
ironically	ironisk nok	Ironisk nok tok ruten lengre tid.
irony	en ironi	Ironien var åpenbar for alle.
irrelevant	irrelevant	Den detaljen er irrelevant her.
isolation	en isolasjon	Isolasjon kan skade den mentale helsen.
judicial	rettslig	Den rettslige prøvingen starter på mandag.
junction	et kryss	Sving til venstre i krysset.
jurisdiction	en jurisdiksjon	Retten har begrenset jurisdiksjon.
just	rettferdig	Dommeren tok en rettferdig avgjørelse.
justification	en begrunnelse	Vi trenger en klar begrunnelse for pengebruken.
kidnap	å kidnappe	Kriminelle prøvde å kidnappe diplomaten.
kidney	en nyre	Nyrefunksjonen hennes ble forbedret.
kingdom	et kongedømme	Riket utvidet seg under hans styre.
lad	en gutt	Den unge gutten bar posene.
landlord	en utleier	Utleieren reparerte oppvarmingen.
landmark	et landemerke	Tårnet ble et landemerke i byen.
lap	et fang	Barnet satt på fanget hennes.
large-scale	storstilt	Byen planla storstilte reparasjoner.
laser	en laser	Laseren målte avstanden.
latter	sistnevnte	Det sistnevnte alternativet virker tryggere.
lawn	en plen	Barna lekte på plenen.
lawsuit	et søksmål	Selskapet inngikk forlik i søksmålet.
layout	et oppsett	Sideoppsettet ser tydeligere ut.
leak	en lekkasje	En rørlekkasje oversvømmet kjøkkenet.
leap	et hopp	Salget gjorde et plutselig hopp.
legacy	en arv	Arven hennes formet universitetet.
legendary	legendarisk	Den legendariske sangeren vendte tilbake til scenen.
legislation	en lovgivning	Ny lovgivning beskytter leietakere.
legislative	lovgivende	Den lovgivende komiteen møttes i dag.
legislature	en lovgivende forsamling	Den lovgivende forsamlingen godkjente budsjettet.
legitimate	legitim	De tok opp legitime bekymringer.
lengthy	langvarig	Den langvarige debatten forsinket avstemningen.
lesbian	lesbisk	Den lesbiske aktivisten talte på forumet.
lesser	mindre	Velg den minste risikoen.
lethal	dødelig	Kjemikaliet kan være dødelig.
liable	ansvarlig	Sjåfører er ansvarlige for skader.
liberal	liberal	Han støtter liberal sosialpolitikk.
liberation	en frigjøring	Frigjøringen endret landets fremtid.
liberty	en frihet	Loven beskytter personlig frihet.
license	å lisensiere	Staten kan lisensiere nye klinikker.
lifelong	livslang	Hun fikk livslange venner der.
likelihood	en sannsynlighet	Sannsynligheten for regn økte.
limb	et lem	Det skadede lemmet leget sakte.
linear	lineær	Diagrammet viser en lineær trend.
line-up	et program	Festivalens line-up inkluderer lokale band.
linger	henge igjen	Lukten kan henge igjen i timevis.
listing	en annonse	Leilighetsannonsen så nøyaktig ut.
literacy	en lese- og skriveferdighet	Voksenopplæring i lese- og skriveferdighet ble utvidet.
liver	en lever	Leveren filtrerer skadelige stoffer.
lobby	en lobby	Lobbyen var overfylt etter klokken tolv.
log	en logg	Systemet fører en daglig logg.
logic	en logikk	Logikken i argumentet hans sviktet.
long-standing	langvarig	De løste en langvarig tvist.
long-time	mangeårig	Hun er en mangeårig frivillig.
loom	tårne seg opp	Mørke skyer tårner seg opp over dalen.
loop	en sløyfe	Stien danner en sløyfe.
loyalty	en lojalitet	Hans lojalitet imponerte laget.
machinery	et maskineri	Fabrikken installerte nytt maskineri.
magical	magisk	Hagen så magisk ut om natten.
magistrate	en dommer	Dommeren behandlet saken.
magnetic	magnetisk	Det magnetiske feltet påvirket kompasset.
