source_headword	MY	example_MY
absorb	နားလည်သဘောပေါက်သည်	မျက်နှာသုတ်ပဝါသည် ရေကို လျင်မြန်စွာ စုပ်ယူသည်။
abstract	စိတ္တဇ	ဟောပြောပွဲတွင် စိတ္တဇဆန်သော အကြံဉာဏ်များကို ဆွေးနွေးခဲ့သည်။
accent	လေယူလေသိမ်း	သူမ၏ လေယူလေသိမ်းကို နားလည်ရန် လွယ်ကူသည်။
accidentally	မတော်တဆ	ကျွန်ုပ်သည် ဖိုင်ကို မတော်တဆ ဖျက်မိခဲ့သည်။
accommodate	အဆင်ပြေအောင်လုပ်ပေးသည်	ဟိုတယ်သည် မိသားစုကြီးများကို နေရာချထားပေးနိုင်သည်။
accomplish	ပြီးမြောက်သည်	သူမသည် ဇွန်လမတိုင်မီ သူမ၏ရည်မှန်းချက်ကို ပြီးမြောက်ခဲ့သည်။
accountant	စာရင်းကိုင်	စာရင်းကိုင်သည် ငွေတောင်းခံလွှာကို စစ်ဆေးခဲ့သည်။
accuracy	တိကျမှု	စမ်းသပ်မှုသည် စာဖတ်ခြင်း၏ တိကျမှုကို တိုင်းတာသည်။
accurately	တိကျစွာ	မြေပုံသည် လမ်းကြောင်းကို တိကျစွာ ပြသသည်။
acid	အက်ဆစ်	အက်ဆစ်သည် သတ္တုမျက်နှာပြင်ကို ပျက်စီးစေခဲ့သည်။
activate	အသက်သွင်းသည်	သူသည် ခလုတ်ကို နှိပ်ပြီး အချက်ပေးသံကို အသက်သွင်းသည်။
addiction	စွဲလမ်းခြင်း	သူ၏စွဲလမ်းမှုက သူ၏အလုပ်ကို ထိခိုက်စေခဲ့သည်။
additionally	ထို့အပြင်	ထို့အပြင် ကျွန်ုပ်တို့ ကုလားထိုင်များ ပိုလိုသေးသည်။
adequate	လုံလောက်သော	အခန်းတွင် လုံလောက်သော အလင်းရောင်ရှိသည်။
adequately	လုံလောက်စွာ	အစီရင်ခံစာသည် ပြဿနာကို လုံလောက်စွာ ရှင်းပြခဲ့သည်။
adjust	ချိန်ညှိသည်	မမောင်းမီ ထိုင်ခုံကို ချိန်ညှိပါ။
affordable	တတ်နိုင်သော	တိုက်ခန်းသည် ကျောင်းသားများအတွက် တတ်နိုင်သော ဈေးနှုန်းဖြစ်သည်။
agriculture	စိုက်ပျိုးရေး	စိုက်ပျိုးရေးသည် ကျေးလက်မိသားစုများစွာကို ထောက်ပံ့ပေးသည်။
AIDS	အေအိုင်ဒီအက်စ်	ဆရာဝန်များသည် အေအိုင်ဒီအက်စ်ကို ခေတ်မီဆေးဝါးဖြင့် ကုသကြသည်။
alien	ဂြိုဟ်သား	ရုပ်ရှင်သည် ဂြိုဟ်သားကမ္ဘာကို ပြသသည်။
alongside	ဘေးတွင်	စက်ဘီးလမ်းသည် မြစ်ဘေးတွင် ရှိသည်။
altogether	လုံးဝ	စုစုပေါင်း ပရောဂျက်သည် ခြောက်ပတ် ကြာခဲ့သည်။
ambulance	လူနာတင်ယာဉ်	လူနာတင်ယာဉ်သည် မိနစ်အနည်းငယ်အတွင်း ရောက်လာသည်။
