source_headword	DA	example_DA
toss	at kaste	Hun kastede nøglerne på bordet.
total	at løbe op i	Reparationerne løber op i mere end forventet.
toxic	giftig	Den giftige røg tvang alle udenfor.
trademark	et varemærke	Logoet blev virksomhedens varemærke.
trail	en sti	Stien førte gennem skoven.
trailer	en trailer	Traileren viste filmens slutning.
transaction	en transaktion	Transaktionen fremgik af mit kontoudtog.
transcript	en udskrift	Den studerende bad om en officiel udskrift.
transformation	en forvandling	Byen gennemgik en stor forvandling.
transit	en transit	Pakken blev beskadiget under transit.
transmission	en overførsel	Overførslen af data var sikker.
transparency	en åbenhed	Rapporten opfordrede til større åbenhed.
transparent	gennemsigtig	Processen bør være gennemsigtig for alle.
trauma	et traume	Ulykken efterlod dybe traumer.
treaty	en traktat	Landene underskrev en fredstraktat.
tremendous	enorm	Holdet gjorde enorme fremskridt.
tribal	stamme-	Museet udstillede stammekunst.
tribunal	et tribunal	Tribunalet hørte beviser hele ugen.
tribute	en hyldest	Koncerten var en hyldest til hende.
trio	en trio	Trioen optrådte på festivalen.
triumph	en triumf	Sejren var en personlig triumf.
trophy	et trofæ	Anføreren løftede stolt trofæet.
troubled	kriseramt	Den kriseramte virksomhed havde brug for ny ledelse.
trustee	en forvalter	Forvalteren administrerer stipendiefonden.
tuition	en studieafgift	Hendes studieafgift steg i år.
turnout	en valgdeltagelse	Valgdeltagelsen var højere end forventet.
turnover	en udskiftning	Personaleudskiftningen faldt efter ændringerne.
twist	at dreje	Hun drejede låget af.
undergraduate	en studerende	Den studerende deltog i et forskningsprojekt.
underlying	underliggende	Rapporten forklarede de underliggende årsager.
undermine	at underminere	Skandalen underminerede offentlighedens tillid.
undoubtedly	utvivlsomt	Hun er utvivlsomt den bedste kandidat.
unify	at forene	Planen har til formål at forene holdene.
unprecedented	hidtil uset	Stormen forårsagede hidtil uset skade.
unveil	at afsløre	Virksomheden vil afsløre designet i morgen.
upcoming	kommende	Det kommende valg tiltrak offentlighedens opmærksomhed.
upgrade	at opgradere	Vi opgraderede softwaren i går aftes.
uphold	at opretholde	Vi fastholder den oprindelige beslutning.
utility	en forsyning	Lejligheden inkluderer alle forbrugsudgifter.
utilize	at udnytte	Holdet udnyttede de tilgængelige data.
utterly	fuldstændig	Forklaringen var fuldstændig forvirrende.
vacuum	et tomrum	Tomrummet i ledelsen skabte spændinger.
vague	vag	Hans svar var vagt og svagt.
validity	en gyldighed	Undersøgelsen satte spørgsmålstegn ved testens gyldighed.
vanish	at forsvinde	Filen forsvandt fra mappen.
variable	en variabel	Pris er en vigtig variabel.
varied	varieret	Kurset tilbyder varierede opgaver.
vein	en blodåre	Sygeplejersken fandt hurtigt en blodåre.
venture	et foretagende	Det nye foretagende tiltrak investorer.
verbal	mundtlig	De indgik en mundtlig aftale.
verdict	en dom	Juryen afsagde sin dom.
verify	at bekræfte	Bekræft venligst din e-mailadresse.
verse	et vers	Hun citerede et vers fra digtet.
versus	mod	Debatten var privatliv mod sikkerhed.
vessel	et skib	Skibet transporterede korn over havet.
veteran	en veteran	Veteranen trænede det nye personale.
viable	levedygtig	Forslaget er økonomisk levedygtigt.
vibrant	pulserende	Byen har en pulserende kunstscene.
vice	en last	Grådighed var hans største last.
vicious	brutal	Det brutale overfald chokerede byen.
villager	en landsbyboer	En landsbyboer guidede os til floden.
violate	at overtræde	Virksomheden kan overtræde sikkerhedsreglerne.
violation	en overtrædelse	Inspektøren rapporterede en alvorlig overtrædelse.
virtue	en dyd	Tålmodighed er en vigtig dyd.
vocal	højlydt	Hun var højlydt omkring beslutningen.
vow	at love	Han svor at gøre arbejdet færdigt.
vulnerability	en sårbarhed	Revisionen afslørede en sikkerhedssårbarhed.
vulnerable	sårbar	Børn er sårbare under ekstrem varme.
ward	en afdeling	Patienten blev flyttet til en anden afdeling.
warehouse	et lager	Lageret opbevarer reservedele.
warfare	en krigsførelse	Moderne krigsførelse er afhængig af teknologi.
warrant	en ransagningskendelse	Politiet viste en ransagningskendelse.
warrior	en kriger	Krigeren beskyttede landsbyen.
weaken	at svække	Skaden svækkede hans greb.
weave	at væve	Hun lærte at væve kurve.
weed	et ukrudt	Et ukrudt voksede mellem stenene.
well	en brønd	Landsbyens brønd løb tør.
well-being	et velvære	Søvn er afgørende for velvære.
whatsoever	overhovedet	Han viste overhovedet ingen interesse.
whereby	hvorved	Loven skabte et system, hvorved familier kunne anke.
whilst	mens	Hun arbejdede, mens han hvilede.
whip	at piske	Vinden kan piske flagene.
wholly	helt	Beslutningen var helt uventet.
widen	at udvide	Byen planlægger at udvide vejen.
widow	en enke	Enken bor i nærheden af skolen.
width	en bredde	Mål dørens bredde.
willingness	en villighed	Hendes villighed til at hjælpe imponerede alle.
wipe	at tørre af	Tør skærmen af med en klud.
wit	et vid	Hans vid gjorde talen livlig.
withdrawal	en tilbagetrækning	Tilbagetrækningen af midler forsinkede projektet.
workout	en træning	Træningen varede fyrre minutter.
worship	en gudstjeneste	Folk samledes til gudstjeneste ved daggry.
worthwhile	umagen værd	Turen var umagen værd.
worthy	værdig	Velgørenhedsorganisationen er værdig til støtte.
yell	at råbe	Råb ikke ad personalet.
yield	et udbytte	Gårdens udbytte blev forbedret i denne sæson.
youngster	en ung	Den unge stillede mange spørgsmål.
