source_headword	NO	example_NO
absorb	absorbere	Håndkleet absorberer vann raskt.
abstract	abstrakt	Forelesningen diskuterte abstrakte ideer.
accent	en aksent	Aksenten hennes er lett å forstå.
accidentally	ved et uhell	Jeg slettet filen ved et uhell.
accommodate	imøtekomme	Hotellet kan innkvartere store familier.
accomplish	oppnå	Hun oppnådde målet sitt før juni.
accountant	en regnskapsfører	Regnskapsføreren sjekket fakturaen.
accuracy	en nøyaktighet	Testen måler lesenøyaktighet.
accurately	nøyaktig	Kartet viser ruten nøyaktig.
acid	en syre	Syren skadet metalloverflaten.
activate	aktivere	Trykk på knappen for å aktivere alarmen.
addiction	en avhengighet	Hans avhengighet påvirket arbeidet hans.
additionally	i tillegg	I tillegg trenger vi flere stoler.
adequate	tilstrekkelig	Rommet har tilstrekkelig lys.
adequately	tilstrekkelig	Rapporten forklarte problemet tilstrekkelig.
adjust	justere	Juster setet før du kjører.
affordable	rimelig	Leiligheten er rimelig for studenter.
agriculture	et jordbruk	Landbruket støtter mange familier på landsbygda.
AIDS	aids	Leger behandler aids med moderne medisin.
alien	et romvesen	Filmen viser en fremmed planet.
alongside	ved siden av	Sykkelstien går ved siden av elven.
altogether	helt	Alt i alt tok prosjektet seks uker.
ambulance	en ambulanse	Ambulansen ankom i løpet av minutter.
amusing	morsom	Historien var morsom og lett.
analyst	en analytiker	Analytikeren gjennomgikk salgsdataene.
ancestor	en forfader	Min forfader bodde i nærheten av denne landsbyen.
animation	en animasjon	Animasjonen gjorde leksjonen tydeligere.
annually	årlig	Festivalen arrangeres årlig.
anticipate	forutse	Vi forventer mye trafikk i morgen.
anxiety	en angst	Angst kan gjøre det vanskelig å sove.
apology	en unnskyldning	Hun kom med en oppriktig unnskyldning.
applicant	en søker	Søkeren sendte en ny CV.
appropriately	passende	Vennligst kle deg passende for intervjuet.
arrow	en pil	Pilen peker mot utgangen.
artwork	et kunstverk	Museet stilte ut lokale kunstverk.
aside	til side	Hun tok et skritt til side for å la ham passere.
asset	en eiendel	Erfaring er en verdifull ressurs.
assign	tildele	Læreren tildelte lekser i dag.
assistance	en assistanse	Vennligst be personalet om assistanse.
assumption	en antakelse	Den antakelsen kan være feil.
assure	forsikre	Jeg forsikrer deg om at døren er låst.
astonishing	forbløffende	Utsikten fra klippen var forbløffende.
attachment	et vedlegg	E-posten inkluderer et vedlegg.
auction	en auksjon	Maleriet ble solgt på auksjon.
audio	audio	Lydopptaket høres tydelig ut.
automatic	automatisk	Døren har en automatisk lås.
automatically	automatisk	Lysene slår seg på automatisk.
awareness	en bevissthet	Kampanjen økte offentlighetens bevissthet.
awkward	pinlig	Stillheten føltes pinlig.
badge	et navneskilt	Besøkende må bære et navneskilt.
balanced	balansert	Et balansert kosthold inkluderer grønnsaker.
ballet	en ballett	Hun studerer ballett etter skolen.
balloon	en ballong	Ballongen svevde over bordet.
barely	knapt	Han hørte knapt kunngjøringen.
bargain	et kupp	Den jakken var et skikkelig kupp.
basement	en kjeller	Eskene er i kjelleren.
basket	en kurv	Hun la epler i kurven.
bat	et balltre	Flaggermusen fløy ut av hulen.
beneficial	fordelaktig	Regelmessig trening er gunstig for helsen.
beside	ved siden av	Lampen står ved siden av sofaen.
besides	dessuten	I tillegg til matte studerer han kjemi.
bias	en skjevhet	Artikkelen viste en tydelig skjevhet.
bid	et bud	Selskapet la inn et høyere bud.
biological	biologisk	Den biologiske testen bekreftet resultatet.
blanket	et teppe	Barnet sov under et teppe.
blow	et slag	Det harde slaget knuste vinduet.
bold	dristig	Overskriften brukte fete bokstaver.
bombing	et bombeangrep	Bombeangrepet skadet flere bygninger.
booking	en bestilling	Jeg bekreftet hotellbestillingen.
boost	et løft	Seieren økte lagets selvtillit.
bound	bundet	Pakken var bundet med hyssing.
brick	en murstein	Veggen er laget av murstein.
briefly	kort	Hun snakket kort etter lunsj.
broadcaster	en kringkaster	Kringkasteren intervjuet ordføreren.
broadly	bredt	De to planene er i store trekk like.
bug	en feil	Appen krasjet på grunn av en feil.
cabin	en hytte	Vi bodde i en liten hytte.
canal	en kanal	Båter beveget seg sakte langs kanalen.
candle	et lys	Stearinlyset brant på bordet.
carbon	et karbon	Trær absorberer karbon fra luften.
casual	uformell	Han hadde på seg uformelle klær på jobben.
cave	en hule	Turgåerne gikk inn i hulen.
certainty	en sikkerhet	Vi kan ikke vite med sikkerhet.
certificate	et sertifikat	Hun mottok et opplæringssertifikat.
challenging	utfordrende	Kurset var utfordrende, men nyttig.
championship	et mesterskap	Laget vårt nådde mesterskapsfinalen.
charming	sjarmerende	Den gamle gaten så sjarmerende ut.
chase	en jakt	Hunden jaget ballen.
cheek	et kinn	En tåre rant nedover kinnet hennes.
cheer	et rop	Publikum begynte å juble høyt.
choir	et kor	Koret sang vakkert.
chop	hakke	Hakk løken i små biter.
circuit	en krets	Løperen fullførte runden.
civilization	en sivilisasjon	Gammel sivilisasjon formet denne regionen.
clarify	klargjøre	Vennligst klargjør det siste punktet.
classify	klassifisere	Forskere klassifiserer dyr etter art.
clerk	en kontorist	Ekspeditøren skrev ut kvitteringen.
cliff	en klippe	Stien slutter i nærheten av en klippe.
clinic	en klinikk	Klinikken åpner klokken åtte.
clip	et klipp	Hun festet klemmen til papiret.
coincidence	en tilfeldighet	Å møte ham der var et sammentreff.
collector	en samler	Samleren kjøpte sjeldne mynter.
colony	en koloni	Maurene bygget en stor koloni.
colourful	fargerik	Markedet var lyst og fargerikt.
comic	en tegneserie	Den komiske scenen fikk oss til å le.
commander	en kommandant	Kommandanten ga klare ordrer.
comparative	komparativ	Essayet bruker komparative data.
completion	en fullføring	Broen er nær ferdigstillelse.
compose	utforme	Han skal komponere musikk til filmen.
composer	en komponist	Komponisten skrev en ny sang.
compound	en forbindelse	Forbindelsen inneholder to kjemikalier.
comprehensive	omfattende	Guiden gir omfattende instruksjoner.
comprise	omfatte	Laget består av fem medlemmer.
compulsory	obligatorisk	Oppmøte er obligatorisk for denne klassen.
concrete	en betong	Gulvet er laget av betong.
confess	tilstå	Han innrømmet feilen for læreren sin.
confusion	en forvirring	Forsinkelsen forårsaket forvirring.
consequently	følgelig	Det regnet; følgelig stoppet kampen.
conservation	en bevaring	Naturvern beskytter sjeldne dyr.
considerable	betydelig	Reparasjonen tok betydelig tid.
considerably	betraktelig	Prisene steg betydelig i år.
consistently	konsekvent	Hun presterer konsekvent bra.
conspiracy	en konspirasjon	Politiet etterforsket konspirasjonen.
consult	konsultere	Rådfør deg med legen din før du tar medisin.
consultant	en konsulent	Konsulenten foreslo en ny strategi.
consumption	et forbruk	Energiforbruket falt i forrige måned.
controversial	kontroversiell	Politikken forblir kontroversiell.
controversy	en kontrovers	Beslutningen forårsaket kontrovers.
convenience	en bekvemmelighet	Butikken tilbyr stor bekvemmelighet.
convention	en konvensjon	Den årlige konferansen starter mandag.
conventional	konvensjonell	Han valgte et konvensjonelt design.
convey	formidle	Meldingen formidlet medfølelse.
convincing	overbevisende	Forklaringen hennes var overbevisende.
cope	håndtere	Hun lærte å takle stress.
corporation	et selskap	Konsernet åpnet et nytt kontor.
corridor	en korridor	Korridoren var smal og stille.
counter (long flat surface)	en disk	Nøklene ligger på kjøkkenbenken.
coverage	en dekning	Nyhetsdekningen varte hele kvelden.
crack	en sprekk	En sprekk oppstod i veggen.
craft	et håndverk	Hun selger håndlaget håndverk på nettet.
creativity	en kreativitet	Kreativitet hjelper til med å løse problemer.
critically	kritisk	Artikkelen var kritisk viktig.
cruise	et cruise	De bestilte et cruise til Hellas.
cue	et stikkord	Skuespilleren gikk glipp av stikkordet sitt.
curious	merkelig	Barnet var nysgjerrig på verdensrommet.
curriculum	en læreplan	Skolen oppdaterte læreplanen sin.
cute	søt	Valpen så søt ut.
dairy	et meieri	Gården produserer meieriprodukter.
dare	våge	Jeg utfordrer deg til å prøve det.
darkness	et mørke	Rommet ble fylt med mørke.
database	en database	Databasen lagrer kunderegistre.
deadline	en tidsfrist	Fristen er fredag.
deadly	dødelig	Slangen har dødelig gift.
dealer	en forhandler	Bilforhandleren tilbød en rabatt.
deck	et dekk	Stolene står på terrassen.
defender	en forsvarer	Forsvareren blokkerte skuddet.
delete	slette	Slett den gamle meldingen.
democracy	et demokrati	Demokrati avhenger av frie valg.
democratic	demokratisk	Avstemningen fulgte demokratiske regler.
demonstration	en demonstrasjon	Studentene deltok i en demonstrasjon.
depart	fravike	Toget vil dra midt på dagen.
dependent	avhengig	Barnet er avhengig av voksne.
deposit	et innskudd	Hun betalte et depositum for leiligheten.
depression	en depresjon	Depresjon krever profesjonell støtte.
derive	utlede	Mange ord stammer fra latin.
desperately	desperat	Han trengte desperat vann.
destruction	en ødeleggelse	Stormen forårsaket omfattende ødeleggelser.
determination	en besluttsomhet	Hennes besluttsomhet imponerte treneren.
devote	vie	Hun vier helgene til å studere.
differ	avvike	Deres meninger er sterkt delte.
disability	en funksjonshemming	Bygningen har tilgang for funksjonshemmede.
disabled	deaktivert	Den funksjonshemmede atleten vant en medalje.
disagreement	en uenighet	Møtet endte i uenighet.
disappoint	skuffe	Resultatet kan skuffe fansen.
disappointment	en skuffelse	Han følte dyp skuffelse.
discourage	fraråde	Ikke ta motet fra unge elever.
disorder	en lidelse	Legen diagnostiserte en søvnforstyrrelse.
distant	fjern	Fjellene så fjerne ut.
distinct	tydelig	De to lydene er tydelig forskjellige.
distinguish	skille	Kan du skille disse fargene fra hverandre?
distract	distrahere	Støy kan distrahere elever.
disturb	forstyrre	Vennligst ikke forstyrr pasienten.
dive	et dykk	De skal dykke i nærheten av revet.
diverse	mangfoldig	Byen har mangfoldige kulturer.
diversity	et mangfold	Vi feirer kulturelt mangfold.
divorce	en skilsmisse	Skilsmissen var vanskelig for alle.
dominant	dominerende	Det dominerende laget kontrollerte kampen.
donation	en donasjon	Veldedighetsorganisasjonen mottok en donasjon.
dot	en prikk	Sett et punktum etter tallet.
downtown	et sentrum	Vi møttes i sentrum etter jobb.
dramatically	dramatisk	Prisen falt dramatisk.
drought	en tørke	Tørken ødela avlingene.
dull	kjedelig	Forelesningen var kjedelig.
dump	dumpe	Ikke kast søppel her.
duration	en varighet	Flyreisens varighet er tre timer.
