source_headword	SL	example_SL
incur	povzročiti	Zamude lahko povzročijo dodatne stroške.
indicator	kazalnik	Brezposelnost je en gospodarski kazalnik.
indictment	obtožnica	Obtožnica je navajala tri točke.
indigenous	avtohton	Avtohtone rastline tukaj dobro uspevajo.
induce	povzročiti	Zdravilo lahko povzroči spanje.
indulge	vdajati se	Ne vdaja se dragim navadam.
inequality	neenakost	Dohodkovna neenakost ostaja glavni problem.
infamous	zloglasen	Zapor je postal svetovno zloglasen.
infant	dojenček	Dojenček je spal v posteljici.
infect	okužiti	Virus lahko okuži zdrave celice.
inflict	prizadeti	Ne povzročajte bolečine živalim.
influential	vpliven	Ona je vplivna pravna strokovnjakinja.
inherent	inherenten	Zasnova ima inherentne nevarnosti.
inhibit	zavirati	Strah lahko zavira iskreno razpravo.
initiate	začeti	Vodja bo sprožil revizijo.
inject	vbrizgati	Medicinska sestra bo vbrizgala cepivo.
injection	injekcija	Injekcija je zmanjšala bolečino.
injustice	nepravica	Sodba je razkrila očitno nepravico.
inmate	zapornik	Zapornik je zaprosil za pravni nasvet.
insertion	vstavitev	Obrazec potrebuje eno vstavitev besedila.
insider	poznavalec	Poznavalec je izdal poročilo.
inspect	pregledati	Uradniki vsako leto pregledajo most.
inspection	inšpekcija	Pregled je odkril resne poškodbe.
inspiration	navdih	Njen govor mi je dal navdih.
instinct	instinkt	Njegov prvi instinkt je bil pomagati.
institutional	institucionalen	Institucionalna pravila so oblikovala odločitev.
instruct	poučiti	Priročnik bo poučil novo osebje.
instrumental	ključen	Njen nasvet je bil ključen pri pogajanjih.
insufficient	nezadosten	Dokazi so bili nezadostni za obtožbe.
insult	žalitev	Njegova žalitev je končala pogovor.
intact	neokrnjen	Starodavni zid je ostal nedotaknjen.
intake	vnos	Vnos sladkorja naj ostane zmeren.
integral	sestavni	Zaupanje je sestavni del ekipe.
integrated	integriran	Šola ponuja integrirano podporo.
integration	integracija	Integracija je izboljšala celoten sistem.
integrity	integriteta	Sodnik je pokazal veliko integriteto.
intensify	okrepiti	Nevihta bi se lahko ponoči okrepila.
intensity	intenzivnost	Intenzivnost treninga se je povečala.
intensive	intenziven	Zaključili so intenziven jezikovni tečaj.
intent	namera	Njegovo namero je bilo težko dokazati.
interactive	interaktiven	Muzej ima interaktivne razstave.
interface	vmesnik	Po vmesniku je enostavno krmariti.
interfere	vmešavati se	Ne vmešavajte se v preiskavo.
interference	motnja	Motnja signala je prekinila klic.
interim	začasen	Začasno poročilo prispe jutri.
interior	notranji	Notranje stene potrebujejo barvo.
intermediate	srednji	Pridružila se je srednjemu tečaju.
intervene	posredovati	Policija je morala hitro posredovati.
intervention	intervencija	Zgodnja intervencija je pomagala pacientu.
intimate	intimen	Imeli so intimno družinsko slovesnost.
