source_headword	ID	example_ID
fridge	kulkas	Susu ada di dalam kulkas.
frog	katak	Seekor katak melompat ke kolam.
furniture	perabot	Perabot ini tua tetapi kuat.
further	lebih lanjut;lebih jauh	Kami membutuhkan informasi lebih lanjut.
gallery	galeri	Galeri itu buka hari ini.
gap	celah;jarak	Ada celah di dinding.
gas	bensin;gas	Mobil itu membutuhkan bensin.
gate	gerbang	Tolong tutup gerbang.
general	umum	Ini aturan umum.
gift	hadiah	Dia membeli hadiah.
goal	tujuan	Tujuan kami sederhana.
god	Tuhan;dewa	Banyak orang berdoa kepada Tuhan.
gold	emas;berwarna emas	Cincin itu emas.
golf	golf	Dia bermain golf hari ini.
government	pemerintah	Pemerintah mengubah hukum.
grass	rumput	Rumput itu basah.
greet	menyapa;memberi salam	Sapa setiap tamu dengan sopan.
ground	tanah	Duduklah di tanah.
guest	tamu	Tamu kami datang lebih awal.
guide	pemandu;panduan	Pemandu menunjukkan museum kepada kami.
gun	senjata api	Polisi menemukan senjata api.
guy	pria;lelaki	Pria itu saudara laki-laki saya.
habit	kebiasaan	Membaca setiap hari adalah kebiasaan baik.
hall	aula;lorong	Tunggu di lorong.
happily	dengan bahagia	Mereka hidup bersama dengan bahagia.
headache	sakit kepala	Saya sakit kepala.
heart	jantung;hati	Jantungnya berdetak cepat.
heat	panas;memanaskan	Panaskan sup perlahan.
heavy	berat	Tas ini berat.
height	tinggi;ketinggian	Ukur tinggi meja.
helpful	berguna;membantu	Nasihat Anda sangat berguna.
hero	pahlawan	Dia pahlawan saya.
hers	miliknya	Mantel biru itu miliknya.
herself	dirinya sendiri	Dia membuat makan malam sendiri.
hide	menyembunyikan;bersembunyi	Sembunyikan kunci di bawah kotak.
hill	bukit	Kami mendaki bukit.
himself	dirinya sendiri	Dia memperbaikinya sendiri.
hit	memukul;menabrak	Jangan pukul pintu.
hockey	hoki	Kami menonton hoki tadi malam.
hold	memegang	Pegang tangan saya.
hole	lubang	Ada lubang di kaus kaki saya.
huge	sangat besar	Ruangan itu sangat besar.
human	manusia	Setiap manusia membutuhkan air.
hurt	sakit;menyakiti	Lutut saya sakit.
ideal	ideal	Ruangan ini ideal untuk belajar.
identify	mengidentifikasi;mengenali	Bisakah Anda mengenali burung ini?
ill	sakit	Dia merasa sakit hari ini.
illness	penyakit	Penyakit itu berlangsung seminggu.
image	gambar;citra	Gambar itu jelas.
immediately	segera	Datang ke sini segera.
impossible	mustahil	Teka-teki ini tampak mustahil.
included	termasuk	Sarapan sudah termasuk.
including	termasuk	Sepuluh orang datang, termasuk saya.
increase	meningkat;menambah	Harga meningkat pada musim panas.
incredible	luar biasa;menakjubkan	Pemandangannya luar biasa.
independent	mandiri;bebas	Kakak perempuan saya mandiri.
individual	individu	Setiap individu memiliki nomor.
industry	industri	Industri lokal sedang tumbuh.
informal	tidak resmi	Email ini tidak resmi.
injury	cedera	Cederanya tidak serius.
insect	serangga	Seekor serangga hinggap di cangkir.
inside	di dalam	Tunggu di dalam rumah.
instead	sebagai gantinya	Minumlah air sebagai gantinya.
instruction	instruksi;petunjuk	Baca setiap instruksi dengan hati-hati.
instructor	instruktur	Instruktur menjelaskan latihan itu.
instrument	alat musik;instrumen	Dia memainkan alat musik.
intelligent	cerdas	Dia siswa yang cerdas.
international	internasional	Ini bandara internasional.
introduction	pengantar;perkenalan	Pengantar itu singkat.
invent	menciptakan	Anak-anak dapat menciptakan permainan baru.
invention	penemuan	Penemuan itu menghemat waktu.
invitation	undangan	Saya menerima undangan.
invite	mengundang	Undang teman Anda juga.
involve	melibatkan	Pekerjaan itu akan melibatkan perjalanan.
item	item;barang	Pilih satu item.
itself	dirinya sendiri	Mesin itu mati sendiri.
jam	selai	Oleskan selai pada roti.
jazz	jazz	Jazz terdengar bagus malam ini.
jewellery	perhiasan	Dia menyimpan perhiasan di kotak.
joke	lelucon	Ceritakan sebuah lelucon kepada saya.
journalist	jurnalis;wartawan	Jurnalis itu mengajukan pertanyaan.
jump	melompat	Lompat melewati garis.
kid	anak	Anak itu sedang tertawa.
kill	membunuh	Jangan bunuh serangga itu.
king	raja	Raja itu tinggal di istana.
knee	lutut	Lutut saya sakit.
knife	pisau	Gunakan pisau yang tajam.
knock	mengetuk	Ketuk sebelum Anda masuk.
knowledge	pengetahuan	Pengetahuan bertambah dengan latihan.
lab	lab;laboratorium	Lab itu tutup.
lady	wanita	Wanita itu tersenyum kepada kami.
lake	danau	Danau itu tenang.
lamp	lampu	Nyalakan lampu.
laptop	laptop	Laptop saya baru.
last1 (taking time)	berlangsung;bertahan	Film itu berlangsung dua jam.
laughter	tawa	Kami mendengar tawa di luar.
law	hukum;undang-undang	Hukum berubah kemarin.
