source_headword	ES-419	example_ES-419
incur	incurrir	Los retrasos pueden incurrir en costos adicionales.
indicator	el indicador	El desempleo es un indicador económico.
indictment	la acusación	La acusación enumeró tres cargos.
indigenous	indígena	Las plantas indígenas crecen bien aquí.
induce	inducir	El medicamento puede inducir el sueño.
indulge	permitirse	Ella no se permite hábitos caros.
inequality	la desigualdad	La desigualdad de ingresos sigue siendo un problema importante.
infamous	infame	La prisión se volvió infame en todo el mundo.
infant	el bebé	El bebé durmió en la cuna.
infect	infectar	El virus puede infectar células sanas.
inflict	infligir	No inflijas dolor a los animales.
influential	influyente	Ella es una jurista influyente.
inherent	inherente	El diseño tiene riesgos inherentes.
inhibit	inhibir	El miedo puede inhibir la discusión honesta.
initiate	iniciar	El gerente iniciará la revisión.
inject	inyectar	La enfermera inyectará la vacuna.
injection	la inyección	La inyección redujo el dolor.
injustice	la injusticia	El fallo expuso una clara injusticia.
inmate	el recluso	El recluso solicitó asesoramiento legal.
insertion	la inserción	El formulario necesita una inserción de texto.
insider	el informante	Un informante filtró el informe.
inspect	inspeccionar	Los funcionarios inspeccionan el puente anualmente.
inspection	la inspección	La inspección encontró daños graves.
inspiration	la inspiración	Su discurso me sirvió de inspiración.
instinct	el instinto	Su primer instinto fue ayudar.
institutional	institucional	Las reglas institucionales dieron forma a la decisión.
instruct	instruir	El manual instruirá al nuevo personal.
instrumental	fundamental	Su consejo fue fundamental en las negociaciones.
insufficient	insuficiente	La evidencia fue insuficiente para los cargos.
insult	el insulto	Su insulto terminó la conversación.
intact	intacto	El antiguo muro permaneció intacto.
intake	el consumo	El consumo de azúcar debe mantenerse moderado.
integral	integral	La confianza es integral para el equipo.
integrated	integrado	La escuela ofrece apoyo integrado.
integration	la integración	La integración mejoró todo el sistema.
integrity	la integridad	El juez mostró gran integridad.
intensify	intensificar	La tormenta podría intensificarse durante la noche.
intensity	la intensidad	La intensidad del entrenamiento aumentó.
intensive	intensivo	Ellos completaron un entrenamiento intensivo de idiomas.
intent	la intención	Su intención fue difícil de probar.
interactive	interactivo	El museo tiene exhibiciones interactivas.
interface	la interfaz	La interfaz es fácil de navegar.
interfere	interferir	No interfieras con la investigación.
interference	la interferencia	La interferencia de la señal interrumpió la llamada.
interim	provisional	Mañana llega un informe provisional.
interior	interior	Las paredes interiores necesitan pintura.
intermediate	intermedio	Ella se unió a la clase intermedia.
intervene	intervenir	La policía tuvo que intervenir rápidamente.
intervention	la intervención	La intervención temprana ayudó al paciente.
intimate	íntimo	Celebraron una ceremonia familiar íntima.
intriguing	intrigante	Los datos revelaron un patrón intrigante.
investigator	el investigador	El investigador interrogó a cada testigo.
invisible	invisible	El gas es invisible y peligroso.
invoke	invocar	El abogado intentó invocar el precedente.
involvement	el involucramiento	Su involucramiento permaneció poco claro.
ironic	irónico	El comentario irónico hizo reír a todos.
ironically	irónicamente	Irónicamente, la ruta tomó más tiempo.
irony	la ironía	La ironía fue obvia para todos.
irrelevant	irrelevante	Ese detalle es irrelevante aquí.
isolation	el aislamiento	El aislamiento puede dañar la salud mental.
judicial	judicial	La revisión judicial comienza el lunes.
junction	el cruce	Gira a la izquierda en el cruce.
jurisdiction	la jurisdicción	El tribunal tiene jurisdicción limitada.
just	justo	El juez tomó una decisión justa.
justification	la justificación	Necesitamos una justificación clara para los gastos.
kidnap	secuestrar	Los criminales intentaron secuestrar al diplomático.
kidney	el riñón	Su función renal mejoró.
kingdom	el reino	El reino se expandió bajo su gobierno.
lad	el muchacho	El joven muchacho cargó las bolsas.
landlord	el propietario	El propietario reparó la calefacción.
landmark	el lugar emblemático	La torre se convirtió en un lugar emblemático de la ciudad.
lap	el regazo	El niño se sentó en su regazo.
large-scale	a gran escala	La ciudad planeó reparaciones a gran escala.
laser	el láser	El láser midió la distancia.
latter	este último	Esta última opción parece más segura.
lawn	el césped	Los niños jugaron en el césped.
lawsuit	la demanda	La empresa resolvió la demanda.
layout	el diseño	El diseño de la página se ve más claro.
leak	la fuga	Una fuga en la tubería inundó la cocina.
leap	el salto	Las ventas dieron un salto repentino.
legacy	el legado	Su legado dio forma a la universidad.
legendary	legendario	El legendario cantante volvió al escenario.
legislation	la legislación	La nueva legislación protege a los inquilinos.
legislative	legislativo	El comité legislativo se reunió hoy.
legislature	la legislatura	La legislatura aprobó el presupuesto.
legitimate	legítimo	Plantearon preocupaciones legítimas.
lengthy	largo	El largo debate retrasó la votación.
lesbian	lesbiana	La activista lesbiana habló en el foro.
lesser	menor	Elige el riesgo menor.
lethal	letal	El químico puede ser letal.
liable	responsable	Los conductores son responsables de los daños.
liberal	liberal	Él apoya políticas sociales liberales.
liberation	la liberación	La liberación cambió el futuro del país.
liberty	la libertad	La ley protege la libertad personal.
license	autorizar	El estado puede autorizar nuevas clínicas.
lifelong	de por vida	Ella hizo amigos de por vida allí.
likelihood	la probabilidad	La probabilidad de lluvia aumentó.
limb	la extremidad	La extremidad herida sanó lentamente.
linear	lineal	El gráfico muestra una tendencia lineal.
line-up	el cartel	El cartel del festival incluye bandas locales.
linger	persistir	El olor puede persistir por horas.
listing	el anuncio	El anuncio del departamento parecía preciso.
literacy	la alfabetización	Los programas de alfabetización para adultos se expandieron.
liver	el hígado	El hígado filtra sustancias dañinas.
lobby	el vestíbulo	El vestíbulo estaba lleno después del mediodía.
log	el registro	El sistema mantiene un registro diario.
logic	la lógica	La lógica de su argumento falló.
long-standing	de larga data	Resolvieron una disputa de larga data.
long-time	de mucho tiempo	Ella es una voluntaria desde hace mucho tiempo.
loom	avecinarse	Nubes oscuras se asoman sobre el valle.
loop	el circuito	El sendero forma un circuito.
loyalty	la lealtad	Su lealtad impresionó al equipo.
machinery	la maquinaria	La fábrica instaló nueva maquinaria.
magical	mágico	El jardín se veía mágico de noche.
magistrate	el magistrado	El magistrado escuchó el caso.
magnetic	magnético	El campo magnético afectó la brújula.
magnitude	la magnitud	La magnitud del daño era clara.
mainland	el continente	El ferry conecta las islas con el continente.
mainstream	la corriente principal	La idea entró en la política convencional.
maintenance	el mantenimiento	El mantenimiento regular evita averías.
mandate	el mandato	El presidente reclamó un mandato fuerte.
mandatory	obligatorio	La asistencia es obligatoria para los aprendices.
manifest	manifestarse	Los síntomas pueden manifestarse después de semanas.
manipulate	manipular	No manipules los resultados de la encuesta.
manipulation	la manipulación	Se descubrió la manipulación de datos.
manuscript	el manuscrito	El editor aceptó su manuscrito.
march	la marcha	Los manifestantes marcharán hacia el centro.
marginal	marginal	El cambio tuvo beneficios marginales.
marine	marino	La vida marina necesita agua limpia.
marketplace	el mercado	El mercado en línea se expandió rápidamente.
mask	la máscara	Los trabajadores deben usar una máscara.
massacre	la masacre	La masacre conmocionó a toda la región.
mathematical	matemático	El modelo matemático predijo la demanda.
mature	maduro	Los árboles maduros dan sombra.
maximize	maximizar	La actualización maximizará la duración de la batería.
meaningful	significativo	Tuvieron una conversación significativa.
meantime	el ínterin	Mientras tanto, espera afuera.
medieval	medieval	El castillo tiene murallas medievales.
meditation	la meditación	La meditación diaria calma su mente.
melody	la melodía	La melodía se quedó en mi cabeza.
memo	el memorándum	El memorándum explicó la política.
memoir	las memorias	Sus memorias describen el exilio en la infancia.
memorial	el monumento conmemorativo	El monumento conmemorativo rinde homenaje a los soldados locales.
mentor	el mentor	Su mentor revisó la propuesta.
merchant	el comerciante	El comerciante vendía seda y especias.
mercy	la misericordia	El juez mostró compasión.
mere	mero	Un mero vistazo reveló el error.
merely	meramente	Ella simplemente repitió las instrucciones.
merge	fusionarse	Las dos empresas se fusionarán.
merger	la fusión	La fusión creó un banco más grande.
merit	el mérito	La propuesta tiene un mérito claro.
methodology	la metodología	El estudio explica su metodología.
midst	el medio	Trabajaron en medio del caos.
migration	la migración	La migración estacional afecta los empleos locales.
militant	el militante	El grupo militante rechazó las negociaciones.
militia	la milicia	La milicia controlaba el camino.
mill	el molino	El antiguo molino se convirtió en museo.
minimal	mínimo	El plan requiere un esfuerzo mínimo.
minimize	minimizar	Debemos minimizar los riesgos innecesarios.
mining	la minería	La minería dañó el valle del río.
ministry	el ministerio	El ministerio anunció nuevas reglas.
minute2	diminuto	Apareció una grieta diminuta en el vidrio.
miracle	el milagro	Su recuperación pareció un milagro.
misery	la miseria	Los refugiados soportaron años de miseria.
misleading	engañoso	El gráfico engañoso confundió a los lectores.
missile	el misil	La prueba del misil aumentó las tensiones.
mob	la multitud	La turba enojada bloqueó el tráfico.
mobility	la movilidad	Los mejores autobuses mejoran la movilidad urbana.
mobilize	movilizar	Los líderes movilizan a los voluntarios rápidamente.
moderate	moderado	El candidato tiene opiniones moderadas.
modification	la modificación	El diseño necesita una modificación.
momentum	el impulso	La campaña ganó impulso rápidamente.
monk	el monje	El monje vivía en silencio.
monopoly	el monopolio	La empresa tenía un monopolio.
morality	la moralidad	El curso examina la moralidad pública.
motive	el motivo	La policía cuestionó su motivo.
motorist	el conductor	El conductor se detuvo en el semáforo en rojo.
municipal	municipal	Los servicios municipales mejoraron este año.
mutual	mutuo	Llegaron a un acuerdo mutuo.
namely	es decir	Queda un problema, es decir, el financiamiento.
nationwide	nacional	La huelga causó retrasos a nivel nacional.
naval	naval	La base naval cerró el año pasado.
neglect	descuidar	No descuides la seguridad básica.
neighbouring	vecino	Los pueblos vecinos compartían el hospital.
nest	el nido	El pájaro construyó un nido.
net	neto	La ganancia neta aumentó drásticamente.
newsletter	el boletín	El boletín llega todos los viernes.
niche	el nicho	La empresa encontró un nicho rentable.
noble	noble	Su noble gesto impresionó a todos.
nod	asentir	Por favor asiente si entiendes.
nominate	nominar	Nominarán a un nuevo presidente.
nomination	la nominación	Su nominación sorprendió al comité.
nominee	el nominado	El nominado respondió preguntas difíciles.
nonetheless	sin embargo	Sin embargo, el plan avanzó.
non-profit	sin fines de lucro	Ella trabaja en una clínica sin fines de lucro.
nonsense	las tonterías	Ese rumor es un completo disparate.
noon	el mediodía	La reunión comienza al mediodía.
notable	notable	El informe logró un progreso notable.
