source_headword	SL	example_SL
crawl	plaziti se	Dojenček se je začel plaziti po preprogi.
creator	ustvarjalec	Ustvarjalec se je vsem zahvalil za podporo.
credibility	verodostojnost	Priča je med zaslišanjem izgubila verodostojnost.
credible	verodostojen	Poročilo je ponudilo verodostojne dokaze.
creep	plaziti se	Megla se je začela plaziti po dolini.
critique	kritika	Profesor je podal podrobno kritiko.
crown	krona	Kraljica je nosila srebrno krono.
crude	grob	Risba je bila groba, a jasna.
crush	zdrobiti	Težko kamenje lahko zdrobi cev.
crystal	kristal	Kristal je odseval jutranjo svetlobo.
cult	kult	Kult je izoliral svoje člane.
cultivate	gojiti	Kmetje v tej regiji gojijo riž.
curiosity	radovednost	Radovednost jo je pripeljala v znanost.
custody	skrbništvo	Otrok je ostal v očetovem skrbništvu.
cutting	izrezek	Časopis je objavil izrezek o njem.
cynical	ciničen	Njegova cinična pripomba je vznemirila ekipo.
dam	jez	Jez zadržuje rečno vodo.
damaging	škodljiv	Škodljiv članek je škodil kampanji.
dawn	zora	Ob zori smo zapustili vas.
debris	ruševine	Nevihtne ruševine so blokirale cesto.
debut	prvenec	Njen debi je pritegnil nacionalno pozornost.
decision-making	odločanje	Dobro odločanje zahteva jasne informacije.
decisive	odločen	Njeno odločno ukrepanje je preprečilo nadaljnjo škodo.
declaration	deklaracija	Minister je prebral uradno deklaracijo.
dedicated	predan	Predana medicinska sestra je delala čez noč.
dedication	predanost	Njegova predanost je navdihnila mlajše igralce.
deed	dejanje	Pogumno dejanje je rešilo dve življenji.
deem	smatrati	Sodišče lahko pogodbo spozna za neveljavno.
default	privzeto	Za zdaj uporabite privzeto nastavitev.
defect	napaka	Inšpektorji so našli resno napako.
defensive	obrambni	Njegov obrambni ton je presenetil vse.
deficiency	pomanjkanje	Pomanjkanje železa lahko vpliva na zdravje.
deficit	primanjkljaj	Proračunski primanjkljaj je zaskrbel uradnike.
defy	kljubovati	Protestniki so se odločili kljubovati prepovedi.
delegate	delegat	Vsak delegat je prejel glasovalno kartico.
delegation	delegacija	Delegacija je prispela pred poldnevom.
delicate	občutljiv	Občutljivo steklo se je zlahka zlomilo.
demon	demon	Zgodba opisuje starodavnega demona.
denial	zanikanje	Njegovo zanikanje je razjezilo žrtve.
denounce	obsoditi	Voditelji obsojajo nasilje v šolah.
dense	gost	Gost gozd je blokiral sončno svetlobo.
density	gostota	Gostota prebivalstva je v središču visoka.
dependence	odvisnost	Odvisnost države od nafte se je zmanjšala.
depict	prikazovati	Freska prikazuje vaško življenje.
deploy	razporediti	Vojska bo razporedila dodatno osebje.
deployment	razporeditev	Razporeditev čet se je začela v ponedeljek.
deprive	prikrajšati	Pomanjkanje spanca lahko študente prikrajša za osredotočenost.
deputy	namestnik	Namestnik je podpisal sporazum.
descend	spuščati se	Pot se je začela strmo spuščati.
descent	spuščanje	Letalo je začelo spuščanje.
designate	določiti	Mesto bo določilo nov park.
desirable	zaželen	Dobra osvetlitev je zaželena v učilnicah.
desktop	namizje	Datoteka je na mojem namizju.
destructive	uničujoč	Nevihta je imela uničujočo silo.
detain	pridržati	Policija lahko osumljence pridrži čez noč.
detection	odkrivanje	Zgodnje odkrivanje izboljša zdravljenje raka.
detention	pripor	Študentje so protestirali proti pogojem v priporu.
