source_headword	DA	example_DA
incur	at medføre	Forsinkelser kan medføre ekstra omkostninger.
indicator	en indikator	Arbejdsløshed er en økonomisk indikator.
indictment	et anklageskrift	Anklageskriftet oplistede tre anklager.
indigenous	hjemmehørende	Hjemmehørende planter vokser godt her.
induce	at fremkalde	Medicinen kan fremkalde søvn.
indulge	at tillade sig	Hun tillader sig ikke dyre vaner.
inequality	en ulighed	Indkomstulighed er fortsat et stort problem.
infamous	berygtet	Fængslet blev berygtet over hele verden.
infant	et spædbarn	Spædbarnet sov i tremmesengen.
infect	at inficere	Virussen kan inficere raske celler.
inflict	at påføre	Påfør ikke dyr smerte.
influential	indflydelsesrig	Hun er en indflydelsesrig jurist.
inherent	iboende	Designet har iboende risici.
inhibit	at hæmme	Frygt kan hæmme ærlig diskussion.
initiate	at iværksætte	Lederen vil iværksætte gennemgangen.
inject	at injicere	Sygeplejersken vil injicere vaccinen.
injection	en indsprøjtning	Indsprøjtningen reducerede smerten.
injustice	en uretfærdighed	Afgørelsen afslørede en tydelig uretfærdighed.
inmate	en indsat	Den indsatte bad om juridisk rådgivning.
insertion	en indsættelse	Formularen kræver én tekstindsættelse.
insider	en insider	En insider lækkede rapporten.
inspect	at inspicere	Embedsmænd inspicerer broen årligt.
inspection	en inspektion	Inspektionen fandt alvorlige skader.
inspiration	en inspiration	Hendes tale gav mig inspiration.
instinct	et instinkt	Hans første instinkt var at hjælpe.
institutional	institutionel	Institutionelle regler formede beslutningen.
instruct	at instruere	Manualen vil instruere nye medarbejdere.
instrumental	medvirkende	Hendes råd var afgørende i forhandlingerne.
insufficient	utilstrækkelig	Beviserne var utilstrækkelige til anklager.
insult	en fornærmelse	Hans fornærmelse afsluttede samtalen.
intact	intakt	Den gamle mur forblev intakt.
intake	et indtag	Sukkerindtaget bør holdes moderat.
integral	afgørende	Tillid er afgørende for holdet.
integrated	integreret	Skolen tilbyder integreret støtte.
integration	en integration	Integrationen forbedrede hele systemet.
integrity	en integritet	Dommeren udviste stor integritet.
intensify	at intensivere	Stormen kan intensiveres i løbet af natten.
intensity	en intensitet	Træningens intensitet steg.
intensive	intensiv	De gennemførte intensiv sprogundervisning.
intent	en hensigt	Hans hensigt var svær at bevise.
interactive	interaktiv	Museet har interaktive udstillinger.
interface	en grænseflade	Grænsefladen er let at navigere i.
interfere	at blande sig	Bland dig ikke i efterforskningen.
interference	en forstyrrelse	Signalforstyrrelser afbrød opkaldet.
interim	midlertidig	En midlertidig rapport ankommer i morgen.
interior	indvendig	De indvendige vægge trænger til maling.
intermediate	mellemliggende	Hun startede på mellemniveauklassen.
intervene	at gribe ind	Politiet måtte gribe ind hurtigt.
intervention	en indgriben	Tidlig indgriben hjalp patienten.
intimate	intim	De afholdt en intim familieceremoni.
intriguing	fascinerende	Dataene afslørede et fascinerende mønster.
investigator	en efterforsker	Efterforskeren afhørte hvert vidne.
invisible	usynlig	Gassen er usynlig og farlig.
invoke	at påberåbe sig	Advokaten forsøgte at påberåbe sig præcedens.
involvement	en indblanding	Hans indblanding forblev uklar.
ironic	ironisk	Den ironiske kommentar fik alle til at grine.
ironically	ironisk nok	Ironisk nok tog ruten længere tid.
irony	en ironi	Ironien var åbenlys for enhver.
irrelevant	irrelevant	Den detalje er irrelevant her.
isolation	en isolation	Isolation kan skade den mentale sundhed.
judicial	juridisk	Den juridiske gennemgang starter på mandag.
junction	et kryds	Drej til venstre i krydset.
jurisdiction	en jurisdiktion	Retten har begrænset jurisdiktion.
just	retfærdig	Dommeren traf en retfærdig beslutning.
justification	en begrundelse	Vi har brug for en klar begrundelse for forbruget.
kidnap	at kidnappe	Kriminelle forsøgte at kidnappe diplomaten.
kidney	en nyre	Hendes nyrefunktion blev forbedret.
kingdom	et kongerige	Kongeriget udvidede sig under hans styre.
lad	en dreng	Den unge dreng bar poserne.
landlord	en udlejer	Udlejeren reparerede varmen.
landmark	et vartegn	Tårnet blev et vartegn for byen.
lap	et skød	Barnet sad på hendes skød.
large-scale	storstilet	Byen planlagde storstilede reparationer.
laser	en laser	Laseren målte afstanden.
latter	sidstnævnte	Den sidstnævnte mulighed virker mere sikker.
lawn	en græsplæne	Børnene legede på græsplænen.
lawsuit	et søgsmål	Virksomheden indgik forlig i søgsmålet.
layout	et layout	Sidelayoutet ser tydeligere ud.
leak	en lækage	En rørlækage oversvømmede køkkenet.
leap	et spring	Salget tog et pludseligt spring.
legacy	en arv	Hendes arv formede universitetet.
legendary	legendarisk	Den legendariske sanger vendte tilbage til scenen.
legislation	en lovgivning	Ny lovgivning beskytter lejere.
legislative	lovgivende	Det lovgivende udvalg mødtes i dag.
legislature	en lovgivende forsamling	Den lovgivende forsamling godkendte budgettet.
legitimate	legitim	De rejste legitime bekymringer.
lengthy	langvarig	Den langvarige debat forsinkede afstemningen.
lesbian	lesbisk	Den lesbiske aktivist talte på forummet.
lesser	mindre	Vælg den mindste risiko.
lethal	dødelig	Kemikaliet kan være dødeligt.
liable	ansvarlig	Bilister er ansvarlige for skader.
liberal	liberal	Han støtter en liberal socialpolitik.
liberation	en befrielse	Befrielsen ændrede landets fremtid.
liberty	en frihed	Loven beskytter den personlige frihed.
license	at give licens	Staten kan give licens til nye klinikker.
lifelong	livslang	Hun fik livslange venner der.
likelihood	en sandsynlighed	Sandsynligheden for regn steg.
limb	et lem	Det skadede lem helede langsomt.
linear	lineær	Diagrammet viser en lineær tendens.
line-up	et program	Festivalens program inkluderer lokale bands.
linger	hænge ved	Lugten kan hænge ved i timevis.
listing	en annonce	Lejlighedsannoncen så nøjagtig ud.
