source_headword	ID	example_ID
ability	kemampuan; kebolehan	Kemampuannya berenang jelas.
able	bisa; mampu	Dia bisa datang hari ini.
abroad	luar negeri; ke luar negeri	Dia ingin belajar di luar negeri.
accept	menerima; terima	Tolong terima hadiah kecil ini.
accident	kecelakaan	Kecelakaan itu terjadi dekat sekolah.
according to	menurut; sesuai dengan	Menurut laporan itu, hujan akan datang.
achieve	mencapai; berhasil mencapai	Anda bisa mencapai tujuan Anda.
act	berakting; bertindak	Dia bisa berakting dalam drama.
active	aktif; giat	Dia aktif setiap hari.
actually	sebenarnya	Sebenarnya, saya perlu lebih banyak waktu.
advantage	keuntungan; kelebihan	Rencana ini memiliki keuntungan.
adventure	petualangan	Perjalanan mereka adalah petualangan.
advertise	mengiklankan; memasang iklan	Mereka mengiklankan pekerjaan baru itu.
advertisement	iklan	Saya melihat sebuah iklan.
advertising	periklanan	Periklanan membantu menjual makanan.
affect	memengaruhi; berdampak pada	Tidur bisa memengaruhi kesehatan Anda.
against	melawan; bersandar pada	Jangan bersandar pada dinding.
ah	ah; oh	Oh, sekarang saya mengerti.
airline	maskapai penerbangan	Maskapai itu sangat sibuk.
alive	hidup; masih hidup	Ikan kecil itu masih hidup.
all right	baik-baik saja; oke	Semuanya oke sekarang.
allow	mengizinkan; membolehkan	Mereka mengizinkan anjing di sini.
almost	hampir	Kami hampir siap.
alone	sendiri; sendirian	Dia tinggal sendirian.
along	sepanjang; menyusuri	Berjalanlah menyusuri jalan ini.
already	sudah	Saya sudah tahu jawabannya.
alternative	alternatif; pilihan lain	Kereta ini adalah pilihan lain.
although	meskipun	Meskipun sudah larut, kami bisa tinggal.
among	di antara; dalam kelompok	Dia berdiri di antara pohon-pohon.
amount	jumlah; banyaknya	Jumlahnya terlalu kecil.
ancient	kuno; purba	Tembok kuno ini terkenal.
ankle	pergelangan kaki	Pergelangan kaki saya sakit hari ini.
anybody	siapa pun; siapa saja	Apakah siapa pun bisa menjawab ini?
any more	lagi; lebih banyak lagi	Saya tidak membutuhkannya lagi.
anyway	bagaimanapun; toh	Bagaimanapun, kita bisa mulai sekarang.
anywhere	di mana saja; ke mana saja	Duduklah di mana saja yang Anda suka.
app	aplikasi; app	Aplikasi ini berguna.
appear	muncul; tampak	Namanya akan muncul di sini.
appearance	penampilan; rupa	Penampilannya berbeda.
apply	melamar; menerapkan	Lamarlah pekerjaan itu hari ini.
architect	arsitek	Arsitek itu memiliki rencana.
architecture	arsitektur	Saya suka arsitektur modern.
argue	berdebat; bertengkar	Jangan bertengkar dengan adik perempuan Anda.
argument	argumen; pertengkaran	Pertengkaran itu singkat.
army	tentara	Angkatan tentara itu besar.
arrange	mengatur; menyusun	Tolong atur rapat itu.
arrangement	pengaturan; susunan	Pengaturan itu berjalan baik.
asleep	tertidur; sedang tidur	Bayi itu sedang tidur.
assistant	asisten; pembantu	Asisten itu membantu saya.
athlete	atlet	Atlet itu berlari cepat.
attack	menyerang; serangan	Anjing itu mungkin menyerang.
attend	menghadiri; mengikuti	Saya menghadiri kelas hari ini.
attention	perhatian	Tolong beri perhatian sekarang.
attractive	menarik; memikat	Taman itu menarik.
audience	penonton; hadirin	Penonton itu diam.
author	penulis; pengarang	Penulis itu menulis buku ini.
available	tersedia; ada	Makanan tersedia sekarang.
average	rata-rata; biasa	Nilai rata-ratanya bagus.
avoid	menghindari; mengelakkan	Hindari jalan yang sibuk.
award	penghargaan; hadiah	Dia memenangkan penghargaan.
awful	buruk sekali; mengerikan	Cuacanya buruk sekali.
background	latar belakang	Gambar itu memiliki latar belakang gelap.
badly	dengan buruk; parah	Dia bermain buruk hari ini.
bar	bar; batang	Kami bertemu di bar hotel.
baseball	bisbol	Bisbol populer di sini.
based	berdasarkan; berbasis	Film itu berdasarkan sebuah buku.
basketball	bola basket	Kami bermain bola basket setelah sekolah.
bean	kacang	Kacang ini hijau.
bear (animal)	beruang	Seekor beruang tinggal di hutan.
beat	mengalahkan; memukul	Tim kami bisa mengalahkan mereka.
beef	daging sapi	Saya makan daging sapi untuk makan malam.
behave	berperilaku; bersikap	Tolong berperilaku baik di kelas.
behaviour	perilaku	Perilakunya sopan.
belong	milik; termasuk	Sepatu ini milik saya.
belt	ikat pinggang	Ikat pinggangnya hitam.
benefit	manfaat; keuntungan	Olahraga memiliki manfaat nyata.
billion	miliar	Satu miliar adalah angka yang sangat besar.
bin	tempat sampah	Masukkan kertas ke tempat sampah.
biology	biologi	Biologi adalah kelas terbaik saya.
birth	kelahiran	Kelahirannya pada bulan Mei.
biscuit	biskuit	Dia makan biskuit.
bit	sedikit; bagian kecil	Saya perlu sedikit waktu lagi.
blank	kosong; ruang kosong	Tulis nama Anda di ruang kosong.
blood	darah	Darah berwarna merah.
blow	meniup; bertiup	Angin bisa bertiup kencang.
board	papan	Tulislah di papan.
boil	merebus; mendidih	Rebus airnya terlebih dahulu.
bone	tulang	Anjing itu memiliki tulang.
borrow	meminjam	Bolehkah saya meminjam pena Anda?
boss	bos; atasan	Bos saya ramah.
bottom	bagian bawah	Tandatangani di bagian bawah.
bowl	mangkuk	Mangkuk itu penuh.
brain	otak	Otak Anda perlu istirahat.
bridge	jembatan	Jembatan itu tua.
bright	terang; cerah	Ruangan itu terang.
brilliant	brilian; sangat bagus	Ide itu brilian.
broken	rusak; patah	Kursi itu rusak.
brush	sikat; menyikat	Sikat gigi Anda sekarang.
burn	membakar; terbakar	Jangan bakar roti itu.
businessman	pengusaha; pebisnis	Pengusaha itu tiba lebih awal.
button	tombol; kancing	Tekan tombol merah itu.
camp	berkemah; kamp	Kami berkemah dekat danau.
camping	berkemah; kegiatan berkemah	Berkemah menyenangkan pada musim panas.
can2	kaleng	Buka kaleng itu dengan hati-hati.
care	perawatan; peduli	Jaga kesehatan Anda.
careful	hati-hati; cermat	Hati-hati di tangga.
carefully	dengan hati-hati	Baca pertanyaan itu dengan hati-hati.
carpet	karpet	Karpet itu lembut.
cartoon	kartun	Kartun ini lucu.
case	kotak; kasus	Masukkan itu ke dalam kotak.
cash	uang tunai	Saya membayar dengan uang tunai.
castle	kastel; istana	Kastel itu sangat tua.
catch	menangkap; menyambut	Tangkap bola itu sekarang.
cause	penyebab; menyebabkan	Hujan bisa menyebabkan masalah.
celebrate	merayakan	Kami merayakan ulang tahun saya.
celebrity	selebritas	Selebritas itu sangat baik.
certain	pasti; tertentu	Saya pasti tentang hal ini.
certainly	tentu saja; pasti	Saya tentu akan membantu.
chance	kesempatan; peluang	Anda punya kesempatan.
character	tokoh; karakter	Tokoh ini berani.
charity	badan amal; amal	Badan amal itu membantu anak-anak.
chat	mengobrol; obrolan	Kami mengobrol setelah kelas.
chef	koki	Koki itu membuat sup.
chemistry	kimia	Kimia sulit bagi saya.
chip	keripik; cip	Keripik ini asin.
choice	pilihan	Pilihan ini penting.
church	gereja	Gereja itu dekat sini.
cigarette	rokok	Rokok buruk untuk kesehatan.
circle	lingkaran; bulatan	Gambar lingkaran di sini.
classical	klasik	Saya menikmati musik klasik.
clear	jelas; bening	Jawabannya jelas.
clearly	dengan jelas	Tolong bicara dengan jelas.
clever	pintar; cerdas	Dia anak yang pintar.
climate	iklim	Iklim sedang berubah.
close2	dekat	Sekolah saya dekat rumah.
closed	tutup; tertutup	Toko itu tutup.
clothing	pakaian	Pakaian hangat berguna.
cloud	awan	Awan menutupi matahari.
coach	pelatih	Pelatih itu membantu tim.
coast	pantai; pesisir	Kami berkendara sepanjang pantai.
code	kode	Masukkan kode itu di sini.
colleague	rekan kerja	Rekan kerja saya menelepon.
collect	mengumpulkan; mengoleksi	Saya mengoleksi kartu lama.
column	kolom; tiang	Baca kolom pertama.
comedy	komedi	Komedi ini lucu.
comfortable	nyaman	Kursi ini nyaman.
comment	komentar; berkomentar	Tinggalkan komentar di bawah.
communicate	berkomunikasi	Kami berkomunikasi lewat email.
community	komunitas; masyarakat	Komunitas kami ramah.
compete	bertanding; bersaing	Mereka bertanding setiap tahun.
competition	kompetisi; lomba	Kompetisi dimulai besok.
complain	mengeluh; mengadu	Jangan mengeluh lagi.
completely	sepenuhnya; sama sekali	Saya sepenuhnya setuju dengan Anda.
condition	kondisi; keadaan	Mobil itu dalam kondisi baik.
conference	konferensi	Konferensi dimulai pukul sembilan.
connect	menghubungkan; menyambungkan	Hubungkan telepon ke komputer.
connected	terhubung; berkaitan	Dua ide itu berkaitan.
consider	mempertimbangkan	Tolong pertimbangkan ide saya.
contain	berisi; mengandung	Kotak ini berisi buku.
context	konteks	Konteks membantu Anda memahami.
continent	benua	Sebuah benua sangat besar.
continue	melanjutkan; terus	Lanjutkan membaca, tolong.
control	mengendalikan; kontrol	Kendalikan kecepatan dengan hati-hati.
cooker	kompor; alat masak	Kompor itu bersih.
copy	salinan; menyalin	Buat salinan untuk saya.
corner	sudut; pojok	Duduklah di sudut.
correctly	dengan benar	Tulis jawaban itu dengan benar.
count	menghitung; hitungan	Hitung buku-buku itu.
couple	pasangan	Pasangan itu tiba lebih awal.
cover	menutup; penutup	Tutup mangkuk itu.
crazy	gila; aneh	Ide ini terdengar gila.
creative	kreatif	Dia punya ide kreatif.
credit	kredit; pujian	Saya membayar dengan kartu kredit.
crime	kejahatan	Kejahatan adalah masalah serius.
criminal	penjahat; kriminal	Penjahat itu pergi dengan cepat.
cross	menyeberang; silang	Menyeberanglah dengan hati-hati.
crowd	kerumunan	Kerumunan menunggu di luar.
crowded	ramai; penuh	Kereta itu penuh.
cry	menangis	Jangan menangis sekarang.
cupboard	lemari	Cangkir ada di dalam lemari.
curly	keriting	Dia memiliki rambut keriting.
cycle	bersepeda; siklus	Saya bersepeda ke sekolah.
daily	harian; setiap hari	Saya membaca berita setiap hari.
danger	bahaya	Tanda itu menunjukkan bahaya.
data	data	Data ini berguna.
dead	mati	Tanaman itu mati.
deal	kesepakatan; tawaran	Ini tawaran yang bagus.
death	kematian	Kematian adalah topik yang sulit.
decision	keputusan	Buat keputusan hari ini.
deep	dalam	Air itu dalam.
definitely	pasti	Saya pasti ingin teh.
degree	gelar; derajat	Gelar saya dalam sejarah.
dentist	dokter gigi	Dokter gigi memeriksa gigi saya.
department	departemen; bagian	Bagian sepatu ada di lantai atas.
depend	bergantung	Itu bergantung pada cuaca.
desert	gurun; meninggalkan	Gurun itu sangat kering.
designer	desainer; perancang	Desainer itu membuat gaun ini.
destroy	menghancurkan; merusak	Jangan hancurkan file itu.
detective	detektif; penyelidik	Detektif itu menemukan kunci.
develop	mengembangkan; membangun	Mereka mengembangkan aplikasi baru.
device	perangkat; alat	Perangkat ini berguna.
diary	buku harian; diari	Dia menulis di buku hariannya.
differently	dengan berbeda	Kami melakukannya dengan berbeda.
digital	digital	Ini kamera digital.
direct	langsung; terus	Naik kereta langsung.
direction	arah	Berjalanlah ke arah ini.
director	sutradara; direktur	Sutradara itu menyukai filmnya.
disagree	tidak setuju	Saya tidak setuju dengan ide itu.
disappear	menghilang	Matahari akan segera menghilang.
disaster	bencana	Badai itu adalah bencana.
discover	menemukan; mengetahui	Mereka menemukan pulau baru.
discovery	penemuan	Penemuan itu mengubah sains.
discussion	diskusi; pembahasan	Diskusi itu selesai lebih awal.
disease	penyakit	Penyakit ini serius.
distance	jarak	Jaraknya pendek.
divorced	bercerai	Orang tuanya bercerai.
document	dokumen	Simpan dokumen ini sekarang.
double	ganda; dua kali lipat	Saya perlu kamar ganda.
download	mengunduh; unduhan	Unduh aplikasi itu hari ini.
drama	drama	Drama itu dimulai malam ini.
drawing	gambar; lukisan	Gambarnya indah.
dream	mimpi; bermimpi	Saya bermimpi aneh.
driving	mengemudi; berkendara	Mengemudi pada malam hari sulit.
drop	menjatuhkan; tetes	Jangan jatuhkan gelas itu.
drug	obat; narkoba	Obat itu membantunya.
dry	kering; mengeringkan	Handuk itu kering.
earn	mendapatkan; memperoleh	Saya mendapatkan uang di tempat kerja.
earth	bumi; tanah	Bumi itu bulat.
easily	dengan mudah	Dia belajar dengan mudah.
education	pendidikan	Pendidikan itu penting.
effect	efek; pengaruh	Efeknya jelas.
either	salah satu; mana saja	Jawaban mana saja baik.
electric	listrik; elektrik	Mobil ini mobil listrik.
electrical	kelistrikan; berkaitan listrik	Sistem listrik itu aman.
electricity	listrik	Listrik mahal di sini.
electronic	elektronik	Tiket elektronik ini berfungsi.
employ	mempekerjakan	Mereka mempekerjakan lima orang.
employee	karyawan; pegawai	Karyawan itu bekerja keras.
employer	pemberi kerja; majikan	Pemberi kerja saya adil.
empty	kosong; mengosongkan	Ruangan itu kosong.
ending	akhir; penutup	Akhirnya mengejutkan.
energy	energi	Tidak ada energi pada saya hari ini.
engine	mesin	Mesin itu berisik.
engineer	insinyur; teknisi	Insinyur itu memperbaiki jembatan.
enormous	sangat besar; raksasa	Gedung itu sangat besar.
enter	masuk; memasukkan	Masuklah ke ruangan dengan tenang.
environment	lingkungan; alam sekitar	Lindungi lingkungan.
equipment	peralatan	Peralatan ini mahal.
error	kesalahan; galat	Saya menemukan kesalahan.
especially	terutama; khususnya	Saya terutama menyukai lagu ini.
essay	esai	Tulis esai malam ini.
