source_headword	TA	example_TA
toss	தூக்கி எறிதல்	அவள் சாவியை மேசையின் மீது தூக்கி எறிந்தாள்.
total	மொத்தம்	பழுதுபார்க்கும் மொத்த செலவு எதிர்பார்த்ததை விட அதிகமாக உள்ளது.
toxic	நச்சுத்தன்மை வாய்ந்த	நச்சுப் புகை அனைவரையும் வெளியேறச் செய்தது.
trademark	வர்த்தக முத்திரை	அந்த இலச்சினை நிறுவனத்தின் வர்த்தக முத்திரையாக மாறியது.
trail	பாதை	அந்தப் பாதை காட்டின் வழியாகச் சென்றது.
trailer	முன்னோட்டம்	முன்னோட்டம் படத்தின் முடிவைக் காட்டியது.
transaction	பரிவர்த்தனை	பரிவர்த்தனை எனது வங்கி அறிக்கையில் தோன்றியது.
transcript	மதிப்பெண் சான்றிதழ்	மாணவர் அதிகாரப்பூர்வ மதிப்பெண் சான்றிதழைக் கோரினார்.
transformation	மாற்றம்	நகரம் ஒரு பெரிய மாற்றத்தைக் கண்டது.
transit	போக்குவரத்து	போக்குவரத்தின் போது பொட்டலம் சேதமடைந்தது.
transmission	பரிமாற்றம்	தரவுப் பரிமாற்றம் பாதுகாப்பாக இருந்தது.
transparency	வெளிப்படைத்தன்மை	அறிக்கை அதிக வெளிப்படைத்தன்மையை வலியுறுத்தியது.
transparent	வெளிப்படையான	செயல்முறை அனைவருக்கும் வெளிப்படையானதாக இருக்க வேண்டும்.
trauma	அதிர்ச்சி	அந்த விபத்து ஆழ்ந்த அதிர்ச்சியை ஏற்படுத்தியது.
treaty	ஒப்பந்தம்	நாடுகள் அமைதி ஒப்பந்தத்தில் கையெழுத்திட்டன.
tremendous	பிரம்மாண்டமான	அணி பிரம்மாண்டமான முன்னேற்றத்தை அடைந்தது.
tribal	பழங்குடி	அருங்காட்சியகம் பழங்குடி கலைகளைக் காட்சிப்படுத்தியது.
tribunal	தீர்ப்பாயம்	தீர்ப்பாயம் வாரம் முழுவதும் சாட்சியங்களை விசாரித்தது.
tribute	அஞ்சலி	இந்த இசை நிகழ்ச்சி அவளுக்குச் செலுத்தும் மரியாதையாக அமைந்தது.
trio	மூவர்	விழாவில் அந்த மூவர் குழு நிகழ்ச்சியை நடத்தியது.
triumph	வெற்றி	இந்த வெற்றி ஒரு தனிப்பட்ட வெற்றியாகும்.
trophy	கோப்பை	கேப்டன் பெருமையுடன் கோப்பையை உயர்த்தினார்.
troubled	சிக்கலான	சிக்கலில் தவிக்கும் நிறுவனத்திற்கு புதிய தலைமை தேவைப்பட்டது.
trustee	அறங்காவலர்	அறங்காவலர் கல்வி உதவித்தொகை நிதியை நிர்வகிக்கிறார்.
tuition	கல்வி கட்டணம்	அவளுடைய கல்வி கட்டணம் இந்த ஆண்டு அதிகரித்துள்ளது.
turnout	வருகை	வாக்காளர்களின் வருகை எதிர்பார்த்ததை விட அதிகமாக இருந்தது.
turnover	பணியாளர் மாற்றம்	மாற்றங்களுக்குப் பிறகு பணியாளர் வெளியேற்றம் குறைந்தது.
twist	திருகுதல்	அவள் மூடியைத் திருகி திறந்தாள்.
undergraduate	இளங்கலை மாணவர்	இளங்கலை மாணவர் ஒரு ஆராய்ச்சி திட்டத்தில் சேர்ந்தார்.
underlying	அடிப்படையான	அறிக்கை அடிப்படையான காரணங்களை விளக்கியது.
undermine	பலவீனப்படுத்துதல்	ஊழல் மக்கள் நம்பிக்கையை பலவீனப்படுத்தியது.
undoubtedly	சந்தேகமின்றி	அவள் சந்தேகமின்றி சிறந்த வேட்பாளர் ஆவாள்.
unify	ஒன்றிணைத்தல்	இத்திட்டம் அணிகளை ஒன்றிணைப்பதை நோக்கமாகக் கொண்டுள்ளது.
unprecedented	முன்மாதிரியற்ற	புயல் முன்மாதிரியற்ற சேதத்தை ஏற்படுத்தியது.
unveil	வெளியிடுதல்	நிறுவனம் நாளை வடிவமைப்பை வெளியிடும்.
upcoming	வரவிருக்கும்	வரவிருக்கும் தேர்தல் மக்களின் கவனத்தை ஈர்த்தது.
upgrade	மேம்படுத்துதல்	நேற்று இரவு மென்பொருளை மேம்படுத்தினோம்.
uphold	நிலைநிறுத்துதல்	நாங்கள் அசல் முடிவை நிலைநிறுத்துகிறோம்.
utility	பயன்பாடு	குடியிருப்பில் அனைத்து பயன்பாட்டு செலவுகளும் அடங்கும்.
utilize	பயன்படுத்துதல்	அணி கிடைத்த தரவுகளைப் பயன்படுத்தியது.
utterly	முற்றிலும்	விளக்கம் முற்றிலும் குழப்பமாக இருந்தது.
vacuum	வெற்றிடம்	தலைமையில் ஏற்பட்ட வெற்றிடம் பதற்றத்தை உருவாக்கியது.
vague	தெளிவற்ற	அவனது பதில் தெளிவற்றதாகவும் பலவீனமாகவும் இருந்தது.
validity	செல்லுபடியாகும் தன்மை	இந்த ஆய்வு சோதனையின் செல்லுபடியாகும் தன்மையை கேள்விக்குள்ளாக்கியது.
vanish	மாயமாதல்	கோப்புப்புறையிலிருந்து கோப்பு மாயமானது.
variable	மாறி	விலை என்பது ஒரு முக்கியமான மாறி ஆகும்.
varied	பல்வேறு	இந்தப் பாடநெறி பல்வேறு பணிகளை வழங்குகிறது.
vein	நரம்பு	செவிலியர் விரைவாக ஒரு நரம்பைக் கண்டுபிடித்தார்.
venture	முயற்சி	புதிய நிறுவனம் முதலீட்டாளர்களை ஈர்த்தது.
verbal	வாய்மொழி	அவர்கள் வாய்மொழி உடன்பாட்டை எட்டினர்.
verdict	தீர்ப்பு	நடுவர் மன்றம் தனது தீர்ப்பை வழங்கியது.
