source_headword	ES-419	example_ES-419
prey	la presa	Los búhos cazan presas de noche.
privatization	la privatización	La privatización cambió el sistema ferroviario.
privilege	el privilegio	La educación no debería ser un privilegio.
probe	la investigación	La investigación reveló errores graves.
problematic	problemático	El acuerdo sigue siendo problemático.
proceedings	los procedimientos	Los procedimientos judiciales comenzaron el lunes.
proceeds	los fondos	Los fondos apoyarán a las escuelas locales.
processing	el procesamiento	El procesamiento de imágenes lleva tiempo.
processor	el procesador	El procesador falló durante las pruebas.
proclaim	proclamar	Los líderes proclaman la victoria demasiado pronto.
productive	productivo	La reunión fue productiva.
productivity	la productividad	La productividad mejoró después de la capacitación.
profitable	rentable	La tienda se volvió rentable este año.
profound	profundo	El discurso tuvo un efecto profundo.
projection	la proyección	La proyección muestra un crecimiento constante.
prominent	prominente	Ella se convirtió en una científica prominente.
pronounced	marcado	Su acento se volvió más marcado.
propaganda	la propaganda	La campaña usó propaganda en línea.
proposition	la proposición	La propuesta es una proposición arriesgada.
prosecute	procesar	Las autoridades procesan casos graves de fraude.
prosecution	la fiscalía	La fiscalía presentó nuevas pruebas.
prosecutor	el fiscal	El fiscal interrogó al testigo.
prospective	futuro	Los futuros estudiantes recorrieron el campus.
prosperity	la prosperidad	El comercio trajo prosperidad a la región.
protective	protector	Ella usaba guantes protectores.
protocol	el protocolo	El protocolo requiere aprobación por escrito.
province	la provincia	La provincia invirtió en transporte.
provincial	provincial	Las autoridades provinciales anunciaron el plan.
provision	la cláusula	El contrato incluye una cláusula de seguridad.
provoke	provocar	El discurso puede provocar reacciones fuertes.
psychiatric	psiquiátrico	El hospital abrió una unidad psiquiátrica.
pulse	el pulso	La enfermera revisó su pulso.
pump	la bomba	La bomba sube el agua.
punch	el puñetazo	Lanzó un puñetazo con ira.
query	la consulta	Envía tu consulta al soporte.
quest	la búsqueda	Su búsqueda de justicia continuó.
quota	la cuota	El equipo alcanzó su cuota de ventas.
radar	el radar	La tormenta apareció en el radar.
radical	radical	El grupo propuso reformas radicales.
rage	la rabia	Su rabia se desvaneció rápidamente.
raid	la redada	La policía realizó una redada al amanecer.
rally	el mitin	Los simpatizantes se unieron al mitin en el centro.
ranking	la clasificación	La universidad mejoró su clasificación.
rape	la violación	Los casos de violación requieren una investigación cuidadosa.
ratio	la proporción	La clase tiene una baja proporción de maestros.
rational	racional	Su decisión fue racional.
ray	el rayo	Entró un rayo de sol.
readily	fácilmente	Aceptó la oferta de buena gana.
realization	el darse cuenta	El darse cuenta cambió sus planes.
realm	el ámbito	Esta pregunta pertenece a otro ámbito.
rear	trasero	Usa la entrada trasera hoy.
reasoning	el razonamiento	Su razonamiento era claro.
reassure	tranquilizar	El médico intentó tranquilizarla.
rebel	el rebelde	El líder rebelde escapó de la captura.
rebellion	la rebelión	La rebelión terminó después de las negociaciones.
recipient	el destinatario	El destinatario firmó el formulario.
reconstruction	la reconstrucción	La reconstrucción comenzó después de la inundación.
recount1	relatar	Ella puede relatar los eventos claramente.
referendum	el referéndum	El referéndum dividió al país.
reflection	la reflexión	El ensayo necesitaba una reflexión más profunda.
reform	la reforma	La reforma mejoró los servicios públicos.
refuge	el refugio	La familia buscó refugio en el extranjero.
refusal	la negativa	Su negativa sorprendió al comité.
regain	recuperar	Él trabajó duro para recuperar la confianza.
regardless	sin importar	Continuaron sin importar las críticas.
regime	el régimen	El régimen restringió la libertad de expresión.
regulator	el regulador	El regulador multó a la empresa.
regulatory	regulatorio	La aprobación regulatoria tomó meses.
rehabilitation	la rehabilitación	La rehabilitación lo ayudó a caminar de nuevo.
reign	el reinado	El reinado del rey duró décadas.
rejection	el rechazo	El rechazo hirió su confianza.
relevance	la relevancia	Los datos tienen una relevancia limitada.
reliability	la confiabilidad	La confiabilidad importa en los sistemas de emergencia.
reluctant	reacio	Estaba reacio a hablar.
remainder	el resto	El resto fue para la caridad.
remains	los restos	Los restos fueron examinados cuidadosamente.
remedy	el recurso	La ley proporciona un recurso.
reminder	el recordatorio	El correo electrónico fue un recordatorio útil.
removal	la eliminación	La eliminación de barreras ayudó al comercio.
render	hacer	El error hizo que el contrato fuera inválido.
renew	renovar	Renueva tu pasaporte pronto.
renowned	renombrado	Ella es renombrada por su investigación.
rental	el alquiler	El alquiler incluye seguro.
replacement	el reemplazo	La pieza de reemplazo llegó hoy.
reportedly	supuestamente	El ministro supuestamente renunció ayer.
representation	la representación	Una representación justa sigue siendo importante.
reproduce	reproducir	Estas plantas se reproducen rápidamente.
reproduction	la reproducción	La reproducción digital mejoró el acceso.
republic	la república	La república celebró elecciones.
resemble	parecerse	Los dos diseños se parecen mucho.
reside	residir	Ellos residen cerca de la frontera.
residence	la residencia	Su residencia oficial está custodiada.
residential	residencial	El área es en su mayoría residencial.
residue	el residuo	El limpiador dejó un residuo pegajoso.
resignation	la renuncia	Su renuncia conmocionó a la junta.
resistance	la resistencia	La resistencia al cambio fue fuerte.
respective	respectivo	Regresaron a sus respectivas oficinas.
respectively	respectivamente	Las puntuaciones fueron 80 y 90, respectivamente.
restoration	la restauración	La restauración del edificio tomó años.
restraint	la moderación	La policía mostró moderación.
resume	reanudar	Las clases se reanudan la próxima semana.
retreat	la retirada	El ejército comenzó una retirada.
retrieve	recuperar	Ella recuperó el archivo.
revelation	la revelación	La revelación dañó su reputación.
revenge	la venganza	Él quería venganza por el insulto.
reverse	revocar	El tribunal revocó la decisión.
revival	la recuperación	La ciudad vio una recuperación económica.
revive	revivir	El festival ayudó a revivir las tradiciones locales.
revolutionary	revolucionario	El invento fue revolucionario.
rhetoric	la retórica	Su retórica sonó agresiva.
rifle	el rifle	El rifle estaba guardado de forma segura.
riot	el motín	El motín duró varias horas.
rip	rasgar	Rasga el papel con cuidado.
ritual	el ritual	El ritual marca la cosecha.
robust	robusto	El sistema es robusto.
rock	sacudir	La explosión sacudió el pueblo.
rod	la barra	La cortina cuelga de una barra.
rotate	girar	Gira la manija lentamente.
rotation	la rotación	La rotación de cultivos protege el suelo.
ruling	el fallo	El tribunal emitió un fallo.
rumour	el rumor	El rumor se difundió rápidamente.
sack	despedir	La directiva podría despedir al entrenador.
sacred	sagrado	El templo es sagrado.
sacrifice	el sacrificio	Los padres a menudo hacen sacrificios.
saint	el santo	La iglesia honra a un santo local.
sake	el bien	Él se quedó por el bien de ella.
sanction	la sanción	La sanción afectó el comercio internacional.
say	la voz	Los empleados tuvieron voz en la programación.
scattered	esparcido	Papeles esparcidos cubrían el escritorio.
sceptical	escéptico	Ella siguió escéptica sobre la afirmación.
scope	el alcance	El alcance del proyecto se expandió.
screw	el tornillo	Aprieta el tornillo con cuidado.
scrutiny	el escrutinio	El acuerdo enfrentó el escrutinio público.
seal	sellar	Sella el sobre antes de enviarlo.
secular	laico	La escuela sigue un plan de estudios laico.
seemingly	aparentemente	La tarea era aparentemente sencilla.
segment	el segmento	El segmento final fue más corto.
seize	incautar	La policía incautó los documentos.
seldom	rara vez	Ella rara vez falta a una clase.
selective	selectivo	El programa es altamente selectivo.
senator	el senador	El senador apoyó el proyecto de ley.
sensation	la sensación	El descubrimiento causó sensación.
sensitivity	la sensibilidad	El tema requiere sensibilidad.
sentiment	el sentimiento	El sentimiento público cambió rápidamente.
separation	la separación	La separación fue difícil.
serial	de serie	Falta el número de serie.
settlement	el acuerdo	El acuerdo terminó la disputa.
set-up	el montaje	El montaje tomó toda la mañana.
sexuality	la sexualidad	El curso discute la identidad y la sexualidad.
shareholder	el accionista	Un accionista cuestionó a la junta.
shatter	destrozar / destruir	Las noticias destrozaron su confianza.
shed	recortar / deshacerse de	La empresa recortará empleos.
sheer	puro / absoluto	El puro tamaño sorprendió a todos.
shipping	el envío / el flete	Los costos de envío aumentaron.
shoot	la sesión de fotos / el rodaje	La sesión de fotos terminó temprano.
shrink	encogerse	La camisa puede encogerse.
shrug	encogerse de hombros	Ella se encogió levemente de hombros.
sigh	suspirar / el suspiro	Él suspiró de alivio.
simulate	simular	El software puede simular el tráfico.
simulation	la simulación	La simulación predijo inundaciones.
simultaneously	simultáneamente	Dos alarmas sonaron simultáneamente.
sin	el pecado	El orgullo es considerado un pecado.
situated	situado	El hotel está situado en el centro.
sketch	el boceto / el bosquejo	Ella hizo un boceto rápido.
skip	saltar / omitir	No te saltes el desayuno.
slam	dar un portazo / azotar	Él puede azotar la puerta.
slap	dar una bofetada / golpear	No golpees la mesa.
slavery	la esclavitud	La esclavitud moldeó la historia de la región.
slot	el espacio / el horario	Reserva un horario en línea.
smash	hacer añicos / estrellar	El vaso se hizo añicos en el piso.
snap	chasquear / partirse	La rama se partió con el viento.
soak	remojar	Remoja los frijoles toda la noche.
soar	dispararse / elevarse	Los precios del combustible pueden dispararse.
socialist	socialista	El partido apoya políticas socialistas.
sole	único	Él fue el único sobreviviente.
solely	únicamente / exclusivamente	La decisión fue únicamente suya.
solicitor	el abogado	El abogado preparó el contrato.
solidarity	la solidaridad	Los trabajadores expresaron solidaridad.
solo	en solitario / solo	Ella lanzó un álbum como solista.
sound	sensato / sólido	El plan es sólido y práctico.
sovereignty	la soberanía	El tratado protegió la soberanía nacional.
spam	el correo no deseado / el spam	El spam llenó la bandeja de entrada.
span	atravesar / abarcar	El puente atraviesa el río.
spark	desatar / provocar	Un pequeño comentario desató el debate.
specialized	especializado	La clínica brinda atención especializada.
specification	la especificación	El diseño cumple con cada especificación.
specimen	el espécimen / la muestra	El espécimen se guardó de forma segura.
spectacle	el espectáculo	El desfile fue un espectáculo vívido.
spectrum	el espectro	Las opiniones abarcan un amplio espectro.
spell	la racha / el período	La racha seca duró semanas.
sphere	la esfera	La política entró en la esfera cultural.
spin	girar	Las ruedas empezaron a girar.
spine	la columna vertebral / la espina dorsal	La lesión afectó su columna vertebral.
spotlight	el centro de atención / los reflectores	El escándalo lo puso en el centro de atención.
spouse	el cónyuge	Su cónyuge asistió a la ceremonia.
spy	el espía / la espía	El espía envió mensajes codificados.
squad	el escuadrón / el equipo	El escuadrón de rescate llegó rápido.
squeeze	apretar	Aprieta la manija suavemente.
stab	apuñalar	El informe describió una herida de puñalada.
stability	la estabilidad	La política trajo estabilidad.
stabilize	estabilizar	La medicina ayudó a estabilizarlo.
stake	la participación / el interés	Los inversores tienen una participación aquí.
standing	la posición / la reputación	Su posición en el partido subió.
stark	marcado / severo	Los resultados mostraron un contraste marcado.
statistical	estadístico	El estudio usó métodos estadísticos.
steer	dirigir / guiar	Él intentó dirigir el debate.
stem	el tallo	El tallo se rompió en la tormenta.
stereotype	el estereotipo	La película desafió un estereotipo.
stimulus	el estímulo	El paquete proporcionó un estímulo económico.
stir	revolver / mezclar	Revuelve la salsa lentamente.
storage	el almacenamiento	La instalación ofrece almacenamiento seguro.
straightforward	directo / sencillo	Las instrucciones fueron sencillas.
strain	la tensión / el estrés	El largo retraso causó tensión.
strand	el mechón / la hebra	Un mechón de cabello cayó.
strategic	estratégico	La empresa hizo una inversión estratégica.
strip (long narrow piece)	la tira / la franja	Corta una tira estrecha de papel.
strip (remove clothes/a layer)	quitar / raspar	Quita la pintura vieja con cuidado.
strive	esforzarse / luchar	Ellos se esfuerzan por la excelencia.
structural	estructural	El puente tiene daños estructurales.
stumble	tropezar	Él tropezó en las escaleras.
stun	aturdir / asombrar	Las noticias pueden aturdir a las personas.
submission	la entrega / el envío	La fecha límite para la entrega pasó.
subscriber	el suscriptor	Cada suscriptor recibe actualizaciones.
subscription	la suscripción	La suscripción se renueva automáticamente.
subsidy	el subsidio	El subsidio redujo los costos del combustible.
substantial	sustancial / considerable	El proyecto necesita financiamiento sustancial.
substantially	sustancialmente	El precio aumentó sustancialmente.
substitute	el sustituto	Usa leche como sustituto.
substitution	la sustitución	La sustitución cambió la receta.
subtle	sutil	La pintura tiene detalles sutiles.
suburban	suburbano	Ellos se mudaron a una zona suburbana.
succession	la sucesión	La crisis siguió a una sucesión de fracasos.
successive	sucesivo	Gobiernos sucesivos ignoraron el problema.
successor	el sucesor	El sucesor comenzará el lunes.
suck	succionar / aspirar	La máquina puede aspirar polvo.
sue	demandar	Ella decidió demandar a la empresa.
suicide	el suicidio	La prevención del suicidio necesita financiamiento sostenido.
suite	la suite	La suite del hotel tenía vista al río.
summit	la cumbre	Los líderes se reunieron en la cumbre.
superb	soberbio / magnífico	La actuación fue magnífica.
superior	superior	El nuevo modelo es superior.
supervise	supervisar	Ella supervisará a los aprendices.
supervision	la supervisión	Los niños necesitan supervisión de un adulto.
supervisor	el supervisor	Pregúntale a tu supervisor primero.
supplement	el suplemento	El informe incluye un suplemento.
supportive	comprensivo / solidario	Su familia la apoyó.
supposedly	supuestamente	El archivo fue supuestamente borrado.
suppress	reprimir / suprimir	El régimen intentó reprimir las protestas.
supreme	supremo	La corte suprema escuchó el caso.
surge	el aumento repentino / la oleada	Una oleada repentina dañó el equipo.
surgical	quirúrgico	El paciente necesita tratamiento quirúrgico.
surplus	el excedente	El almacén tiene un excedente.
surrender	rendirse	Los soldados acordaron rendirse.
surveillance	la vigilancia	Cámaras de vigilancia grabaron la entrada.
suspension	la suspensión	La suspensión duró dos semanas.
suspicion	la sospecha	Su comportamiento levantó sospechas.
suspicious	sospechoso	El paquete se veía sospechoso.
sustain	sostener / mantener	El proyecto puede sostener los empleos locales.
swing	balancearse / oscilar	La puerta empezó a balancearse.
sword	la espada	La espada colgaba en la pared.
symbolic	simbólico	El gesto fue simbólico.
syndrome	el síndrome	El síndrome afecta la memoria.
synthesis	la síntesis	El capítulo ofrece una síntesis.
systematic	sistemático	La revisión fue sistemática.
tactic	la táctica	La táctica fracasó rápidamente.
tactical	táctico	El equipo hizo un cambio táctico.
taxpayer	el contribuyente	El dinero del contribuyente financió el puente.
tempt	tentar	La oferta puede tentar a los inversores.
tenant	el inquilino	El inquilino pagó el alquiler por adelantado.
tender	tierno / cariñoso	Ella dio una sonrisa tierna.
tenure	el mandato / la permanencia	Su mandato duró seis años.
terminal	terminal	El paciente tenía una enfermedad terminal.
terminate	rescindir / terminar	La empresa puede rescindir el contrato.
terrain	el terreno	El terreno era difícil.
terrific	fantástico / genial	La vista era fantástica.
testify	testificar	Ella aceptó testificar.
testimony	el testimonio	Su testimonio fue detallado.
texture	la textura	La tela tiene una textura áspera.
thankfully	afortunadamente / por suerte	Afortunadamente, nadie resultó herido.
theatrical	teatral	El discurso sonó teatral.
theology	la teología	Él estudió teología en la universidad.
theoretical	teórico	El modelo es puramente teórico.
thereafter	a partir de entonces / después	A partir de entonces, las reglas cambiaron.
thereby	de ese modo / así	El cambio redujo los costos, salvando así empleos.
thoughtful	atento / reflexivo	Su respuesta fue reflexiva.
thought-provoking	estimulante / que hace pensar	El artículo invitaba a la reflexión.
thread	el hilo	El hilo se rompió fácilmente.
