source_headword	SK	example_SK
fridge	chladnička	Mlieko je v chladničke.
frog	žaba	Žaba skočila do rybníka.
furniture	nábytok	Tento nábytok je starý, ale pevný.
further	ďalej; ďalší	Potrebujeme ďalšie informácie.
gallery	galéria	Galéria je dnes otvorená.
gap	medzera; otvor	V stene je otvor.
gas	benzín; plyn	Auto potrebuje benzín.
gate	brána	Zatvor bránu, prosím.
general	všeobecný	Toto je všeobecné pravidlo.
gift	darček	Kúpila darček.
goal	cieľ	Náš cieľ je jednoduchý.
god	Boh; boh	Mnohí ľudia sa modlia k Bohu.
gold	zlato; zlatý	Prsteň je zo zlata.
golf	golf	Dnes hrá golf.
government	vláda	Vláda zmenila zákon.
grass	tráva	Tráva je mokrá.
greet	pozdraviť	Pozdrav každého hosťa zdvorilo.
ground	zem; pôda	Sadni si na zem.
guest	hosť	Náš hosť prišiel skoro.
guide	sprievodca; návod	Sprievodca nám ukázal múzeum.
gun	zbraň	Polícia našla zbraň.
guy	chlap; muž	Ten chlap je môj brat.
habit	zvyk	Čítať každý deň je dobrý zvyk.
hall	hala; chodba	Počkaj na chodbe.
happily	šťastne	Žili spolu šťastne.
headache	bolesť hlavy	Bolí ma hlava.
heart	srdce	Jej srdce bije rýchlo.
heat	teplo; ohriať	Ohrej polievku pomaly.
heavy	ťažký	Tá taška je ťažká.
height	výška	Zmeraj výšku stola.
helpful	ochotný; užitočný	Tvoja rada je veľmi užitočná.
hero	hrdina	Je môj hrdina.
hers	jej	Modrý kabát je jej.
herself	seba; sama	Uvarila večeru sama.
hide	skryť; schovať	Schovaj kľúč pod škatuľu.
hill	kopec	Išli sme hore kopcom.
himself	seba; sám	Opravil to sám.
hit	udrieť; zasiahnuť	Neudieraj do dverí.
hockey	hokej	Včera večer sme sledovali hokej.
hold	držať	Drž ma za ruku.
hole	diera	V ponožke mám dieru.
huge	obrovský	Izba bola obrovská.
human	človek; ľudský	Každý človek potrebuje vodu.
hurt	bolieť; zraniť	Bolí ma koleno.
ideal	ideálny	Táto izba je ideálna na štúdium.
identify	identifikovať; spoznať	Dokážeš spoznať tohto vtáka?
ill	chorý	Dnes sa cíti chorá.
illness	choroba	Choroba trvala týždeň.
image	obraz; obrázok	Obrázok je jasný.
immediately	okamžite	Poď sem okamžite.
impossible	nemožný	Táto skladačka sa zdá nemožná.
included	zahrnutý	Raňajky sú zahrnuté.
including	vrátane	Prišlo desať ľudí vrátane mňa.
increase	zvýšiť; nárast	Ceny v lete rastú.
incredible	neuveriteľný; úžasný	Výhľad bol neuveriteľný.
independent	nezávislý; samostatný	Moja sestra je samostatná.
individual	jednotlivec; individuálny	Každý jednotlivec má číslo.
industry	priemysel; odvetvie	Miestny priemysel rastie.
informal	neformálny	Tento e-mail je neformálny.
injury	zranenie	Zranenie nie je vážne.
insect	hmyz	Na pohár pristál hmyz.
inside	vnútri; dovnútra	Počkaj vnútri domu.
instead	namiesto toho	Napi sa namiesto toho vody.
instruction	pokyn; inštrukcia	Prečítaj si každý pokyn pozorne.
instructor	inštruktor; učiteľ	Inštruktor vysvetlil cvičenie.
instrument	nástroj; hudobný nástroj	Hrá na hudobnom nástroji.
intelligent	inteligentný	Je inteligentná žiačka.
international	medzinárodný	Toto je medzinárodné letisko.
