source_headword	DA	example_DA
prey	et bytte	Ugler jager bytte om natten.
privatization	en privatisering	Privatisering ændrede jernbanesystemet.
privilege	et privilegium	Uddannelse bør ikke være et privilegium.
probe	en undersøgelse	Undersøgelsen afslørede alvorlige fejl.
problematic	problematisk	Aftalen forbliver problematisk.
proceedings	forhandlinger	Rettsforhandlinger startede i mandags.
proceeds	indtægter	Indtægterne vil støtte lokale skoler.
processing	en billedbehandling	Billedbehandling tager tid.
processor	en processor	Processoren svigtede under testen.
proclaim	at proklamere	Ledere udråber sejr for tidligt.
productive	produktiv	Mødet var produktivt.
productivity	en produktivitet	Produktiviteten steg efter træningen.
profitable	rentabel	Butikken blev rentabel i år.
profound	dyb	Talen havde en dyb virkning.
projection	en prognose	Prognosen viser jævn vækst.
prominent	fremtrædende	Hun blev en fremtrædende forsker.
pronounced	tydelig	Hans accent blev mere tydelig.
propaganda	en propaganda	Kampagnen brugte propaganda på nettet.
proposition	et forslag	Forslaget er et risikabelt projekt.
prosecute	at retsforfølge	Myndighederne retsforfølger alvorlige svindelsager.
prosecution	en anklagemyndighed	Anklagemyndigheden fremlagde nye beviser.
prosecutor	en anklager	Anklageren afhørte vidnet.
prospective	fremtidig	Kommende studerende fik en rundvisning på campus.
prosperity	en velstand	Handlen bragte velstand til regionen.
protective	beskyttende	Hun brugte beskyttende handsker.
protocol	en protokol	Protokollen kræver skriftlig godkendelse.
province	en provins	Provinsen investerede i transport.
provincial	provinsiel	Provinsielle embedsmænd annoncerede planen.
provision	en bestemmelse	Kontrakten inkluderer en sikkerhedsbestemmelse.
provoke	at provokere	Talen kan provokere stærke reaktioner frem.
psychiatric	psykiatrisk	Hospitalet åbnede en psykiatrisk afdeling.
pulse	en puls	Sygeplejersken tjekkede hans puls.
pump	en pumpe	Pumpen flytter vand op.
punch	et slag	Han slog et slag i vrede.
query	en forespørgsel	Send din forespørgsel til kundesupport.
quest	en søgen	Deres søgen efter retfærdighed fortsatte.
quota	en kvote	Holdet nåede sin salgskvote.
radar	en radar	Stormen dukkede op på radaren.
radical	radikal	Gruppen foreslog radikale reformer.
rage	et raseri	Hans raseri forsvandt hurtigt.
raid	en razzia	Politiet gennemførte en razzia ved daggry.
rally	en demonstration	Tilhængere deltog i demonstrationen i centrum.
ranking	en rangering	Universitetet forbedrede sin rangering.
rape	en voldtægt	Voldtægtssager kræver nøje efterforskning.
ratio	et forhold	Klassen har et lavt lærerforhold.
rational	rationel	Hendes beslutning var rationel.
ray	en stråle	En solstråle kom ind.
readily	beredvilligt	Han accepterede beredvilligt tilbuddet.
realization	en erkendelse	Erkendelsen ændrede hendes planer.
realm	et rige	Dette spørgsmål tilhører et andet rige.
rear	bagerste	Brug den bagerste indgang i dag.
reasoning	et ræsonnement	Hans ræsonnement var tydeligt.
reassure	at berolige	Lægen forsøgte at berolige hende.
rebel	en oprører	Oprørslederen undslap tilfangetagelse.
rebellion	et oprør	Oprøret sluttede efter forhandlinger.
recipient	en modtager	Modtageren underskrev formularen.
reconstruction	en genopbygning	Genopbygningen begyndte efter oversvømmelsen.
recount1	at genfortælle	Hun kan genfortælle begivenheder tydeligt.
referendum	en folkeafstemning	Folkeafstemningen delte landet.
reflection	en refleksion	Essayet krævede dybere refleksion.
reform	en reform	Reformen forbedrede offentlige tjenester.
refuge	en tilflugt	Familien søgte tilflugt i udlandet.
refusal	et afslag	Hendes afslag overraskede udvalget.
regain	at genvinde	Han arbejdede hårdt for at genvinde tillid.
regardless	uanset	De fortsatte uanset kritik.
regime	et regime	Regimet begrænsede ytringsfriheden.
regulator	en regulator	Regulatoren gav virksomheden en bøde.
regulatory	regulatorisk	Regulatorisk godkendelse tog måneder.
rehabilitation	en rehabilitering	Rehabilitering hjalp ham med at gå igen.
reign	en regeringstid	Kongens regeringstid varede i årtier.
rejection	en afvisning	Afvisningen skadede hendes selvtillid.
relevance	en relevans	Dataene har begrænset relevans.
reliability	en pålidelighed	Pålidelighed betyder noget i nødsystemer.
reluctant	modvillig	Han var modvillig til at tale.
remainder	en rest	Resten gik til velgørenhed.
remains	rester	Resterne blev nøje undersøgt.
remedy	et retsmiddel	Loven giver et retsmiddel.
reminder	en påmindelse	E-mailen var en nyttig påmindelse.
removal	en fjernelse	Fjernelsen af barrierer hjalp handlen.
render	at gøre	Fejlen gjorde kontrakten ugyldig.
renew	at forny	Forny dit pas snart.
renowned	anerkendt	Hun er anerkendt for sin forskning.
rental	en leje	Lejen inkluderer forsikring.
replacement	en erstatning	Erstatningsdelen ankom i dag.
reportedly	angiveligt	Ministeren trådte angiveligt tilbage i går.
representation	en repræsentation	Retfærdig repræsentation forbliver vigtig.
reproduce	at formere sig	Disse planter formerer sig hurtigt.
reproduction	en reproduktion	Digital reproduktion forbedrede adgangen.
republic	en republik	Republikken afholdt valg.
resemble	at ligne	De to designs ligner hinanden meget.
reside	at bo	De bor nær grænsen.
residence	en bolig	Hans officielle bolig er bevogtet.
residential	bolig-	Området er for det meste et boligområde.
residue	en rest	Rengøringsmidlet efterlod en klistret rest.
resignation	en opsigelse	Hendes opsigelse chokerede bestyrelsen.
resistance	en modstand	Modstanden mod forandring var stærk.
respective	respektive	De vendte tilbage til deres respektive kontorer.
respectively	henholdsvis	Scorerne var henholdsvis 80 og 90.
restoration	en restaurering	Restaureringen af bygningen tog årevis.
restraint	en tilbageholdenhed	Politiet viste tilbageholdenhed.
resume	at genoptage	Undervisningen genoptages i næste uge.
retreat	en tilbagetrækning	Hæren begyndte en tilbagetrækning.
retrieve	at hente	Hun hentede filen.
revelation	en afsløring	Afsløringen skadede hans omdømme.
revenge	en hævn	Han ønskede hævn for fornærmelsen.
reverse	at omgøre	Retten omgjorde beslutningen.
revival	en opblomstring	Byen oplevede en økonomisk opblomstring.
revive	at genoplive	Festivalen hjalp med at genoplive lokale traditioner.
revolutionary	revolutionerende	Opfindelsen var revolutionerende.
rhetoric	en retorik	Hans retorik lød aggressiv.
rifle	en riffel	Riflen blev opbevaret sikkert.
riot	et oprør	Oprøret varede i flere timer.
rip	at rive	Riv papiret forsigtigt.
ritual	et ritual	Ritualet markerer høsten.
robust	robust	Systemet er robust.
rock	at ryste	Eksplosionen rystede landsbyen.
rod	en stang	Gardinet hænger fra en stang.
rotate	at rotere	Rotér håndtaget langsomt.
rotation	en rotation	Sædskifte beskytter jorden.
ruling	en kendelse	Retten afsagde en kendelse.
rumour	et rygte	Rygtet spredte sig hurtigt.
sack	at fyre	Bestyrelsen kan fyre træneren.
sacred	hellig	Templet er helligt.
sacrifice	et offer	Forældre bringer ofte ofre.
saint	en helgen	Kirken ærer en lokal helgen.
sake	en skyld	Han blev for hendes skyld.
sanction	en sanktion	Sanktionen påvirkede international handel.
say	en medbestemmelse	Medarbejderne havde medbestemmelse i planlægningen.
scattered	spredt	Spredte papirer dækkede skrivebordet.
sceptical	skeptisk	Hun forblev skeptisk over for påstanden.
scope	et omfang	Projektets omfang blev udvidet.
screw	en skrue	Stram skruen forsigtigt.
scrutiny	en granskning	Aftalen mødte offentlig granskning.
seal	at forsegle	Forsegl konvolutten før du sender den.
secular	sekulær	Skolen følger en sekulær læreplan.
seemingly	tilsyneladende	Opgaven var tilsyneladende enkel.
segment	et segment	Det sidste segment var kortere.
seize	at beslaglægge	Politiet beslaglagde dokumenterne.
seldom	sjældent	Hun går sjældent glip af en time.
selective	selektiv	Programmet er yderst selektivt.
senator	en senator	Senatoren støttede lovforslaget.
sensation	en sensation	Opdagelsen forårsagede en sensation.
sensitivity	en følsomhed	Sagen kræver følsomhed.
sentiment	en stemning	Den offentlige stemning skiftede hurtigt.
separation	en separation	Separationen var svær.
serial	serie-	Serienummeret mangler.
settlement	et forlig	Forliget afsluttede tvisten.
set-up	en opsætning	Opsætningen tog hele morgenen.
sexuality	en seksualitet	Kurset diskuterer identitet og seksualitet.
shareholder	en aktionær	En aktionær stillede spørgsmål til bestyrelsen.
shatter	knuse	Nyheden knuste hans selvtillid.
shed	nedlægge	Virksomheden vil nedlægge arbejdspladser.
sheer	blotte	Den blotte størrelse overraskede alle.
shipping	en fragt	Fragtomkostningerne steg.
shoot	en optagelse	Fotoshootet sluttede tidligt.
shrink	krympe	Skjorten kan krympe.
shrug	trække på skuldrene	Hun trak let på skuldrene.
sigh	sukke	Han sukkede af lettelse.
simulate	simulere	Softwaren kan simulere trafik.
simulation	en simulering	Simuleringen forudsagde oversvømmelse.
simultaneously	samtidig	To alarmer ringede samtidig.
sin	en synd	Stolthed betragtes som en synd.
situated	beliggende	Hotellet er beliggende i centrum.
sketch	en skitse	Hun lavede en hurtig skitse.
skip	springe over	Spring ikke morgenmaden over.
slam	smække	Han kan smække med døren.
slap	slå	Slå ikke i bordet.
slavery	et slaveri	Slaveriet formede regionens historie.
slot	en tid	Book en tid online.
smash	knuse	Glasset knustes på gulvet.
snap	knække	Grenen knækkede i vinden.
soak	udbløde	Udblød bønnerne natten over.
soar	stige voldsomt	Brændstofpriserne kan stige voldsomt.
socialist	socialistisk	Partiet støtter socialistisk politik.
sole	eneste	Han var den eneste overlevende.
solely	udelukkende	Beslutningen var udelukkende hans.
solicitor	en advokat	Advokaten forberedte kontrakten.
solidarity	en solidaritet	Arbejderne udtrykte solidaritet.
solo	solo	Hun udgav et soloalbum.
sound	fornuftig	Planen er fornuftig og praktisk.
sovereignty	en suverænitet	Traktaten beskyttede national suverænitet.
spam	en spam	Spam fyldte indbakken.
span	spænde over	Broen spænder over floden.
spark	udløse	En lille bemærkning udløste debat.
specialized	specialiseret	Klinikken tilbyder specialiseret pleje.
specification	en specifikation	Designet opfylder enhver specifikation.
specimen	en prøve	Prøven blev opbevaret sikkert.
spectacle	et skue	Paraden var et farverigt skue.
spectrum	et spektrum	Meningerne dækker et bredt spektrum.
spell	en periode	Tørkeperioden varede i ugevis.
sphere	en sfære	Politikken gik ind i den kulturelle sfære.
spin	snurre	Hjulene begyndte at snurre.
spine	en rygrad	Skaden påvirkede hans rygrad.
spotlight	et rampelys	Skandalen bragte ham i rampelyset.
spouse	en ægtefælle	Hendes ægtefælle deltog i ceremonien.
spy	en spion	Spionen sendte kodede beskeder.
squad	et hold	Redningsholdet ankom hurtigt.
squeeze	klemme	Klem forsigtigt på håndtaget.
stab	stikke	Rapporten beskrev et stiksår.
stability	en stabilitet	Politikken bragte stabilitet.
stabilize	stabilisere	Medicinen hjalp med at stabilisere ham.
stake	en andel	Investorer har en andel her.
standing	en anseelse	Hendes anseelse i partiet steg.
stark	skarp	Resultaterne viste en skarp kontrast.
statistical	statistisk	Undersøgelsen brugte statistiske metoder.
steer	styre	Han forsøgte at styre debatten.
stem	en stilk	Stilken knækkede i stormen.
stereotype	en stereotyp	Filmen udfordrede en stereotyp.
stimulus	en stimulus	Pakken gav økonomisk stimulus.
stir	røre	Rør langsomt i saucen.
storage	en opbevaring	Anlægget tilbyder sikker opbevaring.
straightforward	ligetil	Instruktionerne var ligetil.
strain	en belastning	Den lange forsinkelse forårsagede en belastning.
strand	en lok	En hårlok faldt ned.
strategic	strategisk	Virksomheden foretog en strategisk investering.
strip (long narrow piece)	en strimmel	Klip en smal papirstrimmel.
strip (remove clothes/a layer)	fjerne	Fjern den gamle maling forsigtigt.
strive	stræbe	De stræber efter fremragende kvalitet.
structural	strukturel	Broen har strukturelle skader.
stumble	snuble	Han snublede på trappen.
stun	chokere	Nyheden kan chokere folk.
submission	en indsendelse	Fristen for indsendelse er overskredet.
subscriber	en abonnent	Hver abonnent modtager opdateringer.
subscription	et abonnement	Abonnementet fornyes automatisk.
subsidy	et tilskud	Tilskuddet sænkede brændstofomkostningerne.
substantial	betydelig	Projektet kræver betydelig finansiering.
substantially	betydeligt	Prisen steg betydeligt.
substitute	en erstatning	Brug mælk som en erstatning.
substitution	en udskiftning	Udskiftningen ændrede opskriften.
subtle	subtil	Maleriet har subtile detaljer.
suburban	forstads	De flyttede til et forstadsområde.
succession	en række	Krisen fulgte en række fiaskoer.
successive	skiftende	Skiftende regeringer ignorerede problemet.
successor	en efterfølger	Efterfølgeren starter på mandag.
suck	suge	Maskinen kan suge støv.
sue	sagsøge	Hun besluttede at sagsøge virksomheden.
suicide	et selvmord	Selvmordsforebyggelse kræver vedvarende finansiering.
suite	en suite	Hotelsuiten havde udsigt over floden.
summit	et topmøde	Lederne mødtes på topmødet.
superb	fremragende	Forestillingen var fremragende.
superior	overlegen	Den nye model er overlegen.
supervise	føre tilsyn med	Hun vil føre tilsyn med praktikanterne.
supervision	et opsyn	Børn har brug for voksent opsyn.
supervisor	en leder	Spørg din leder først.
supplement	et tillæg	Rapporten inkluderer et tillæg.
supportive	støttende	Hendes familie var støttende.
supposedly	angiveligt	Filen blev angiveligt slettet.
suppress	undertrykke	Regimet forsøgte at undertrykke protester.
supreme	højeste	Højesteret behandlede sagen.
surge	en overspænding	En pludselig overspænding beskadigede udstyret.
surgical	kirurgisk	Patienten har brug for kirurgisk behandling.
surplus	et overskud	Lageret har et overskud.
