source_headword	NO	example_NO
crawl	å krype	Babyen begynte å krype over teppet.
creator	en skaper	Skaperen takket alle for støtten.
credibility	en troverdighet	Vitnet mistet troverdighet under utspørringen.
credible	troverdig	Rapporten ga troverdige bevis.
creep	å smyge	Tåken begynte å smyge seg gjennom dalen.
critique	en kritikk	Professoren ga en detaljert kritikk.
crown	en krone	Dronningen bar en sølvkrone.
crude	grov	Tegningen var grov, men tydelig.
crush	å knuse	Tunge steiner kan knuse røret.
crystal	en krystall	Krystallen reflekterte morgenlyset.
cult	en kult	Kulten isolerte medlemmene sine.
cultivate	å dyrke	Bønder dyrker ris i denne regionen.
curiosity	en nysgjerrighet	Nysgjerrighet førte henne inn i vitenskapen.
custody	en omsorg	Barnet ble værende i farens omsorg.
cutting	et utklipp	Avisen publiserte et utklipp om ham.
cynical	kynisk	Hans kyniske bemerkning opprørte laget.
dam	en demning	Demningen holder elvevannet tilbake.
damaging	skadelig	Den skadelige artikkelen skadet kampanjen.
dawn	et daggry	Vi forlot landsbyen ved daggry.
debris	et rusk	Rusk fra stormen blokkerte veien.
debut	en debut	Debuten hennes tiltrakk seg nasjonal oppmerksomhet.
decision-making	en beslutningstaking	God beslutningstaking krever tydelig informasjon.
decisive	avgjørende	Hennes avgjørende handling forhindret ytterligere skade.
declaration	en erklæring	Ministeren leste en formell erklæring.
dedicated	dedikert	Den dedikerte sykepleieren jobbet hele natten.
dedication	en dedikasjon	Dedikasjonen hans inspirerte yngre spillere.
deed	en gjerning	Den modige gjerningen reddet to liv.
deem	å anse	Retten kan anse kontrakten som ugyldig.
default	en standard	Bruk standardinnstillingen foreløpig.
defect	en feil	Inspektørene fant en alvorlig feil.
defensive	defensiv	Hans defensive tone overrasket alle.
deficiency	en mangel	Jernmangel kan påvirke helsen.
deficit	et underskudd	Budsjettunderskuddet bekymret tjenestemennene.
defy	å trosse	Demonstrantene valgte å trosse forbudet.
delegate	en delegat	Hver delegat mottok et stemmekort.
delegation	en delegasjon	Delegasjonen ankom før middag.
delicate	sart	Det sarte glasset knuste lett.
demon	en demon	Historien beskriver en eldgammel demon.
denial	en fornektelse	Hans fornektelse gjorde ofrene sinte.
denounce	å fordømme	Ledere fordømmer vold i skolen.
dense	tett	Den tette skogen stengte sollyset ute.
density	en tetthet	Befolkningstettheten er høy i sentrum.
dependence	en avhengighet	Landets avhengighet av olje gikk ned.
depict	å skildre	Maleriet skildrer landsbylivet.
deploy	å utplassere	Hæren vil utplassere ekstra personell.
deployment	en utplassering	Utplasseringen av tropper begynte mandag.
deprive	å frata	Mangel på søvn kan frata studenter fokus.
deputy	en stedfortreder	Stedfortrederen signerte avtalen.
descend	å gå ned	Stien begynte å gå bratt nedover.
descent	en nedstigning	Flyet startet nedstigningen.
designate	å utpeke	Byen vil utpeke en ny park.
desirable	ønskelig	God belysning er ønskelig i klasserom.
desktop	et skrivebord	Filen er på skrivebordet mitt.
destructive	ødeleggende	Stormen hadde en ødeleggende kraft.
detain	å anholde	Politiet kan anholde mistenkte over natten.
detection	en påvisning	Tidlig påvisning forbedrer kreftbehandlingen.
detention	en varetekt	Studentene protesterte mot varetektsforholdene.
deteriorate	å forverres	Helsen hans begynte å forverres.
devastate	å ødelegge	Jordskjelvet kan ødelegge kystbyer.
devil	en djevel	Barnet tegnet en smilende djevel.
devise	å tenke ut	Ingeniører tenker ut tryggere transportsystemer.
diagnose	å diagnostisere	Leger diagnostiserer sykdommen med blodprøver.
diagnosis	en diagnose	Diagnosen forklarte symptomene hennes.
dictate	å diktere	Kontrakten vil diktere betalingsbetingelsene.
dictator	en diktator	Diktatoren kontrollerte mediene.
differentiate	å skille	Kan du skille fakta fra mening?
dignity	en verdighet	Alle fortjener verdighet på jobb.
dilemma	et dilemma	Lederen sto overfor et alvorlig dilemma.
dimension	en dimensjon	Problemet har en politisk dimensjon.
diminish	å avta	Smerten bør avta sakte.
dip	å dyppe	Temperaturen kan dyppe under frysepunktet.
diplomat	en diplomat	Diplomaten møtte utenlandske ledere.
diplomatic	en diplomatisk	De diplomatiske samtalene fortsatte over natten.
directory	en katalog	Søk i katalogen etter nummeret hans.
disastrous	katastrofal	Den katastrofale flommen ødela flere broer.
discard	å kaste	Ikke kast nyttige opptegnelser.
discharge	å skrive ut	Sykehuset vil skrive ham ut i morgen.
disclose	å avsløre	Tjenestemenn nektet å avsløre tallene.
disclosure	en avsløring	Avsløringen sjokkerte styret.
