source_headword	MY	example_MY
heal	ကျန်းမာလာသည်	အနားယူခြင်းက ခန္ဓာကိုယ်ကို ပြန်ကျန်းမာစေသည်။
healthcare	ကျန်းမာရေးစောင့်ရှောက်မှု	ယခုနှစ်တွင် ကျန်းမာရေးစောင့်ရှောက်မှုစရိတ်များ မြင့်တက်လာသည်။
helmet	ဦးထုပ်ဆောင်း	စက်ဘီးစီးလျှင် ဆိုင်ကယ်စီးဦးထုပ်ဆောင်းပါ။
hence	ထို့ကြောင့်	ထို့ကြောင့် ကျွန်ုပ်တို့သည် အချိန်ဇယားကို ပြောင်းလဲခဲ့သည်။
herb	ဆေးဖက်ဝင်အပင်	ပင်စိမ်းသည် အသုံးဝင်သော ဆေးဖက်ဝင်အပင်ဖြစ်သည်။
hidden	ဖုံးကွယ်ထားသော	သော့ကို ဖျာအောက်တွင် ဖုံးကွယ်ထားသည်။
highway	အဝေးပြေးလမ်း	နှင်းကျပြီးနောက် အဝေးပြေးလမ်းကို ပိတ်ထားခဲ့သည်။
hilarious	အလွန်ရယ်စရာကောင်းသော	ရုပ်ရှင်သည် အလွန်ရယ်စရာကောင်းသည်။
hip	တင်ပါးဆုံ	သူမသည် လေ့ကျင့်နေစဉ် တင်ပါးဆုံကို ထိခိုက်မိခဲ့သည်။
historian	သမိုင်းပညာရှင်	သမိုင်းပညာရှင်သည် စာဟောင်းများကို လေ့လာခဲ့သည်။
homeless	အိမ်ရာမဲ့	ခိုလှုံရေးစခန်းသည် အိမ်ရာမဲ့မိသားစုများကို ကူညီပေးသည်။
honesty	ရိုးသားမှု	ရိုးသားမှုသည် ယုံကြည်မှုကို တည်ဆောက်ပေးသည်။
hook	ချိတ်	အင်္ကျီကို ချိတ်တွင် ချိတ်ထားပါ။
hopefully	မျှော်လင့်ရသည်မှာ	မျှော်လင့်ရသည်မှာ ရထားမကြာမီ ရောက်လာမည်။
hunger	ဆာလောင်မှု	ဆာလောင်မှုက အာရုံစူးစိုက်မှုကို ထိခိုက်စေနိုင်သည်။
hypothesis	ယူဆချက်	စမ်းသပ်မှုသည် ယူဆချက်ကို စမ်းသပ်ခဲ့သည်။
icon	အိုင်ကွန်	အက်ပ်အိုင်ကွန်သည် ယနေ့ ပြောင်းလဲသွားသည်။
ID	မှတ်ပုံတင်	ဧည့်ကြိုတွင် သင့်မှတ်ပုံတင်ကို ပြပါ။
identical	တူညီသော	အမြွှာများသည် တူညီသောအင်္ကျီများကို ဝတ်ဆင်ထားသည်။
illusion	ထင်ယောင်ထင်မှားဖြစ်ခြင်း	မှန်သည် ထင်ယောင်ထင်မှားဖြစ်ခြင်းကို ဖန်တီးပေးသည်။
immigration	လူဝင်မှုကြီးကြပ်ရေး	လူဝင်မှုကြီးကြပ်ရေးမူဝါဒသည် ယမန်နှစ်က ပြောင်းလဲခဲ့သည်။
immune	ကိုယ်ခံအားရှိသော	ကာကွယ်ဆေးထိုးခြင်းက လူများကို ကိုယ်ခံအားရှိစေနိုင်သည်။
implement	အကောင်အထည်ဖော်သည်	ကျောင်းသည် မူဝါဒကို အကောင်အထည်ဖော်မည်။
implication	သက်ရောက်မှု	သက်ရောက်မှုမှာ ရှင်းလင်းပါသည်။
incentive	မက်လုံး	အပိုဆုကြေးသည် အလုပ်သမားများကို မက်လုံးပေးခဲ့သည်။
incorporate	ပေါင်းစပ်ထည့်သွင်းသည်	အစားအစာများတွင် ဟင်းသီးဟင်းရွက်များကို ပိုမိုပေါင်းစပ်ထည့်သွင်းပါ။
incorrect	မှားယွင်းသော	အဖြေမှာ မှားယွင်းနေသည်။
independence	လွတ်လပ်ရေး	နိုင်ငံသည် လွတ်လပ်ရေးကို ကျင်းပခဲ့သည်။
index	အညွှန်း	ခေါင်းစဉ်အတွက် အညွှန်းကို စစ်ဆေးပါ။
indication	ညွှန်ပြချက်	အပြုံးသည် သက်သာရာရခြင်း၏ ညွှန်ပြချက်ဖြစ်သည်။
inevitable	ရှောင်လွှဲ၍မရသော	အချို့သော ကြန့်ကြာမှုများသည် ရှောင်လွှဲ၍မရပေ။
inevitably	မလွဲမသွေ	ရှားပါးပြီးနောက် မလွဲမသွေ စျေးနှုန်းများ မြင့်တက်လာခဲ့သည်။
infer	ကောက်ချက်ချသည်	အခြေအနေအရ အဖြေကို ကျွန်ုပ်တို့ ကောက်ချက်ချနိုင်သည်။
inflation	ငွေကြေးဖောင်းပွမှု	ငွေကြေးဖောင်းပွမှုကြောင့် စားသောက်ကုန်စျေးနှုန်းများ မြင့်တက်ခဲ့သည်။
info	အချက်အလက်	ဝဘ်ဆိုက်တွင် အသုံးဝင်သော အချက်အလက်များကို ဖော်ပြထားသည်။
infrastructure	အခြေခံအဆောက်အအုံ	မုန်တိုင်းသည် ဒေသတွင်း အခြေခံအဆောက်အအုံများကို ပျက်စီးစေခဲ့သည်။
inhabitant	နေထိုင်သူ	နေထိုင်သူတိုင်းသည် သန့်ရှင်းသောရေကို ရရှိခဲ့ကြသည်။
inherit	အမွေဆက်ခံသည်	သူမသည် မိသားစုအိမ်ကို အမွေဆက်ခံရလိမ့်မည်။
ink	မင်	ပရင်တာအတွက် မင်အမည်းရောင် လိုအပ်သည်။
innovation	ဆန်းသစ်တီထွင်မှု	ဆန်းသစ်တီထွင်မှုသည် စက်မှုလုပ်ငန်းကို ရှေ့သို့ မောင်းနှင်ပေးသည်။
innovative	ဆန်းသစ်သော	ကုမ္ပဏီသည် ဆန်းသစ်သောထုတ်ကုန်တစ်ခုကို မိတ်ဆက်ခဲ့သည်။
input	ထည့်ဝင်ချက်	မန်နေဂျာသည် ထည့်ဝင်ချက်ကို တောင်းခံခဲ့သည်။
insert	ထည့်သွင်းသည်	ကတ်ကို စက်ထဲသို့ ထည့်သွင်းပါ။
inspector	စစ်ဆေးရေးမှူး	စစ်ဆေးရေးမှူးသည် အဆောက်အအုံကို စစ်ဆေးခဲ့သည်။
installation	တပ်ဆင်ခြင်း	တပ်ဆင်ခြင်းသည် နှစ်နာရီကြာမြင့်ခဲ့သည်။
instant	ချက်ချင်းဖြစ်သော	အက်ပ်သည် ချက်ချင်းပြန်ကြားချက်တစ်ခုကို ပေးပို့ခဲ့သည်။
instantly	ချက်ချင်း	မျက်နှာပြင်သည် ချက်ချင်းပွင့်လာသည်။
integrate	ပေါင်းစပ်သည်	ဆော့ဖ်ဝဲသည် ကိရိယာအသစ်များကို ပေါင်းစပ်နိုင်သည်။
intellectual	ဉာဏ်ရည်ပိုင်းဆိုင်ရာ	စကားစစ်ထိုးပွဲသည် ဉာဏ်ရည်ပိုင်းဆိုင်ရာဖြစ်သော်လည်း ရင်းနှီးမှုရှိသည်။
interact	အပြန်အလှန်ဆက်သွယ်သည်	ကျောင်းသားများသည် အုပ်စုလိုက်လုပ်ဆောင်စဉ် အပြန်အလှန်ဆက်သွယ်ကြသည်။
interaction	အပြန်အလှန်ဆက်သွယ်မှု	အပြန်အလှန်ဆက်သွယ်မှုသည် ယဉ်ကျေးပျူငှာပါသည်။
interpretation	အဓိပ္ပာယ်ဖွင့်ဆိုချက်	ကဗျာအပေါ် သူမ၏ အဓိပ္ပာယ်ဖွင့်ဆိုချက်သည် မူရင်းဖြစ်ခဲ့သည်။
interval	အားလပ်ချိန်	ပြကွက်များကြားတွင် အားလပ်ချိန်တိုလေးတစ်ခု ရှိခဲ့သည်။
invade	ကျူးကျော်သည်	စစ်တပ်သည် ကျွန်းကို ကျူးကျော်ခဲ့သည်။
invasion	ကျူးကျော်မှု	ကျူးကျော်မှုကြောင့် မြို့များစွာ ပျက်စီးခဲ့သည်။
investor	ရင်းနှီးမြှုပ်နှံသူ	ရင်းနှီးမြှုပ်နှံသူသည် စတင်တည်ထောင်သည့်ကုမ္ပဏီအသစ်ကို ရန်ပုံငွေထောက်ပံ့ခဲ့သည်။
isolate	ခွဲထုတ်သည်	ဆရာဝန်များသည် ပြင်းထန်သောကူးစက်ရောဂါရှိသည့် လူနာများကို ခွဲထုတ်ထားသည်။
isolated	အထီးကျန်ဖြစ်သော	ရွာသည် နှင်းများကြောင့် အထီးကျန်ဖြစ်နေခဲ့သည်။
jail	အကျဉ်းထောင်	သူခိုးသည် အကျဉ်းထောင်သို့ ရောက်သွားခဲ့သည်။
jet	ဂျက်လေယာဉ်	ဂျက်လေယာဉ်သည် မွန်းတည့်ချိန်တွင် ဆင်းသက်ခဲ့သည်။
joint	ပူးတွဲ	၎င်းတို့သည် ပူးတွဲစီမံကိန်းတစ်ခုကို ကြေညာခဲ့သည်။
journalism	သတင်းစာပညာ	သတင်းစာပညာသည် တိကျသောအချက်အလက်များကို လိုအပ်သည်။
jury	ဂျူရီလူကြီး	ဂျူရီလူကြီးသည် ဆုံးဖြတ်ချက်တစ်ခုချခဲ့သည်။
kit	ပစ္စည်းကိရိယာအစုံ	ပြုပြင်ရေးပစ္စည်းကိရိယာအစုံတွင် ဝက်အူများ ပါဝင်သည်။
ladder	လှေကား	လှေကားကို နံရံတွင် မှီထားသည်။
landing	ဆင်းသက်ခြင်း	လေယာဉ်သည် ညင်သာစွာ ဆင်းသက်ခဲ့သည်။
lane	လမ်းကြော	ညာဘက်လမ်းကြောတွင် နေပါ။
lately	မကြာသေးမီက	မကြာသေးမီက ကျွန်တော် အိပ်မပျော်ဖြစ်နေသည်။
