simplified	UZ	example_UZ	KK	example_KK	AZ	example_AZ
吧	taklif yuklamasi; shundaymi	Ketaylik.	ұсыныс шылауы; солай ма	Кеттік.	təklif hissəciyi; elə deyilmi	Gedək.
白	oq	Bu kiyim oq.	ақ	Бұл киім ақ.	ağ	Bu paltar ağdır.
百	yuz	Bu telefon yuz yuan turadi.	жүз	Бұл телефон жүз юань тұрады.	yüz	Bu telefonun qiyməti yüz yuandır.
帮助	yordam bermoq; yordam	Iltimos, menga yordam bering.	көмектесу; көмек	Маған көмектесіңізші.	kömək etmək; kömək	Zəhmət olmasa, mənə kömək edin.
报纸	gazeta	Dadam gazeta o'qiydi.	газет	Әкем газет оқиды.	qəzet	Atam qəzet oxuyur.
比	-dan ko'ra; solishtirmoq	Bugun kechagidan issiqroq.	қарағанда; салыстыру	Бүгін кешегіден ыстық.	-dən daha; müqayisə etmək	Bu gün dünəndən istidir.
别	qilma; boshqa	Borma.	істеме; басқа	Барма.	etmə; başqa	Getmə.
长	uzun	Bu yo'l uzun.	ұзын	Бұл жол ұзын.	uzun	Bu yol uzundur.
唱歌	qo'shiq aytmoq	Singlim qo'shiq aytishni yaxshi ko'radi.	ән айту	Қарындасым ән айтқанды ұнатады.	mahnı oxumaq	Bacım mahnı oxumağı xoşlayır.
出	chiqmoq; chiqib kelmoq	U tashqariga chiqdi.	шығу	Ол сыртқа шықты.	çıxmaq	O bayıra çıxdı.
穿	kiymoq	Men oq kiyim kiyaman.	кию	Мен ақ киім киемін.	geyinmək	Mən ağ paltar geyinirəm.
船	qayiq; kema	Qayiq suv ustida.	қайық; кеме	Қайық суда тұр.	qayıq; gəmi	Qayıq suyun üstündədir.
次	marta	Men Pekinga bir marta borganman.	рет	Мен Бейжіңге бір рет барғанмын.	dəfə	Mən Pekinə bir dəfə getmişəm.
从	-dan; -dan boshlab	Men uydan maktabga boraman.	-дан; -ден	Мен үйден мектепке барамын.	-dən; -dan	Mən evdən məktəbə gedirəm.
错	noto'g'ri; xato	Sen xato qilyapsan.	қате	Сен қателесіп тұрсың.	səhv	Sən səhv edirsən.
打篮球	basketbol o'ynamoq	Akam basketbol o'ynayapti.	баскетбол ойнау	Ағам баскетбол ойнап жатыр.	basketbol oynamaq	Qardaşım basketbol oynayır.
大家	hamma	Hamma keldi.	бәрі; барлығы	Бәрі келді.	hamı	Hamı gəldi.
但是	lekin; ammo	Men bandman, lekin juda xursandman.	бірақ; алайда	Мен бос емеспін, бірақ өте қуаныштымын.	amma; lakin	Mən məşğulam, amma çox xoşbəxtəm.
到	yetib kelmoq	Men maktabga yetib keldim.	жету	Мен мектепке жеттім.	çatmaq	Mən məktəbə çatdım.
得	daraja to'ldiruvchi yuklama	U tez yuguradi.	дәрежелік толықтырғыш шылау	Ол тез жүгіреді.	dərəcə tamamlığı hissəciyi	O sürətlə qaçır.
等	kutmoq	Men seni kutyapman.	күту	Мен сені күтіп тұрмын.	gözləmək	Mən səni gözləyirəm.
弟弟	uka	Ukam uyda.	іні	Інім үйде.	kiçik qardaş	Kiçik qardaşım evdədir.
第一	birinchi	U birinchi o'rinda.	бірінші	Ол бірінші орында.	birinci	O birincidir.
懂	tushunmoq	Endi tushundim.	түсіну	Енді түсіндім.	başa düşmək	İndi başa düşdüm.
对	to'g'ri; tomonga	Sen aytgan gap to'g'ri.	дұрыс; қарай	Сенің айтқаның дұрыс.	düzgün; tərəfə	Sənin dediyin doğrudur.
房间	xona	Bu xona katta.	бөлме	Бұл бөлме үлкен.	otaq	Bu otaq böyükdür.
非常	juda; nihoyatda	Bugun juda sovuq.	өте; аса	Бүгін өте суық.	çox; olduqca	Bu gün çox soyuqdur.
服务员	ofitsiant; xizmat xodimi	Ofitsiant restoranda.	даяшы; қызметкер	Даяшы мейрамханада.	ofisiant; xidmət işçisi	Ofisiant restorandadır.
高	baland; bo'yi uzun	Uning bo'yi uzun.	биік; бойы ұзын	Оның бойы ұзын.	hündür; uca	O hündürdür.
告诉	aytmoq; xabar bermoq	Iltimos, menga ayting.	айту; хабарлау	Маған айтыңызшы.	demək; xəbər vermək	Zəhmət olmasa, mənə deyin.
哥哥	aka	Akam ishlayapti.	аға	Ағам жұмыс істеп жатыр.	böyük qardaş	Böyük qardaşım işləyir.
给	bermoq; ga	Men senga bitta kitob beraman.	беру; -ға	Мен саған бір кітап беремін.	vermək; -a	Mən sənə bir kitab verirəm.
公共汽车	avtobus	Men ishga avtobusda boraman.	автобус	Мен жұмысқа автобуспен барамын.	avtobus	Mən işə avtobusla gedirəm.
公斤	kilogramm	Men bir kilogramm olma sotib olaman.	килограмм	Мен бір килограмм алма сатып аламын.	kiloqram	Mən bir kiloqram alma alıram.
公司	kompaniya	Men kompaniyada ishlayman.	компания	Мен компанияда жұмыс істеймін.	şirkət	Mən şirkətdə işləyirəm.
贵	qimmat	Bu qo'l soati qimmat.	қымбат	Бұл қолсағат қымбат.	bahalı	Bu qol saatı bahalıdır.
过	tajriba yuklamasi	Men Xitoyga borganman.	тәжірибе шылауы	Мен Қытайға барғанмын.	təcrübə hissəciyi	Mən Çinə getmişəm.
还	haligacha; ham	U haligacha maktabda.	әлі; де	Ол әлі мектепте.	hələ; də	O hələ məktəbdədir.
孩子	bola	Bu bola juda xursand.	бала	Бұл бала өте қуанышты.	uşaq	Bu uşaq çox sevinclidir.
好吃	mazali	Bu taom mazali.	дәмді	Бұл тағам дәмді.	dadlı	Bu yemək dadlıdır.
号	raqam; sana	Bugun oyning sakkizinchi kuni.	нөмір; күн	Бүгін сегізі.	nömrə; tarix	Bu gün ayın səkkizidir.
黑	qora	Bu mushuk qora.	қара	Бұл мысық қара.	qara	Bu pişik qaradır.
红	qizil	Menga qizil olma yoqadi.	қызыл	Маған қызыл алма ұнайды.	qırmızı	Mən qırmızı almanı xoşlayıram.
欢迎	xush kelibsiz; kutib olmoq	Pekinga xush kelibsiz.	қош келдіңіз; қарсы алу	Бейжіңге қош келдіңіз.	xoş gəlmisiniz; qarşılamaq	Pekinə xoş gəlmisiniz.
回答	javob bermoq	Iltimos, bu savolga javob bering.	жауап беру	Осы сұраққа жауап беріңізші.	cavab vermək	Zəhmət olmasa, bu suala cavab verin.
机场	aeroport	Aeroport bu yerdan uzoq.	әуежай	Әуежай бұл жерден алыс.	hava limanı	Hava limanı buradan uzaqdır.
鸡蛋	tuxum	Men tuxum yeyman.	жұмыртқа	Мен жұмыртқа жеймін.	yumurta	Mən yumurta yeyirəm.
件	kiyim yoki buyumlar uchun hisob so'zi	Men bitta kiyim sotib oldim.	киім мен заттарға арналған есептік сөз	Мен бір киім сатып алдым.	paltar və əşyalar üçün say sözü	Mən bir paltar aldım.
教室	sinf xonasi	O'quvchilar sinf xonasida.	сынып бөлмесі	Оқушылар сынып бөлмесінде.	sinif otağı	Şagirdlər sinif otağındadır.
姐姐	opa	Opam shifokor.	әпке	Әпкем дәрігер.	böyük bacı	Böyük bacım həkimdir.
介绍	tanishtirmoq	Men do'stimni tanishtiraman.	таныстыру	Мен досымды таныстырамын.	tanış etmək; təqdim etmək	Mən dostumu təqdim edirəm.
进	kirmoq	Iltimos, ichkariga kiring.	кіру	Ішке кіріңізші.	girmək	Zəhmət olmasa, içəri girin.
近	yaqin	Maktab uyga yaqin.	жақын	Мектеп үйге жақын.	yaxın	Məktəb evə yaxındır.
就	shunda; hozirning o'zida	Men hozir boraman.	онда; дәл қазір	Мен қазір барамын.	elə; indi	Mən indi gedirəm.
觉得	o'ylamoq; tuyulmoq	Menimcha, bu taom mazali.	ойлау; сезілу	Меніңше, бұл тағам дәмді.	düşünmək; hiss etmək	Məncə, bu yemək dadlıdır.
咖啡	kofe	Men kofe ichaman.	кофе	Мен кофе ішемін.	qəhvə	Mən qəhvə içirəm.
开始	boshlamoq; boshlanish	Imtihon boshlandi.	бастау; басталу	Емтихан басталды.	başlamaq; başlanğıc	İmtahan başladı.
考试	imtihon	Ertaga imtihon bor.	емтихан	Ертең емтихан бар.	imtahan	Sabah imtahan var.
可能	ehtimol; mumkin	U uyda bo'lishi mumkin.	мүмкін; ықтимал	Ол үйде болуы мүмкін.	bəlkə; mümkün	O evdə ola bilər.
可以	mumkin; ruxsat	Men borsam bo'ladimi?	болады; рұқсат	Мен барсам бола ма?	olar; icazə	Mən gedə bilərəmmi?
课	dars; mashg'ulot	Bugun xitoy tili darsi bor.	сабақ	Бүгін қытай тілі сабағы бар.	dərs	Bu gün Çin dili dərsi var.
快	tez; yaqinda	U tez yuradi.	тез; жақында	Ол тез жүреді.	sürətli; tezliklə	O sürətlə yeriyir.
快乐	xursand; baxtli	Tug'ilgan kuning muborak.	қуанышты; бақытты	Туған күнің құтты болсын.	xoşbəxt; şən	Ad günün mübarək.
累	charchagan	Men charchadim.	шаршаған	Мен шаршадым.	yorğun	Mən yorulmuşam.
离	-dan uzoq; -dan	Maktab uydan uzoq emas.	-дан алыс; -дан	Мектеп үйден алыс емес.	-dən uzaq; -dən	Məktəb evdən uzaq deyil.
两	ikki	Menda ikki farzand bor.	екі	Менде екі бала бар.	iki	Mənim iki uşağım var.
路	yo'l	Bu yo'l uzun.	жол	Бұл жол ұзын.	yol	Bu yol uzundur.
旅游	sayohat qilmoq; sayohat	Men Xitoyga sayohat qilmoqchiman.	саяхаттау; саяхат	Мен Қытайға саяхаттағым келеді.	səyahət etmək; səyahət	Mən Çinə səyahət etmək istəyirəm.
卖	sotmoq	Bu do'kon olma sotadi.	сату	Бұл дүкен алма сатады.	satmaq	Bu mağaza alma satır.
慢	sekin	Iltimos, biroz sekinroq yuring.	баяу	Сәл баяу жүріңізші.	yavaş	Zəhmət olmasa, bir az yavaş gedin.
忙	band	Bugun men bandman.	бос емес	Бүгін менің қолым бос емес.	məşğul	Bu gün mən məşğulam.
每	har; har bir	Men har kuni xitoy tilini o'rganaman.	әр; әрбір	Мен күн сайын қытай тілін үйренемін.	hər; hər bir	Mən hər gün Çin dilini öyrənirəm.
妹妹	singil	Singlim televizor ko'ryapti.	қарындас; сіңлі	Қарындасым теледидар көріп отыр.	kiçik bacı	Kiçik bacım televizora baxır.
门	eshik; darvoza	Eshik ochildi.	есік; қақпа	Есік ашылды.	qapı	Qapı açıldı.
男人	erkak; odam	Bu erkak kishi o'qituvchi.	ер адам	Бұл ер адам мұғалім.	kişi	Bu kişi müəllimdir.
您	siz	Salom.	сіз	Сәлеметсіз бе.	siz	Salam.
牛奶	sut	Men sut ichaman.	сүт	Мен сүт ішемін.	süd	Mən süd içirəm.
女人	ayol	O'sha ayol shifokor.	әйел	Әлгі әйел дәрігер.	qadın	O qadın həkimdir.
旁边	yonida; yon tomonida	Maktab yonida bitta do'kon bor.	қасында; жанында	Мектептің қасында бір дүкен бар.	yanında; kənarında	Məktəbin yanında bir mağaza var.
跑步	yugurmoq	Men ertalab yuguraman.	жүгіру	Мен таңертең жүгіремін.	qaçmaq	Mən səhər qaçıram.
便宜	arzon	Bu olma arzon.	арзан	Бұл алма арзан.	ucuz	Bu alma ucuzdur.
票	chipta	Men chipta sotib olaman.	билет	Мен билет сатып аламын.	bilet	Mən bilet alıram.
妻子	xotin; turmush o'rtog'i	Xotinim o'qituvchi.	әйел; жұбай	Әйелім мұғалім.	həyat yoldaşı; arvad	Həyat yoldaşım müəllimədir.
起床	uyg'onmoq; turmoq	Men ertalab soat oltida turaman.	тұру; ояну	Мен таңертең сағат алтыда тұрамын.	oyanmaq; qalxmaq	Mən səhər saat altıda qalxıram.
千	ming	Bu velosiped ming yuan turadi.	мың	Бұл велосипед мың юань тұрады.	min	Bu velosipedin qiyməti min yuandır.
晴	quyoshli; ochiq	Bugun havo quyoshli.	ашық; күн ашық	Бүгін күн ашық.	günəşli; aydın	Bu gün hava günəşlidir.
去年	o'tgan yil	O'tgan yili men Pekinda edim.	өткен жыл	Өткен жылы мен Бейжіңде болдым.	keçən il	Keçən il mən Pekində idim.
让	ruxsat bermoq; qildirmoq	Onam menga o'qishga ruxsat beradi.	рұқсат беру; істету	Анам маған оқуға рұқсат береді.	icazə vermək; etdirmək	Anam mənə oxumağa icazə verir.
上班	ishga bormoq	Men soat sakkizda ishga boraman.	жұмысқа бару	Мен сағат сегізде жұмысқа барамын.	işə getmək	Mən saat səkkizdə işə gedirəm.
