source_headword	NO	example_NO
abolish	avskaffe	Loven vil avskaffe den gamle avgiften.
abortion	en abort	Abort forblir en følsom medisinsk sak.
absence	et fravær	Hennes fravær forsinket den endelige beslutningen.
absent	fraværende	To medlemmer var fraværende fra timen.
absurd	absurd	Påstanden hørtes absurd ut for alle.
abundance	en overflod	Dalen har en overflod av vann.
abuse	et misbruk	Rapporten beskrev misbruk på arbeidsplassen.
academy	et akademi	Akademiet trener unge musikere.
accelerate	fremskynde	Ny finansiering vil fremskynde forskningen.
acceptance	en aksept	Hans aksept av kritikk imponerte meg.
accessible	tilgjengelig	Museet er tilgjengelig for rullestolbrukere.
accomplishment	en prestasjon	Å fullføre boken var en virkelig prestasjon.
accordance	et samsvar	Arbeidet ble utført i samsvar med retningslinjene.
accordingly	deretter	Bevisene endret seg, og vi handlet deretter.
accountability	en ansvarlighet	Retningslinjene øker ansvarligheten for ledere.
accountable	ansvarlig	Ledere er ansvarlige for sikkerheten.
accumulate	samle seg	Støv kan samle seg bak skjermen.
accumulation	en oppsamling	Oppsamlingen av data tok måneder.
accusation	en anklage	Anklagen sjokkerte komiteen.
accused	den tiltalte	Den tiltalte møtte i retten.
acquisition	et oppkjøp	Oppkjøpet utvidet selskapet raskt.
acre	en acre	Gården dekker en acre.
activation	en aktivering	Aktivering av kortet tar noen minutter.
activist	en aktivist	Aktivisten talte på demonstrasjonen.
acute	akutt	Hun følte akutt smerte etter å ha løpt.
adaptation	en adapsjon	Bearbeidelsen endret romanens slutt.
adhere	følge	Personalet må følge sikkerhetsreglene.
adjacent	tilstøtende	Hotellet ligger ved siden av stasjonen.
adjustment	en justering	En liten justering løste problemet.
administer	gi	Sykepleiere administrerer vaksinen nøye.
administrative	administrativ	Administrativt ansatte håndterer skjemaene.
administrator	en administrator	Administratoren tilbakestilte passordet mitt.
admission	en inngang	Inngang til museet er gratis.
adolescent	en tenåring	Tenåringen trengte ekstra støtte.
adoption	en adopsjon	Adopsjon ga barnet et stabilt hjem.
adverse	uheldig	Medisinen forårsaket uheldige bivirkninger.
advocate	en advokat	Talsmannen forsvarte leietakernes rettigheter.
aesthetic	estetisk	Rommet har en rolig estetisk stil.
affection	en hengivenhet	Hun viste hengivenhet for familien sin.
aftermath	et etterspill	Etterspillet etter stormen var vanskelig.
aggression	en aggresjon	Læreren la merke til aggresjon i friminuttet.
agricultural	landbruks-	Landbrukseksporten økte i år.
aide	en assistent	Assistenten organiserte statsrådens timeplan.
albeit	om enn	Planen fungerte, om enn sakte.
alert	varsle	Vennligst varsle personalet umiddelbart.
align	være på linje med	Pilene er på linje med veien.
alignment	en justering	Hjulstillingen forbedret bilens kjøreegenskaper.
alike	likt	Tvillingene kler seg likt i helgene.
allegation	en påstand	Anklagen dukket opp i avisen.
allege	hevde	De hevder at midler gikk tapt.
allegedly	angivelig	Sjåføren ignorerte angivelig advarselen.
alliance	en allianse	Partiene dannet en midlertidig allianse.
allocate	tildele	Byen vil bevilge penger til skoler.
allocation	en tildeling	Tildelingen av seter var urettferdig.
allowance	en godtgjørelse	Lommepengene hennes dekker lunsj og transport.
ally	en alliert	Canada ble en nær alliert.
aluminium	et aluminium	Rammen er laget av aluminium.
amateur	en amatør	En amatørfotograf tok bildet.
ambassador	en ambassadør	Ambassadøren møtte lokale studenter.
amend	endre	Parlamentet stemte for å endre loven.
amendment	en endring	Endringen forandret ett avsnitt.
amid	midt i	Talen kom midt i økende spenning.
analogy	en analogi	Læreren brukte en enkel analogi.
anchor	et anker	Båten kastet anker nær øya.
angel	en engel	Barnet hadde på seg et englekostyme.
anonymous	anonym	Klagen var anonym.
apparatus	et apparat	Laboratorieapparatet trenger rengjøring.
appealing	tiltalende	Tilbudet ser tiltalende ut for studenter.
appetite	en appetitt	Trening økte appetitten hans.
applaud	applaudere	Publikum begynte å applaudere høyt.
applicable	gjeldende	Rabatten er gjeldende i dag.
appoint	utnevne	Styret vil utnevne en direktør.
appreciation	en takknemlighet	Hun uttrykte takknemlighet for hjelpen deres.
arbitrary	vilkårlig	Fristen virket vilkårlig for personalet.
architectural	arkitektonisk	Byen beskytter sin arkitektoniske arv.
archive	et arkiv	Arkivet lagrer gamle fotografier.
arena	en arena	Debatten flyttet seg til den offentlige arenaen.
arguably	uten tvil	Dette er uten tvil hans beste roman.
arm	bevæpne	Vaktene vil bevæpne konvoien.
