source_headword	NO	example_NO
prey	et bytte	Ugler jakter på bytte om natten.
privatization	en privatisering	Privatisering endret jernbanesystemet.
privilege	et privilegium	Utdanning burde ikke være et privilegium.
probe	en granskning	Granskningen avslørte alvorlige feil.
problematic	problematisk	Avtalen forblir problematisk.
proceedings	forhandlinger	Rettsforhandlinger startet på mandag.
proceeds	inntekter	Inntektene vil støtte lokale skoler.
processing	en bildebehandling	Bildebehandling tar tid.
processor	en prosessor	Prosessoren sviktet under testing.
proclaim	å kunngjøre	Ledere kunngjør seier for tidlig.
productive	produktiv	Møtet var produktivt.
productivity	en produktivitet	Produktiviteten økte etter opplæringen.
profitable	lønnsom	Butikken ble lønnsom i år.
profound	dyp	Talen hadde en dyp virkning.
projection	en prognose	Prognosen viser jevn vekst.
prominent	fremtredende	Hun ble en fremtredende forsker.
pronounced	tydelig	Aksenten hans ble mer tydelig.
propaganda	en propaganda	Kampanjen brukte propaganda på nettet.
proposition	et forslag	Forslaget er et risikabelt prosjekt.
prosecute	å straffeforfølge	Myndighetene straffeforfølger alvorlige svindelsaker.
prosecution	en påtalemyndighet	Påtalemyndigheten la frem nye bevis.
prosecutor	en aktor	Aktoren avhørte vitnet.
prospective	fremtidig	Fremtidige studenter fikk en omvisning på campus.
prosperity	en velstand	Handelen brakte velstand til regionen.
protective	beskyttende	Hun brukte beskyttende hansker.
protocol	en protokoll	Protokollen krever skriftlig godkjenning.
province	en provins	Provinsen investerte i transport.
provincial	provinsiell	Provinsielle tjenestemenn kunngjorde planen.
provision	en bestemmelse	Kontrakten inkluderer en sikkerhetsbestemmelse.
provoke	å provosere	Talen kan provosere frem sterke reaksjoner.
psychiatric	psykiatrisk	Sykehuset åpnet en psykiatrisk avdeling.
pulse	en puls	Sykepleieren sjekket pulsen hans.
pump	en pumpe	Pumpen flytter vann opp.
punch	et slag	Han slo et slag i sinne.
query	en forespørsel	Send forespørselen din til kundestøtte.
quest	en søken	Deres søken etter rettferdighet fortsatte.
quota	en kvote	Teamet nådde salgskvoten sin.
radar	en radar	Stormen dukket opp på radaren.
radical	radikal	Gruppen foreslo radikale reformer.
rage	et raseri	Raseriet hans forsvant raskt.
