source_headword	DA	example_DA
strengthen	styrke	Den nye politik vil styrke onlinesikkerheden.
strictly	strengt	Billetter er strengt begrænset til to pr. person.
striking	slående	Maleriet har slående farver.
stroke	et strøg	Hun malede et strøg hen over papiret.
stunning	betagende	Udsigten over bjergene var betagende.
subsequent	efterfølgende	Det efterfølgende møde bekræftede budgettet.
subsequently	efterfølgende	Vejen blev lukket; efterfølgende bevægede trafikken sig langsomt.
suburb	en forstad	De bor i en stille forstad.
suffering	en lidelse	Medicinen reducerede hans lidelse.
sufficient	tilstrækkelig	Holdet har tilstrækkelig tid.
sufficiently	tilstrækkeligt	Rummet er tilstrækkeligt varmt.
super	super	Den nye tablet er superhurtig.
surgeon	en kirurg	Kirurgen reparerede det beskadigede knæ.
survival	en overlevelse	Rent vand er afgørende for overlevelse.
survivor	en overlevende	Den overlevende beskrev oversvømmelsen.
suspend	suspendere	Skolen kan suspendere turen.
sustainable	bæredygtig	Gården bruger bæredygtige metoder.
swallow	sluge	Slug tabletten med vand.
sympathetic	medfølende	Lederen var medfølende over for hendes problem.
tackle	tackle	Vi er nødt til at tackle boligproblemet.
tag	et mærke	Tasken havde et prismærke.
tap	en vandhane	Hun slukkede for vandhanen.
technological	teknologisk	Teknologisk forandring påvirker enhver arbejdsplads.
teens	en teenager	Mange teenagere bruger sociale medier dagligt.
temple	et tempel	Templet stod nær floden.
temporarily	midlertidigt	Kontoret er midlertidigt lukket.
tendency	en tendens	Han har en tendens til at ankomme for sent.
tension	en spænding	Spændingen steg under diskussionen.
terms	en betingelse	Kontraktens betingelser var klare.
terribly	forfærdeligt	Barnet var forfærdeligt ked af det.
terrify	skræmme	Høje lyde skræmmer hunden.
territory	et territorium	Kortet viser det nye territorium.
terror	en rædsel	Rædslen spredte sig efter angrebet.
terrorism	en terrorisme	Terrorisme truer den offentlige sikkerhed.
terrorist	en terrorist	Politiet anholdt terroristen i går.
testing	en afprøvning	Produkttestning starter på mandag.
textbook	en lærebog	Hun glemte sin biologilærebog.
theft	et tyveri	Tyveri steg i området.
therapist	en terapeut	Terapeuten hjalp ham med at håndtere angst.
thesis	en afhandling	Hendes afhandling undersøker online læring.
thorough	grundig	En grundig gennemgang fandt ingen fejl.
thoroughly	grundigt	Rens såret grundigt.
thumb	en tommelfinger	Han hævede tommelfingeren for at signalere godkendelse.
timing	en timing	Timingen af opkaldet var perfekt.
tissue	en serviet	Hun tørrede glasset med en serviet.
ton	et ton	Lastbilen bar et ton sand.
tonne	et ton	Forsendelsen vejede et ton.
tournament	en turnering	Tennisturneringen starter i morgen.
trace	spore	Forskere kan spore viruskilden.
trading	en handel	Aktiehandlen stoppede ved middagstid.
tragedy	en tragedie	Ulykken var en forfærdelig tragedie.
tragic	tragisk	Styrtet havde tragiske konsekvenser.
trait	et træk	Tålmodighed er et nyttigt træk.
transmit	overføre	Myg kan overføre sygdomme.
transportation	en transport	Offentlig transport er overfyldt i dag.
trap	fange	Kassen kan fange insekter sikkert.
treasure	en skat	Den gamle kiste indeholdt en skat.
tribe	en stamme	Stammen beskyttede sine traditioner.
trigger	udløse	Røg kan udløse alarmen.
trillion	en billion	Gælden nåede en billion dollars.
troop	en trop	Troppen bevægede sig mod grænsen.
tsunami	en tsunami	Tsunamien ødelagde kysthjem.
ultimate	endelig	Det endelige mål er fred.
unacceptable	uacceptabel	Forsinkelsen var uacceptabel for passagererne.
uncertainty	en usikkerhed	Usikkerhed gjorde investorerne nervøse.
undergo	undergå	Patienten vil undergå operation i morgen.
undertake	foretage	Holdet vil foretage en undersøgelse.
unfold	udfolde sig	Dramaet begyndte at udfolde sig langsomt.
unfortunate	uheldig	Fejlen var uheldig, men kunne rettes.
unite	forene	Lederne forsøgte at forene partiet.
unity	en enhed	Talen opfordrede til national enhed.
universal	universel	Appen bruger et universelt design.
urgent	presserende	Hospitalet modtog et presserende opkald.
usage	en brug	Guiden forklarer korrekt brug.
useless	ubrugelig	Den ødelagte oplader er ubrugelig.
valid	gyldig	Dit pas er stadig gyldigt.
variation	en variation	Der er stor variation i priserne.
vertical	lodret	Diagrammet har en lodret akse.
viewpoint	et synspunkt	Hendes synspunkt ændrede sig efter debatten.
visa	et visum	Han ansøgte om et studievisum.
visible	synlig	Skiltet er synligt herfra.
voluntary	frivillig	Kurset inkluderer frivillige workshops.
voting	en afstemning	Forhåndsstemning begynder i næste uge.
wander	vandre	Turister vandrer gennem det gamle marked.
warming	en opvarmning	Global opvarmning påvirker havniveauet.
weekly	ugentlig	Holdet afholder et ugentligt møde.
weird	mærkelig	Støjen lød mærkelig.
welfare	en velfærd	Programmet støtter børnevelfærd.
wheat	en hvede	Landmanden dyrker hvede.
whoever	hvem der end	Hvem der end ankommer først, bør vente udenfor.
widespread	udbredt	Stormen forårsagede udbredt skade.
wisdom	en visdom	Hendes bedstemor delte praktisk visdom.
withdraw	trække tilbage	Han besluttede at trække sin ansøgning tilbage.
workforce	en arbejdsstyrke	Arbejdsstyrken har brug for nye færdigheder.
workplace	en arbejdsplads	Arbejdspladsen har klare sikkerhedsregler.
workshop	en workshop	Workshoppen starter klokken ti.
worm	en orm	En orm bevægede sig hen over jorden.
wrist	et håndled	Hun kom til skade med sit håndled.
