source_headword	SK	example_SK
rock (music)	rocková hudba	Mám rád rockovú hudbu.
role	rola	Jej rola je dôležitá.
roof	strecha	Strecha potrebuje opravu.
round	okrúhly	Stôl je okrúhly.
route	trasa	Táto trasa je kratšia.
rubbish	odpadky	Vynes odpadky von.
rude	hrubý	Tá poznámka bola hrubá.
runner	bežec	Bežec vyzerá unavene.
running	beh	Beh ma udržiava zdravým.
sadly	bohužiaľ	Bohužiaľ sme zmeškali vlak.
safe	bezpečný	Táto ulica pôsobí bezpečne.
sail	plaviť sa; plachtiť	V sobotu budeme plachtiť.
sailing	plachtenie	Plachtenie je tu populárne.
salary	plat	Jeho plat je teraz vyšší.
sale	výpredaj	Výpredaj sa začína zajtra.
sauce	omáčka	Pridaj omáčku k ryži.
save	uložiť	Ulož si prácu teraz.
scared	vystrašený	Dieťa je vystrašené.
scary	strašidelný	Tento príbeh je strašidelný.
scene	scéna	Posledná scéna bola vtipná.
schedule	rozvrh; plán	Skontroluj dnes rozvrh.
score	skóre; výsledok	Aké je skóre?
screen	obrazovka	Opatrne vyčisti obrazovku.
search	hľadať	Hľadaj obrázky na internete.
season	ročné obdobie	Leto je rušné ročné obdobie.
seat	sedadlo	Vezmi si toto sedadlo, prosím.
second1 (next after the first)	po druhé	Po druhé, umy si ruky.
secondly	po druhé	Po druhé, skontroluj odpoveď.
secret	tajomstvo	Udrž toto tajomstvo v bezpečí.
secretary	sekretár; sekretárka	Sekretárka dnes volala.
seem	zdať sa	Vyzeráš unavene.
sense	zmysel; význam	Tento plán dáva zmysel.
separate	oddelený	Drž papiere oddelene.
series	seriál; séria	Tento seriál je populárny.
serious	vážny	Tento problém je vážny.
serve	podávať	Podávajú obed na poludnie.
service	služba	Služba bola rýchla.
several	niekoľko	Niekoľko študentov prišlo skoro.
shake	triasť; zatriasť	Najprv zatras fľašou.
shall modal	mať	Máme začať teraz?
shape	tvar	Nakresli štvorcový tvar.
sheet	plachta	Polož plachtu na posteľ.
ship	loď	Loď dnes odplávala.
shoulder	rameno	Bolí ma rameno.
shout	kričať	Nekrič v triede.
shut	zavrieť	Zavri okno, prosím.
side	strana	Sadni si na túto stranu.
sign	ceduľa	Prečítaj si ceduľu pozorne.
silver	striebro	Striebro je svetlý kov.
simple	jednoduchý	Toto cvičenie je jednoduché.
since	od	Čakám od poludnia.
singing	spev	Spev mi pomáha relaxovať.
single	jeden; jednotlivý	Kúpil som si jeden lístok.
sir	pane	Pane, vaša taška je pripravená.
site	web; stránka	Tento web je bezpečný.
size	veľkosť	Akú veľkosť potrebuješ?
ski	lyžovať	V zime lyžujeme.
skiing	lyžovanie	Lyžovanie je v zime zábavné.
skin	koža	Jej koža je suchá.
sky	obloha	Obloha je jasná.
slowly	pomaly	Choď po ľade pomaly.
smartphone	smartfón	Môj smartfón je nový.
smell	vôňa; cítiť	Polievka pekne vonia.
smile	úsmev; usmiať sa	Usmej sa do kamery.
smoke	dym	Dym naplnil miestnosť.
smoking	fajčenie	Fajčenie nie je povolené.
soap	mydlo	Použi mydlo a vodu.
soccer	futbal	Futbal je tu populárny.
social	spoločenský	Toto je spoločenská udalosť.
society	spoločnosť	Spoločnosť sa časom mení.
sock	ponožka	Jedna ponožka chýba.
soft	mäkký	Táto deka je mäkká.
soldier	vojak	Vojak sa vrátil domov.
solution	riešenie	Našli sme riešenie.
solve	vyriešiť	Vyrieš túto hádanku.
somewhere	niekde; niekam	Daj to niekam do bezpečia.
sort	druh; typ	Aký druh chceš?
source	zdroj	Najprv skontroluj zdroj.
speaker	rečník; reproduktor	Rečník bol hlasný.
specific	konkrétny	Potrebujem konkrétnu odpoveď.
speech	prejav	Jej prejav bol krátky.
speed	rýchlosť	Tu zníž rýchlosť.
spider	pavúk	Na stene je pavúk.
spoon	lyžica	Použi lyžicu na polievku.
square	štvorcový	Nakresli štvorcovú škatuľu.
stage	pódium; fáza	Kapela je na pódiu.
stair	schod	Schod je rozbitý.
stamp	známka	Daj známku na list.
state	uviesť	Uveď svoje meno jasne.
steal	kradnúť	Nekradni peniaze.
step	krok	Urob jeden krok dopredu.
stomach	žalúdok; brucho	Bolí ma brucho.
stone	kameň	Kameň je ťažký.
store	obchod	Obchod zatvára skoro.
storm	búrka	Prichádza búrka.
straight	rovno	Choď rovno domov.
strange	divný	Ten zvuk je divný.
strategy	stratégia	Potrebujeme stratégiu.
stress	stres	Práca môže spôsobovať stres.
structure	štruktúra; stavba	Táto stavba je pevná.
stupid	hlúpy	To bola hlúpa chyba.
succeed	uspieť	Tu môžeš uspieť.
successful	úspešný	Stala sa úspešnou.
such	taký	Taká pomoc je užitočná.
suddenly	zrazu	Zrazu pes utiekol.
suggest	navrhnúť	Navrhujem krátku prestávku.
suggestion	návrh	Tvoj návrh je užitočný.
suit	oblek	Tento oblek je drahý.
support	podporovať; podpora	Podporujeme náš tím.
suppose	predpokladať	Predpokladám, že máš pravdu.
surprise	prekvapenie	Prekvapenie ju potešilo.
surprised	prekvapený	Dnes bola prekvapená.
surprising	prekvapivý	Výsledok bol prekvapivý.
survey	prieskum	Vyplň prosím prieskum.
sweet	sladký	Tento čaj je sladký.
symbol	symbol	Tento symbol znamená nebezpečenstvo.
system	systém	Systém funguje dobre.
tablet	tablet	Môj tablet je na stole.
target	cieľ	Zasiahni cieľ opatrne.
task	úloha	Táto úloha je ľahká.
taste	chuť; ochutnať	Najprv ochutnaj polievku.
teaching	výučba	Výučba je ťažká práca.
technology	technológia	Technológia sa rýchlo mení.
teenage	dospievajúci	Môj dospievajúci brat usilovne študuje.
temperature	teplota	Teplota je nízka.
term	polrok; semester	Tento semester sa čoskoro končí.
themselves	sami; seba	Uvarili večeru sami.
thick	hrubý; silný	Táto kniha je hrubá.
thief	zlodej	Zlodej utiekol.
thin	tenký	Papier je tenký.
thinking	premýšľanie	Premýšľanie vyžaduje čas.
thought	myšlienka	Mal som divnú myšlienku.
throw	hodiť	Hod loptu jemne.
tidy	uprataný	Udržuj svoju izbu upratanú.
tie	zaviazať	Zaviaž si topánky teraz.
tip	tip; prepitné	Nechaj prepitné za službu.
tool	nástroj	Použi správny nástroj.
top	vrchol; horná časť	Horná polica je plná.
touch	dotknúť sa	Nedotýkaj sa skla.
tour	prehliadka	Išli sme na prehliadku mesta.
tourism	cestovný ruch	Cestovný ruch pomáha tomuto mestu.
towards	k; smerom k	Choď smerom k stanici.
towel	uterák	Vezmi si čistý uterák.
tower	veža	Veža je veľmi stará.
toy	hračka	Autíčko je červené.
track	koľaj; stopa	Koľaj vedie na sever.
tradition	tradícia	Táto tradícia je stará.
traditional	tradičný	Mala na sebe tradičné oblečenie.
trainer	tréner	Môj tréner je ochotný.
training	tréning	Tréning začína zajtra.
transport	doprava	Verejná doprava mešká.
traveller	cestovateľ	Cestovateľ požiadal o pomoc.
trouble	ťažkosti	Včera sme mali ťažkosti.
truck	nákladné auto	Nákladné auto je vonku.
twin	dvojča	Moja sestra dvojča je vyššia.
typical	typický	Toto je typický deň.
underground	podzemný	Vlak ide pod zemou.
understanding	porozumenie	Tvoje porozumenie je správne.
unfortunately	bohužiaľ	Bohužiaľ je obchod zatvorený.
unhappy	nešťastný	Vyzerá nešťastne.
uniform	uniforma	Nosí školskú uniformu.
unit	jednotka	Táto jednotka je malá.
united	spojený	Tím zostal spojený.
unusual	neobvyklý	Ten zvuk je neobvyklý.
used to modal	kedysi	Kedysi sme tu bývali.
user	používateľ	Každý používateľ má číslo.
usual	obvyklý	Vzal som si svoje obvyklé miesto.
valley	údolie	Údolie je zelené.
van	dodávka	Dodávka je plná.
variety	rozmanitosť; výber	Potrebujeme viac rozmanitosti.
vehicle	vozidlo	Toto vozidlo je pomalé.
view	výhľad	Výhľad je krásny.
virus	vírus	Vírus mu spôsobil chorobu.
voice	hlas	Jej hlas je tichý.
war	vojna	Vojna sa skončila pred rokmi.
washing	bielizeň	Bielizeň je vonku.
wave	vlna	Vlna zasiahla loď.
weak	slabý	Nohy mám slabé.
web	web	Webová stránka je otvorená.
wedding	svadba	Svadba sa začína čoskoro.
weight	váha; hmotnosť	Najprv skontroluj váhu.
wet	mokrý	Moje topánky sú mokré.
wheel	koleso	Koleso je rozbité.
while	chvíľa	Počkaj tu chvíľu.
