simplified	SR	example_SR
啊	модална честица за слагање или потврду	Добро, онда кренимо сада.
阿姨	тетка; дадиља; старија жена	Тетка ради у великој продавници.
矮	низак	Овај сто је мало низак.
爱好	хоби; интересовање	Мој хоби је слушање музике.
安静	тих; миран	У библиотеци је веома тихо.
把	држати; ухватити; честица за објекат	Молим вас, затворите врата.
搬	селити се; преместити	Сутра се селимо.
班	разред; група	У нашем разреду има двадесет ученика.
办法	метод; начин	Овај метод је веома добар.
办公室	канцеларија	Директор је у канцеларији.
半	пола; полу-	Чекао сам пола сата.
帮忙	помоћи; пружити помоћ	Можеш ли да помогнеш?
包	умотати; држати; торба	Купила је нову торбу.
饱	сит; најести се	Већ сам сит.
北方	север; северни део	Зима на северу је веома хладна.
被	пасивна честица; од	Мој бицикл је позајмио пријатељ.
鼻子	нос	Нос му је мало црвен.
比较	упоредити; прилично	Данас је прилично топло.
比赛	утакмица; такмичење	Ова утакмица је веома важна.
笔记本	свеска	Ставио сам свеску на сто.
必须	морати; неопходно је	Мораш пажљиво да поновиш градиво.
变化	промена; мењати се	Овај град се много променио.
别人	други људи	Не узимај туђе ствари.
冰箱	фрижидер	Воће је у фрижидеру.
不但…而且…	не само... него и...	Он није само паметан него и вредан.
菜单	јеловник	Молим вас, дајте ми јеловник.
参加	учествовати; придружити се	Желим да учествујем на овом састанку.
草	трава	Штене трчи по трави.
层	спрат; слој	Ова зграда има три спрата.
差	разликовати се; недостајати; лош	Данас је време лоше.
超市	велика продавница	Идем у велику продавницу да купим хлеб.
衬衫	кошуља; блуза	Ова кошуља је веома чиста.
城市	град	Пекинг је велики град.
成绩	оцене; резултати	Његове оцене из математике су веома добре.
迟到	закаснити	Не касни на час.
除了	осим; поред	Осим кафе, желим и чај.
船	брод; чамац	У тај град идемо бродом.
春	пролеће	У пролеће има много цвећа.
词典	речник	Овај речник је веома користан.
聪明	паметан; интелигентан	Ово дете је веома паметно.
打扫	чистити; мести	Викендом чистим собу.
打算	планирати; намеравати	Какве планове имаш за сутра?
带	донети; понети	Молим вас, понесите пасош.
担心	бринути се; забринут	Не брини, помоћи ћу ти.
蛋糕	торта; колач	Ова торта је веома слатка.
当然	наравно	Наравно да можеш.
地	прилошка честица	Он се срећно насмешио.
灯	лампа; светло	Молим вас, укључите светло.
地方	место; област	Ово место је веома мирно.
地铁	метро	Сваког дана идем на посао метроом.
地图	карта	Тражим школу на карти.
电梯	лифт	Лифт је лево.
电子邮件	електронска пошта	Шаљем учитељу електронску пошту.
东	исток	Сунце излази на истоку.
冬	зима	Зими волим да пијем врућ чај.
动物	животиња	Панда је позната животиња у Кини.
短	кратак	Ове панталоне су прекратке.
段	одломак; део	Молим вас, прочитајте овај одломак.
锻炼	вежбати; тренирати	Вежбам сваког јутра.
多么	како; колико	Како је добра средина овде!
饿	гладан; огладнети	Гладан сам и желим да једем хлеб.
耳朵	ухо	Ухо ме мало боли.
发	послати; издати	Увече шаљем електронску пошту.
发烧	имати температуру	Има температуру и не може да иде у школу.
发现	открити; пронаћи	Открио сам да је овај метод добар.
方便	згодан; практичан	Практично је ићи метроом.
放	ставити; пустити	Молим вас, ставите књигу на сто.
放心	бити миран; не бринути	Не брини, стићи ћу на време.
分	поделити; распоредити	Молим вас, поделите торту свима.
复习	понављати; понављање	Морам да поновим градиво пре испита.
附近	у близини; околина	У близини је ресторан.
干净	чист	Ова соба је веома чиста.
感冒	прехладити се; прехлада	Прехлађен сам и желим да се одморим.
感兴趣	занимати се	Веома ме занима кинески.
刚才	малопре; управо сад	Ко те је малопре звао?
个子	стас; висина	Он је висок.
根据	према; на основу	Према карти, школа је на истоку.
跟	са; пратити	Идем у парк са пријатељем.
更	још више; више	Данас је још хладније него јуче.
公斤	килограм	Ове јабуке теже један килограм.
公园	парк	Деца се играју у парку.
故事	прича	Деда ми прича причу.
刮风	дувати ветар	Данас дува ветар; немој да возиш бицикл.
关	затворити; искључити	Молим вас, затворите врата.
关系	однос; веза	Мој однос са колегом је добар.
关心	бринути се за; интересовати се	Мама се много брине за моје здравље.
关于	о; у вези са	Ова књига је о кинеској култури.
国家	држава; земља	Кина је веома велика земља.
过	честица доживљене радње	Био сам у Пекингу.
过去	прошлост; раније	Раније овде није било метроа.
还是	или; ипак	Пијеш ли чај или кафу?
害怕	бојати се	Не бојим се испита.
黑板	табла	Учитељ пише знакове на табли.
后来	касније; после	Касније смо отишли у парк.
护照	пасош	Молим вас, понесите пасош.
96:花	трошити; коштати	Куповина телефона коштала је две хиљаде јуана.
97:花	цвет	На столу је цвет.
画	цртати; слика	Моја млађа сестра воли да црта панде.
坏	лош; покварен	Мој рачунар се покварио.
欢迎	дочекати; добродошао	Добродошао у мој дом.
环境	средина; окружење	Средина у овој школи је веома добра.
还	вратити	Молим вас, вратите ми књигу сутра.
换	заменити; променити	Желим да заменим кошуљу.
黄河	Жута река	Жута река је веома дуга.
回答	одговорити; одговор	Молим вас, одговорите на моје питање.
会议	састанак; конференција	Састанак почиње у девет сати.
或者	или; можда	Можеш да идеш метроом или аутобусом.
几乎	готово; скоро	Он вежба готово сваког дана.
机会	прилика; шанса	Ово је добра прилика.
极	изузетно; веома	Она је изузетно срећна.
季节	годишње доба	Јесен је моје омиљено годишње доба.
记得	сећати се	Сећаш ли се да понесеш кредитну картицу?
检查	проверити; прегледати	Лекар ме прегледа.
简单	једноставан	Ова реченица је веома једноставна.
健康	здравље; здрав	Вежбање је добро за здравље.
见面	срести се	Сутра ћемо се срести у школи.
讲	објаснити; говорити	Учитељ објашњава веома јасно.
教	подучавати; учити некога	Он ме учи да пишем кинеске знакове.
脚	стопало; нога	Стопало ме мало боли.
角	угао	Продавница је на углу улице.
接	дочекати; примити; одговорити	Идем на аеродром да дочекам пријатеља.
街道	улица	Ова улица је веома чиста.
结婚	венчати се	Они ће се венчати следеће године.
结束	завршити	Утакмица је већ завршена.
节目	емисија	Ова телевизијска емисија је веома добра.
节日	празник; фестивал	Празник пролећа је важан кинески празник.
解决	решити	Овај проблем је већ решен.
借	позајмити; дати на зајам	Желим да позајмим твој речник.
经常	често	Често идем у библиотеку.
经过	проћи кроз; процес	Сваког дана пролазим кроз овај парк.
经理	директор; руководилац	Директор је на састанку.
久	дуго времена	Овде живим већ дуго.
旧	стар; половни	Овај комад одеће је веома стар.
句子	реченица	Молим вас, напишите једну реченицу.
决定	одлучити; одлука	Одлучио сам да учим кинески.
可爱	сладак; мио	Ова мачка је веома слатка.
渴	жедан	Жедан сам и желим да пијем воду.
刻	четврт сата; тренутак	Осам је и петнаест.
客人	гост; купац	Данас нам је кући дошао гост.
空调	клима-уређај	Молим вас, укључите клима-уређај.
口	уста; гутљај; бројач за људе или животиње	Попио је гутљај воде.
哭	плакати	Зашто дете плаче?
裤子	панталоне	Ове панталоне су нове.
筷子	штапићи за јело	Умем да једем штапићима за јело.
蓝	плав	Небо је плаво.
老	стар; старији	Мој учитељ није стар.
离开	отићи; напустити	Он сутра одлази из Пекинга.
礼物	поклон	Ово је поклон за тебе.
历史	историја	Волим кинеску историју.
脸	лице	Њено лице је веома црвено.
练习	вежбати; вежба	Молим вас, више вежбајте говор кинеског.
辆	бројач за возила	Пред вратима је такси.
聊天	разговарати; ћаскати	Разговарам са пријатељем.
了解	разумети; сазнати	Желим да разумем кинеску културу.
邻居	комшија	Мој комшија је веома срдачан.
留学	студирати у иностранству	Она студира у Кини.
楼	зграда; спрат	Канцеларија је на трећем спрату.
绿	зелен	У пролеће је дрвеће позеленело.
马	коњ	Онај коњ трчи веома брзо.
马上	одмах	Одмах се враћам.
满意	задовољан	Веома сам задовољан овом собом.
帽子	шешир; капа	Овај шешир је веома леп.
米	метар; пиринач	Овај сто је дугачак два метра.
面包	хлеб	Једем хлеб за доручак.
明白	разумети; јасно	Разумем шта желиш да кажеш.
拿	узети; држати	Молим вас, узмите једну књигу за мене.
奶奶	бака по оцу; бака	Бака воли да слуша музику.
南	југ	Школа је на југу града.
难	тежак	Ово питање није тешко.
难过	тужан; жалостан	Она је данас мало тужна.
年级	разред; школска година	Моја млађа сестра је у трећем разреду.
年轻	млад	Овај директор је веома млад.
鸟	птица	На дрвету је птица.
努力	напор; трудити се	Он веома вредно учи.
爬山	пењати се на планину; планинарити	Овог викенда идемо на планинарење.
盘子	тањир; послужавник	На столу су три тањира.
胖	дебео; пуначак	Овај пас је мало дебео.
啤酒	пиво	Тата не пије пиво.
皮鞋	кожне ципеле	Овај пар кожних ципела је скуп.
瓶子	флаша	У флаши је вода.
其实	заправо	Заправо не волим пиво.
其他	други; остали	Остали ученици су сви дошли.
奇怪	чудан	Овај звук је веома чудан.
骑	јахати; возити	Он сваког дана вози бицикл на посао.
起飞	полетети	Авион ће ускоро полетети.
起来	устати; нагоре	Молим вас, устаните.
清楚	јасан; јасно	Говорио си веома јасно.
请假	тражити слободно	Прехлађен је и мора да тражи слободно.
秋	јесен	Време у јесен је пријатно.
裙子	сукња	Ова сукња је веома лепа.
然后	затим; после тога	Прво једем, затим пишем домаћи.
热情	срдачан; одушевљен	Кинески пријатељи су веома срдачни.
认为	сматрати; мислити	Сматрам да је овај метод добар.
认真	озбиљан; пажљив	Молим вас, пажљиво слушајте учитеља.
容易	лак; једноставан	Овај кинески знак се лако пише.
如果	ако	Ако буде падала киша, ићи ћемо метроом.
伞	кишобран	Пада киша; молим те, понеси кишобран.
上网	ићи на интернет	Увече идем на интернет да проверим карту.
声音	глас; звук	Твој глас лепо звучи.
生气	љут; наљутити се	Не љути се; нисам то урадио намерно.
世界	свет	Свет је веома велик.
试	пробати; покушати	Желим да пробам овај пар кожних ципела.
瘦	мршав	Он је мршавији него раније.
叔叔	стриц; ујак	Стриц ме вози у школу.
舒服	удобан; осећати се добро	Ова столица је удобна.
数学	математика	Час математике је занимљив.
树	дрво	Испред куће је дрво.
刷牙	прати зубе	Сваког јутра перем зубе.
