source_headword	KK	example_KK
strengthen	нығайту	Жаңа саясат желідегі қауіпсіздікті нығайтады.
strictly	қатаң	Билеттер адам басына екеуімен қатаң шектелген.
striking	әсерлі	Картинаның әсерлі түстері бар.
stroke	сызық	Ол қағазға бір сызық жүргізді.
stunning	таңғажайып	Таудың көрінісі таңғажайып болды.
subsequent	кейінгі	Кейінгі кездесу бюджетті растады.
subsequently	кейіннен	Жол жабылды, кейіннен көліктер баяу қозғалды.
suburb	қала маңы	Олар тыныш қала маңында тұрады.
suffering	азап	Дәрі оның азабын жеңілдетті.
sufficient	жеткілікті	Команданың уақыты жеткілікті.
sufficiently	жеткілікті түрде	Бөлме жеткілікті түрде жылы.
super	өте	Жаңа планшет өте жылдам.
surgeon	хирург	Хирург зақымдалған тізені қалпына келтірді.
survival	аман қалу	Таза су аман қалу үшін өте маңызды.
survivor	тірі қалған адам	Тірі қалған адам су тасқынын сипаттады.
suspend	тоқтата тұру	Мектеп сапарды уақытша тоқтата тұруы мүмкін.
sustainable	тұрақты	Ферма тұрақты әдістерді пайдаланады.
swallow	жұту	Таблетканы сумен жұтыңыз.
sympathetic	жанашыр	Менеджер оның мәселесіне жанашырлық танытты.
tackle	шешуге кірісу	Біз тұрғын үй мәселесін шешуге кірісуіміз керек.
tag	белгі	Сөмкенің баға белгісі болды.
tap	шүмек	Ол су шүмегін жауып тастады.
technological	технологиялық	Технологиялық өзгеріс әрбір жұмыс орнына әсер етеді.
teens	жасөспірімдер	Көптеген жасөспірімдер әлеуметтік желілерді күнделікті пайдаланады.
temple	ғибадатхана	Ғибадатхана өзеннің жанында орналасқан.
temporarily	уақытша	Кеңсе уақытша жабық.
tendency	бейімділік	Оның кешігіп келуге бейімділігі бар.
tension	шиеленіс	Талқылау барысында шиеленіс күшейе түсті.
terms	шарттар	Келісімшарт шарттары түсінікті болды.
terribly	қатты	Бала қатты көңілсіз болды.
terrify	қорқыту	Қатты дыбыстар итті қорқытады.
territory	аумақ	Карта жаңа аумақты көрсетеді.
terror	үрей	Шабуылдан кейін үрей таралды.
terrorism	терроризм	Терроризм қоғамдық қауіпсіздікке қауіп төндіреді.
terrorist	террорист	Полиция кеше террористі тұтқындады.
testing	тестілеу	Өнімді тестілеу дүйсенбіде басталады.
textbook	оқулық	Ол биология оқулығын ұмытып кетті.
theft	ұрлық	Аймақта ұрлық көбейді.
therapist	терапевт	Терапевт оған мазасыздықты жеңуге көмектесті.
