source_headword	BG	example_BG
absorb	абсорбирам	Кърпата абсорбира водата бързо.
abstract	абстрактен	Лекцията обсъждаше абстрактни идеи.
accent	акцент	Нейният акцент е лесен за разбиране.
accidentally	случайно	Случайно изтрих файла.
accommodate	приспособявам се	Хотелът може да настани големи семейства.
accomplish	постигам	Тя постигна целта си преди юни.
accountant	счетоводител	Счетоводителят провери фактурата.
accuracy	точност	Тестът измерва точността на четене.
accurately	точно	Картата показва маршрута точно.
acid	киселина	Киселината повреди металната повърхност.
activate	активирам	Натиснете бутона, за да активирате алармата.
addiction	пристрастяване	Зависимостта му се отрази на работата му.
additionally	допълнително	Допълнително ни трябват още столове.
adequate	адекватен	Стаята има достатъчно светлина.
adequately	адекватно	Докладът обясни проблема адекватно.
adjust	коригирам	Регулирайте седалката преди шофиране.
affordable	достъпен	Апартаментът е достъпен за студенти.
agriculture	селско стопанство	Селското стопанство поддържа много селски семейства.
AIDS	СПИН	Лекарите лекуват СПИН с модерни лекарства.
alien	извънземно	Филмът показва извънземна планета.
alongside	наред с	Велоалеята минава покрай реката.
altogether	напълно	Общо проектът отне шест седмици.
ambulance	линейка	Линейката пристигна след няколко минути.
amusing	забавен	Историята беше забавна и лека.
analyst	анализатор	Анализаторът прегледа данните за продажбите.
ancestor	предшественик	Моят прародител е живял близо до това село.
animation	анимация	Анимацията направи урока по-ясен.
annually	ежегодно	Фестивалът се провежда ежегодно.
anticipate	предвиждам	Очакваме натоварено движение утре.
anxiety	тревожност	Тревожността може да затрудни съня.
apology	извинение	Тя поднесе искрено извинение.
applicant	кандидат	Кандидатът изпрати нова автобиография.
appropriately	подходящо	Моля, облечете се подходящо за интервюто.
arrow	стрелка	Стрелката сочи към изхода.
artwork	произведение на изкуството	Музеят изложи местни произведения на изкуството.
aside	настрана	Тя отстъпи настрана, за да му направи път.
asset	актив	Опитът е ценно предимство.
assign	възлагам	Учителят възложи домашно днес.
assistance	помощ	Моля, помолете персонала за съдействие.
assumption	предположение	Това предположение може да е грешно.
assure	уверявам	Уверявам те, че вратата е заключена.
astonishing	изумителен	Гледката от скалата беше удивителна.
attachment	прикачен файл	Имейлът включва прикачен файл.
auction	търг	Картината беше продадена на търг.
audio	аудио	Аудио записът звучи ясно.
automatic	автоматичен	Вратата има автоматична ключалка.
automatically	автоматично	Светлините се включват автоматично.
awareness	осведоменост	Кампанията повиши обществената осведоменост.
awkward	неловък	Тишината се усещаше неловко.
badge	значка	Посетителите трябва да носят бадж.
balanced	балансиран	Балансираната диета включва зеленчуци.
ballet	балет	Тя учи балет след училище.
balloon	балон	Балонът се носеше над масата.
barely	едва	Той едва чу съобщението.
bargain	изгодна сделка	Това яке беше истинска находка.
basement	мазе	Кутиите са в мазето.
basket	кошница	Тя сложи ябълките в кошницата.
bat	бухалка	Прилепът излетя от пещерата.
beneficial	полезен	Редовните упражнения са полезни за здравето.
beside	до	Лампата стои до дивана.
besides	освен това	Освен математика, той учи и химия.
bias	пристрастие	Статията показа ясно пристрастие.
bid	оферта	Компанията направи по-висока оферта.
biological	биологичен	Биологичният тест потвърди резултата.
blanket	одеяло	Детето спеше под одеяло.
blow	удар	Силният удар счупи прозореца.
bold	смел	Заглавието използваше удебелени букви.
bombing	бомбардировка	Бомбардировката повреди няколко сгради.
booking	резервация	Потвърдих резервацията за хотела.
boost	тласък	Победата повиши увереността на отбора.
bound	обвързан	Пратката беше вързана с канап.
brick	тухла	Стената е направена от тухли.
briefly	накратко	Тя говори накратко след обяд.
broadcaster	телевизионен оператор	Водещият интервюира кмета.
broadly	нашироко	Двата плана са като цяло сходни.
bug	грешка	Приложението се срина заради бъг.
cabin	хижа	Отседнахме в малка хижа.
canal	канал	Лодките се движеха бавно по канала.
candle	свещ	Свещта гореше на масата.
