source_headword	TA	example_TA
crawl	ஊர்ந்து செல்	குழந்தை கம்பளத்தின் மீது ஊர்ந்து செல்லத் தொடங்கியது.
creator	படைப்பாளி	படைப்பாளி அனைவரின் ஆதரவிற்கும் நன்றி தெரிவித்தார்.
credibility	நம்பகத்தன்மை	சாட்சி விசாரணையின் போது நம்பகத்தன்மையை இழந்தார்.
credible	நம்பகமான	அறிக்கை நம்பகமான சான்றுகளை வழங்கியது.
creep	ஊர்ந்து செல்	பனிமூட்டம் பள்ளத்தாக்கில் படரத் தொடங்கியது.
critique	விமர்சனம்	பேராசிரியர் விரிவான விமர்சனத்தை வழங்கினார்.
crown	கிரீடம்	ராணி ஒரு வெள்ளி கிரீடத்தை அணிந்திருந்தார்.
crude	கரடுமுரடான	வரைபடம் கரடுமுரடாக இருந்தாலும் தெளிவாக இருந்தது.
crush	நசுக்கு	கனமான பாறைகள் குழாயை நசுக்கக்கூடும்.
crystal	படிகம்	படிகம் காலை ஒளியை பிரதிபலித்தது.
cult	வழிபாட்டு முறை	அந்தக் குழு அதன் உறுப்பினர்களை தனிமைப்படுத்தியது.
cultivate	பயிரிடு	விவசாயிகள் இந்தப் பகுதியில் நெல் பயிரிடுகின்றனர்.
curiosity	ஆர்வம்	ஆர்வம் அவளை அறிவியலுக்கு அழைத்துச் சென்றது.
custody	காவல்	குழந்தை தன் தந்தையின் காவலில் இருந்தாள்.
cutting	பத்திரிக்கை துணுக்கு	செய்தித்தாள் அவரைப் பற்றிய ஒரு துணுக்கை வெளியிட்டது.
cynical	இகழ்வான	அவரது இகழ்வான கருத்து அணியை வருத்தப்படுத்தியது.
dam	அணை	அணை ஆற்று நீரை தடுத்து நிறுத்துகிறது.
damaging	சேதப்படுத்தும்	அந்த சேதப்படுத்தும் கட்டுரை பிரச்சாரத்தை பாதித்தது.
dawn	விடியல்	நாங்கள் விடியற்காலையில் கிராமத்தை விட்டு வெளியேறினோம்.
debris	குப்பைகள்	புயல் சிதைவுகள் சாலையை அடைத்தன.
debut	அறிமுகம்	அவரது அறிமுகம் தேசிய கவனத்தை ஈர்த்தது.
decision-making	முடிவெடுக்கும் திறன்	நல்ல முடிவெடுப்பதற்கு தெளிவான தகவல்கள் தேவை.
decisive	தீர்க்கமான	அவரது தீர்க்கமான செயல் மேலும் சேதத்தைத் தடுத்தது.
declaration	அறிவிப்பு	அமைச்சர் முறையான அறிவிப்பை வாசித்தார்.
dedicated	அர்ப்பணிப்புள்ள	அர்ப்பணிப்புள்ள செவிலியர் இரவு முழுவதும் பணிபுரிந்தார்.
dedication	அர்ப்பணிப்பு	அவரது அர்ப்பணிப்பு இளம் வீரர்களுக்கு உத்வேகம் அளித்தது.
deed	செயல்	அந்த துணிச்சலான செயல் இரண்டு உயிர்களைக் காப்பாற்றியது.
deem	கருது	நீதிமன்றம் ஒப்பந்தத்தை செல்லாது என்று கருதலாம்.
default	இயல்புநிலை	இப்போதைக்கு இயல்புநிலை அமைப்பைப் பயன்படுத்தவும்.
defect	குறைபாடு	ஆய்வாளர்கள் ஒரு கடுமையான குறைபாட்டைக் கண்டறிந்தனர்.
defensive	தற்காப்பு	அவரது தற்காப்பு தொனி அனைவரையும் ஆச்சரியப்படுத்தியது.
deficiency	குறைபாடு	இரும்புச்சத்து குறைபாடு ஆரோக்கியத்தை பாதிக்கலாம்.
deficit	பற்றாக்குறை	பட்ஜெட் பற்றாக்குறை அதிகாரிகளை கவலையடையச் செய்தது.
defy	மீறு	எதிர்ப்பாளர்கள் தடையை மீற முடிவு செய்தனர்.
delegate	பிரதிநிதி	ஒவ்வொரு பிரதிநிதியும் ஒரு வாக்குச் சீட்டைப் பெற்றனர்.
delegation	தூதுக்குழு	தூதுக்குழு நண்பகலுக்கு முன் வந்தது.
delicate	மென்மையான	மென்மையான கண்ணாடி எளிதில் உடைந்தது.
demon	அரக்கன்	கதை ஒரு பழங்கால அரக்கனை விவரிக்கிறது.
denial	மறுப்பு	அவரது மறுப்பு பாதிக்கப்பட்டவர்களை கோபப்படுத்தியது.
denounce	கண்டனம் தெரிவி	தலைவர்கள் பள்ளிகளில் நடக்கும் வன்முறைகளை கண்டிக்கின்றனர்.
dense	அடர்த்தியான	அடர்த்தியான காடு சூரிய ஒளியை தடுத்தது.
density	அடர்த்தி	நகரத்தில் மக்கள் தொகை அடர்த்தி அதிகமாக உள்ளது.
dependence	சார்பு	எண்ணெய் மீதான நாட்டின் சார்பு குறைந்தது.
depict	சித்தரி	சுவர் ஓவியம் கிராமத்து வாழ்க்கையை சித்தரிக்கிறது.
deploy	நிலைநிறுத்து	இராணுவம் கூடுதல் ஊழியர்களை நிலைநிறுத்தும்.
deployment	நிலைநிறுத்தம்	துருப்புக்களின் நிலைநிறுத்தம் திங்கள்கிழமை தொடங்கியது.
deprive	பறி	தூக்கமின்மை மாணவர்களின் கவனத்தை பறிக்கக்கூடும்.
deputy	துணை	துணை அதிகாரி ஒப்பந்தத்தில் கையெழுத்திட்டார்.
descend	இறங்கு	பாதை செங்குத்தாக இறங்கத் தொடங்கியது.
descent	இறக்கம்	விமானம் அதன் இறக்கத்தை தொடங்கியது.
designate	ஒதுக்கு	நகரம் ஒரு புதிய பூங்காவை ஒதுக்கும்.
desirable	விரும்பத்தக்க	வகுப்பறைகளில் நல்ல வெளிச்சம் இருப்பது விரும்பத்தக்கது.
desktop	கணினித் திரை	கோப்பு எனது கணினித் திரையில் உள்ளது.
destructive	அழிவுகரமான	புயல் அழிவுகரமான சக்தியைக் கொண்டிருந்தது.
detain	காவலில் வை	காவல்துறை சந்தேக நபர்களை இரவு முழுவதும் காவலில் வைக்கலாம்.
detection	கண்டறிதல்	ஆரம்பகால கண்டறிதல் புற்றுநோய் சிகிச்சையை மேம்படுத்துகிறது.
detention	தடுப்புக்காவல்	தடுப்புக்காவல் நிலைமைகளுக்கு எதிராக மாணவர்கள் போராட்டம் நடத்தினர்.
deteriorate	மோசமடை	அவரது உடல்நிலை மோசமடையத் தொடங்கியது.
devastate	நாசமாக்கு	நிலநடுக்கம் கடலோர நகரங்களை நாசமாக்கும்.
devil	பிசாசு	குழந்தை சிரிக்கும் பிசாசை வரைந்தது.
devise	உருவாக்கு	பொறியாளர்கள் பாதுகாப்பான போக்குவரத்து அமைப்புகளை உருவாக்குகிறார்கள்.
diagnose	நோய் கண்டறி	மருத்துவர்கள் இரத்த பரிசோதனைகள் மூலம் நோயைக் கண்டறிகிறார்கள்.
diagnosis	நோய் கண்டறிதல்	நோய் கண்டறிதல் அவரது அறிகுறிகளை விளக்கியது.
dictate	தீர்மானி	ஒப்பந்தம் கட்டண விதிமுறைகளை தீர்மானிக்கும்.
dictator	சர்வாதிகாரி	சர்வாதிகாரி ஊடகங்களை கட்டுப்படுத்தினார்.
differentiate	வேறுபடுத்து	உண்மையையும் கருத்தையும் உங்களால் வேறுபடுத்திப் பார்க்க முடியுமா?
dignity	கண்ணியம்	பணியிடத்தில் அனைவரும் கண்ணியத்திற்கு தகுதியானவர்கள்.
dilemma	தர்மசங்கடம்	மேலாளர் ஒரு கடுமையான தர்மசங்கடத்தை எதிர்கொண்டார்.
dimension	பரிமாணம்	இந்தப் பிரச்சினைக்கு ஒரு அரசியல் பரிமாணம் உள்ளது.
diminish	குறை	வலி மெதுவாக குறைய வேண்டும்.
dip	குறை	வெப்பநிலை உறைநிலைக்குக் கீழே குறையக்கூடும்.
diplomat	இராஜதந்திரி	இராஜதந்திரி வெளிநாட்டுத் தலைவர்களைச் சந்தித்தார்.
diplomatic	இராஜதந்திர	இராஜதந்திர பேச்சுவார்த்தைகள் இரவு முழுவதும் தொடர்ந்தன.
directory	கோப்பகம்	அவரது எண்ணுக்காக கோப்பகத்தில் தேடுங்கள்.
disastrous	பேரழிவுகரமான	பேரழிவுகரமான வெள்ளம் பல பாலங்களை அழித்தது.
