source_headword	TA	example_TA
abolish	ஒழி	சட்டம் பழைய கட்டணத்தை ஒழிக்கும்.
abortion	கருக்கலைப்பு	கருக்கலைப்பு ஒரு முக்கிய மருத்துவ பிரச்சனையாக உள்ளது.
absence	இல்லாமை	அவளது இல்லாமை இறுதி முடிவை தாமதப்படுத்தியது.
absent	வராத	வகுப்பிற்கு இரண்டு உறுப்பினர்கள் வரவில்லை.
absurd	அபத்தமான	அந்த கூற்று அனைவருக்கும் அபத்தமானதாகத் தோன்றியது.
abundance	அபரிமிதம்	பள்ளத்தாக்கில் தண்ணீர் அபரிமிதமாக உள்ளது.
abuse	துஷ்பிரயோகம்	அறிக்கை பணியிடத்தில் துஷ்பிரயோகத்தை விவரித்தது.
academy	அகாடமி	அகாடமி இளம் இசைக்கலைஞர்களுக்கு பயிற்சி அளிக்கிறது.
accelerate	துரிதப்படுத்து	புதிய நிதி ஆராய்ச்சியை துரிதப்படுத்தும்.
acceptance	ஏற்பு	அவர் விமர்சனத்தை ஏற்றது என்னை கவர்ந்தது.
accessible	அணுகக்கூடிய	அருங்காட்சியகம் சக்கர நாற்காலி பயன்படுத்துபவர்களுக்கு அணுகக்கூடியது.
accomplishment	சாதனை	புத்தகத்தை முடித்தது ஒரு உண்மையான சாதனை.
accordance	இணக்கம்	கொள்கைக்கு இணங்க வேலை செய்யப்பட்டது.
accordingly	அதன்படி	சான்றுகள் மாறின, நாங்கள் அதன்படி செயல்பட்டோம்.
accountability	பொறுப்புக்கூறல்	கொள்கை மேலாளர்களுக்கான பொறுப்புக்கூறலை அதிகரிக்கிறது.
accountable	பொறுப்பான	மேலாளர்கள் பாதுகாப்பிற்கு பொறுப்பானவர்கள்.
accumulate	குவி	திரையின் பின்னால் தூசி குவியலாம்.
accumulation	குவிப்பு	தரவு குவிப்புக்கு மாதங்கள் ஆனது.
accusation	குற்றச்சாட்டு	குற்றச்சாட்டு குழுவை அதிர்ச்சிக்குள்ளாக்கியது.
accused	குற்றம் சாட்டப்பட்டவர்	குற்றம் சாட்டப்பட்டவர் நீதிமன்றத்தில் ஆஜரானார்.
acquisition	கையகப்படுத்தல்	கையகப்படுத்தல் நிறுவனத்தை விரைவாக விரிவுபடுத்தியது.
acre	ஏக்கர்	பண்ணை ஒரு ஏக்கர் பரப்பளவைக் கொண்டுள்ளது.
activation	செயல்படுத்துதல்	அட்டையை செயல்படுத்துவதற்கு சில நிமிடங்கள் ஆகும்.
