source_headword	KK	example_KK
heal	жазылу	Демалыс дененің жазылуына көмектеседі.
healthcare	денсаулық сақтау	Биыл денсаулық сақтау шығындары өсті.
helmet	дулыға	Велосипед тепкенде дулыға киіңіз.
hence	сондықтан	Сондықтан біз кестені өзгерттік.
herb	шөп	Райхан - пайдалы шөп.
hidden	жасырын	Кілт төсеніштің астына жасырылған еді.
highway	тас жол	Қар жауғаннан кейін тас жол жабылды.
hilarious	өте күлкілі	Кино өте күлкілі болды.
hip	жамбас	Ол жаттығу кезінде жамбасын жарақаттап алды.
historian	тарихшы	Тарихшы ескі хаттарды зерттеді.
homeless	үйсіз	Баспана үйсіз отбасыларға көмектеседі.
honesty	адалдық	Адалдық сенімді қалыптастырады.
hook	ілмек	Пальтоны ілмекке іліп қой.
hopefully	үміттенемін	Пойыз тез арада келеді деп үміттенеміз.
hunger	аштық	Аштық зейінге әсер етуі мүмкін.
hypothesis	гипотеза	Тәжірибе гипотезаны сынады.
icon	белгіше	Қолданбаның белгішесі бүгін өзгерді.
ID	жеке куәлік	Қабылдау бөлімінде жеке куәлігіңізді көрсетіңіз.
identical	бірдей	Егіздер бірдей күрте киген.
illusion	иллюзия	Айна иллюзия тудырады.
immigration	көші-қон	Көші-қон саясаты өткен жылы өзгерді.
immune	иммундық	Вакцинация адамдарда иммунитет қалыптастыра алады.
implement	іске асыру	Мектеп бұл саясатты іске асырады.
implication	астарлы мағына	Астарлы мағынасы түсінікті болды.
incentive	ынталандыру	Сыйақы жұмысшыларға ынталандыру берді.
incorporate	қосу	Тамаққа көбірек көкөніс қосыңыз.
incorrect	қате	Жауап қате болды.
independence	тәуелсіздік	Ел тәуелсіздік күнін тойлады.
index	көрсеткіш	Тақырыпты көрсеткіштен қараңыз.
indication	белгі	Күлімсіреу жеңілдеудің белгісі болды.
inevitable	сөзсіз	Кейбір кідірістер сөзсіз болды.
inevitably	сөзсіз	Тапшылықтан кейін бағалар сөзсіз өсті.
infer	қорытынды жасау	Біз мәнмәтіннен жауап туралы қорытынды жасай аламыз.
inflation	инфляция	Инфляция азық-түлік бағасын өсірді.
info	ақпарат	Веб-сайтта пайдалы ақпарат көрсетілген.
infrastructure	инфрақұрылым	Дауыл жергілікті инфрақұрылымды зақымдады.
inhabitant	тұрғын	Әрбір тұрғын таза су алды.
inherit	мұраға алу	Ол отбасылық үйді мұраға алады.
ink	сия	Принтерге қара сия қажет.
innovation	инновация	Инновация саланы алға жетелейді.
innovative	инновациялық	Компания инновациялық өнімді шығарды.
input	пікір	Менеджер пікір білдіруді сұрады.
insert	енгізу	Картаны құрылғыға салыңыз.
inspector	инспектор	Инспектор ғимаратты тексерді.
installation	орнату	Орнату екі сағатқа созылды.
instant	лезде	Қолданба лезде жауап жіберді.
instantly	бірден	Экран бірден қосылды.
integrate	біріктіру	Бағдарламалық жасақтама жаңа құралдарды біріктіре алады.
intellectual	зияткерлік	Пікірталас зияткерлік, бірақ достық сипатта болды.
interact	өзара әрекеттесу	Студенттер топтық жұмыс кезінде өзара әрекеттеседі.
interaction	өзара әрекеттесу	Өзара әрекеттесу сыпайы болды.
interpretation	түсіндіру	Оның өлеңді түсіндіруі ерекше болды.
interval	үзіліс	Актілер арасында қысқа үзіліс болды.
invade	басып кіру	Әскер аралға басып кіруге тырысты.
invasion	шабуыл	Шабуыл көптеген қалаларға зақым келтірді.
investor	инвестор	Инвестор жаңа стартапты қаржыландырды.
isolate	оқшаулау	Дәрігерлер ауыр инфекциясы бар науқастарды оқшаулайды.
isolated	оқшауланған	Ауыл қардың кесірінен оқшауланған еді.
jail	түрме	Ұры түрмеге қамалды.
jet	реактивті ұшақ	Ұшақ түсте қонды.
joint	бірлескен	Олар бірлескен жобаны жариялады.
journalism	журналистика	Журналистика нақты фактілерді талап етеді.
jury	алқабилер	Алқабилер шешімге келді.
kit	жиынтық	Жөндеу жиынтығында бұрандалар бар.
ladder	баспалдақ	Баспалдақ қабырғаға сүйеулі тұрды.
landing	қону	Ұшақ бірқалыпты қонды.
lane	жолақ	Оң жақ жолақта болыңыз.
lately	соңғы кезде	Мен соңғы кезде нашар ұйықтап жүрмін.
leaflet	парақша	Парақша қызметті түсіндіреді.
legend	аңыз	Аңыз жасырын қала туралы баяндайды.
lens	линза	Камера линзасын мұқият тазалаңыз.
lifetime	өмір бойы	Ол өмір бойы ақша жинады.
lighting	жарықтандыру	Жақсы жарықтандыру бөлмені жақсартады.
likewise	дәл солай	Ол күлімсіреді; ол да дәл солай істеді.
limitation	шектеу	Жоспардың бір шектеуі бар.
literally	тура мағынада	Ол автобусқа тура мағынада жүгіріп барды.
literary	әдеби	Фестиваль әдеби шығармашылықты құрметтейді.
litre	литр	Бір литр сүт сатып алыңыз.
litter	қоқыс	Қоқыс тастамаңыз.
logo	логотип	Логотип әр бетте пайда болады.
lottery	лотерея	Ол шағын лотерея жүлдесін ұтып алды.
loyal	адал	Ит өз иесіне адал болды.
lyric	ән мәтіні	Ән мәтіні негізгі идеяны қайталады.
magnificent	ғажайып	Сарай ғажайып көрінді.
make-up	макияж	Ол қарапайым макияж жасады.
making	жасау	Фильмді түсіру қиын болды.
manufacture	өндіру	Зауыт телефондар өндіреді.
manufacturing	өндіріс	Жергілікті жерде өндірістік жұмыс орындары көбейді.
marathon	марафон	Ол марафонды аяқтады.
margin	жиек	Жазбаларды жиекке жазыңыз.
marker	маркер	Жапсырма үшін маркерді қолданыңыз.
martial	жауынгерлік	Ол жауынгерлік өнерді зерттейді.
mate	дос	Кеше менің ескі мектептес досым қоңырау шалды.
mayor	мэр	Мэр кітапхананы ашты.
mechanic	механик	Механик автобусты жөндеді.
mechanical	механикалық	Сағатта механикалық ақау бар.
mechanism	механизм	Құлыптың механизмі қарапайым.
medal	медаль	Ол алтын медаль жеңіп алды.
medication	дәрі-дәрмек	Дәрі-дәрмекті сумен ішіңіз.
membership	мүшелік	Спорт залына мүшелік желіде арзанырақ тұрады.
memorable	есте қаларлық	Сапар есте қаларлық болды.
