source_headword	ES-419	example_ES-419
crawl	gatear	El bebé empezó a gatear por la alfombra.
creator	el creador	El creador agradeció a todos por su apoyo.
credibility	la credibilidad	El testigo perdió credibilidad durante el interrogatorio.
credible	creíble	El informe ofreció pruebas creíbles.
creep	deslizarse	La niebla empezó a deslizarse por el valle.
critique	la crítica	El profesor hizo una crítica detallada.
crown	la corona	La reina llevaba una corona de plata.
crude	rudimentario	El dibujo era rudimentario pero claro.
crush	aplastar	Las rocas pesadas pueden aplastar la tubería.
crystal	el cristal	El cristal reflejaba la luz de la mañana.
cult	la secta	La secta aisló a sus miembros.
cultivate	cultivar	Los agricultores cultivan arroz en esta región.
curiosity	la curiosidad	La curiosidad la llevó a la ciencia.
custody	la custodia	La niña permaneció bajo la custodia de su padre.
cutting	el recorte	El periódico publicó un recorte sobre él.
cynical	cínico	Su comentario cínico molestó al equipo.
dam	la represa	La represa retiene el agua del río.
damaging	perjudicial	El artículo perjudicial afectó la campaña.
dawn	el amanecer	Salimos del pueblo al amanecer.
debris	los escombros	Los escombros de la tormenta bloquearon el camino.
debut	el debut	Su debut atrajo la atención nacional.
decision-making	la toma de decisiones	Una buena toma de decisiones requiere información clara.
decisive	decisivo	Su acción decisiva evitó más daños.
declaration	la declaración	El ministro leyó una declaración formal.
dedicated	dedicado	La enfermera dedicada trabajó toda la noche.
dedication	la dedicación	Su dedicación inspiró a los jugadores más jóvenes.
deed	el acto	El acto valiente salvó dos vidas.
deem	considerar	El tribunal puede considerar el contrato inválido.
default	la opción predeterminada	Usa la configuración predeterminada por ahora.
defect	el defecto	Los inspectores encontraron un defecto grave.
defensive	defensivo	Su tono defensivo sorprendió a todos.
deficiency	la deficiencia	La deficiencia de hierro puede afectar la salud.
deficit	el déficit	El déficit presupuestario preocupó a los funcionarios.
defy	desafiar	Los manifestantes decidieron desafiar la prohibición.
delegate	el delegado	Cada delegado recibió una tarjeta de votación.
delegation	la delegación	La delegación llegó antes del mediodía.
delicate	delicado	El cristal delicado se rompió fácilmente.
demon	el demonio	La historia describe a un demonio antiguo.
denial	la negación	Su negación enojó a las víctimas.
denounce	denunciar	Los líderes denuncian la violencia en las escuelas.
dense	denso	El denso bosque bloqueaba la luz del sol.
density	la densidad	La densidad de población es alta en el centro.
dependence	la dependencia	La dependencia del país del petróleo disminuyó.
depict	representar	El mural representa la vida del pueblo.
deploy	desplegar	El ejército desplegará personal adicional.
deployment	el despliegue	El despliegue de tropas comenzó el lunes.
deprive	privar	La falta de sueño puede privar a los estudiantes de concentración.
deputy	el delegado	El delegado firmó el acuerdo.
descend	descender	El camino empezó a descender bruscamente.
descent	el descenso	El avión inició su descenso.
designate	designar	La ciudad designará un nuevo parque.
desirable	deseable	Una buena iluminación es deseable en las aulas.
desktop	el escritorio	El archivo está en mi escritorio.
destructive	destructivo	La tormenta tuvo una fuerza destructiva.
detain	detener	La policía puede detener a los sospechosos durante la noche.
detection	la detección	La detección temprana mejora el tratamiento del cáncer.
detention	la detención	Los estudiantes protestaron por las condiciones de detención.
deteriorate	deteriorarse	Su salud empezó a deteriorarse.
devastate	devastar	El terremoto puede devastar los pueblos costeros.
devil	el diablo	El niño dibujó un diablo sonriente.
devise	diseñar	Los ingenieros diseñan sistemas de transporte más seguros.
diagnose	diagnosticar	Los médicos diagnostican la enfermedad con análisis de sangre.
diagnosis	el diagnóstico	El diagnóstico explicó sus síntomas.
dictate	dictar	El contrato dictará las condiciones de pago.
dictator	el dictador	El dictador controlaba los medios de comunicación.
differentiate	diferenciar	¿Puedes diferenciar los hechos de las opiniones?
dignity	la dignidad	Todos merecen dignidad en el trabajo.
dilemma	el dilema	El gerente enfrentó un serio dilema.
dimension	la dimensión	El problema tiene una dimensión política.
diminish	disminuir	El dolor debería disminuir lentamente.
dip	bajar	Las temperaturas pueden bajar de cero.
diplomat	el diplomático	El diplomático se reunió con líderes extranjeros.
diplomatic	diplomático	Las conversaciones diplomáticas continuaron durante la noche.
directory	el directorio	Busca su número en el directorio.
disastrous	desastroso	La desastrosa inundación destruyó varios puentes.
discard	desechar	No deseche los registros útiles.
discharge	dar de alta	El hospital le dará de alta mañana.
disclose	revelar	Los funcionarios se negaron a revelar las cifras.
disclosure	la revelación	La revelación sorprendió a la junta.
discourse	el discurso	El discurso público se volvió más educado.
discretion	la discreción	Usa tu discreción en casos delicados.
discrimination	la discriminación	La ley prohíbe la discriminación en la contratación.
dismissal	el despido	Su despido causó enojo público.
displace	desplazar	La guerra puede desplazar a miles de personas.
disposal	la eliminación	La eliminación de residuos sigue siendo un problema local.
dispose	desechar	La empresa debe desechar los productos químicos de forma segura.
dispute	la disputa	La disputa duró meses.
disrupt	interrumpir	El ruido puede interrumpir la concentración.
disruption	la interrupción	La huelga causó una gran interrupción.
dissolve	disolver	El azúcar se disolverá en el té caliente.
distinction	la distinción	La distinción entre ellos es importante.
distinctive	característico	Ella tiene una voz característica.
distort	distorsionar	El espejo puede distorsionar tu reflejo.
distress	la angustia	La llamada causó una grave angustia.
disturbing	perturbador	El documental mostró escenas perturbadoras.
divert	desviar	La policía tuvo que desviar el tráfico.
divine	divino	La capilla tiene un ambiente divino.
doctrine	la doctrina	El partido rechazó la vieja doctrina.
documentation	la documentación	Complete la documentación antes del lanzamiento.
domain	el dominio	El sitio web usa un dominio seguro.
dominance	el dominio	El dominio del equipo duró una década.
donor	el donante	El donante donó sangre hoy.
dose	la dosis	Toma una dosis después del desayuno.
drain	drenar	El agua drenará hacia el río.
drift	flotar	El humo comenzó a flotar por la carretera.
driving	determinante	La lluvia fue el factor determinante de los retrasos.
drown	ahogar	Nunca nades donde las corrientes te puedan ahogar.
dual	doble	El dispositivo tiene una función doble.
dub	apodar	Los críticos apodan a la ciudad como capital cultural.
dumb	tonto	Ese fue un error tonto.
duo	el dúo	El dúo de comedia hizo una gira por Europa.
eager	ansioso	Los estudiantes estaban ansiosos por comenzar.
earnings	las ganancias	Las ganancias de la empresa aumentaron considerablemente.
ease	la facilidad	La nueva carretera aliviará el tráfico.
echo	hacer eco	Su voz hizo eco en el pasillo.
ecological	ecológico	El impacto ecológico sigue siendo incierto.
educator	el educador	El educador diseñó un nuevo curso.
effectiveness	la eficacia	El estudio midió la eficacia de la vacuna.
efficiency	la eficiencia	Un mejor software mejoró la eficiencia.
ego	el ego	Su ego causó problemas en el trabajo.
elaborate	elaborado	El elaborado disfraz tomó semanas.
electoral	electoral	El sistema electoral cambió el año pasado.
elevate	elevar	El premio elevará su perfil.
eligible	elegible	Solo los residentes son elegibles para descuentos.
elite	la élite	La élite se entrenó en una academia privada.
embark	embarcarse	Ellos se embarcarán en un largo viaje.
embarrassment	la vergüenza	Él se rio para ocultar su vergüenza.
embassy	la embajada	La embajada emitió nuevos avisos de viaje.
embed	integrar	El periodista se integrará con la unidad.
embody	encarnar	La estatua parece encarnar el coraje.
emergence	el surgimiento	El surgimiento de los teléfonos cambió la vida diaria.
empirical	empírico	El artículo se basa en evidencia empírica.
empower	empoderar	La educación puede empoderar a las comunidades locales.
enact	promulgar	El parlamento votó para promulgar la reforma.
encompass	abarcar	El curso abarcará la historia moderna.
encouragement	el estímulo	Su aliento lo ayudó a continuar.
encouraging	alentador	Los primeros resultados parecen alentadores.
endeavour	el esfuerzo	El rescate fue un esfuerzo difícil.
endless	interminable	El desierto parecía interminable.
endorse	respaldar	El sindicato se negó a respaldar al candidato.
endorsement	el respaldo	Su respaldo impulsó la campaña de ella.
endure	soportar	Las plantas pueden soportar inviernos duros.
enforce	hacer cumplir	La policía hace cumplir el límite de velocidad.
enforcement	la aplicación	Una aplicación más estricta redujo los vertederos ilegales.
engagement	la participación	La participación estudiantil mejoró este semestre.
engaging	cautivador	El orador dio una charla cautivadora.
enquire	preguntar	Por favor, consulte en la recepción.
enrich	enriquecer	Viajar puede enriquecer tu comprensión.
enrol	inscribirse	Los estudiantes deben inscribirse antes de septiembre.
ensue	sobrevenir	El caos podría sobrevenir después del anuncio.
enterprise	la empresa	La empresa emplea artistas locales.
enthusiast	el entusiasta	Todo aficionado al ciclismo conoce esta ruta.
entitle	dar derecho a	El boleto te dará derecho a la entrada.
entity	la entidad	La empresa es una entidad legal separada.
epidemic	la epidemia	La epidemia se propagó por varias regiones.
equality	la igualdad	El movimiento luchó por la igualdad.
equation	la ecuación	La ecuación contiene dos incógnitas.
erect	erigir	Los trabajadores erigirán una nueva cerca.
escalate	intensificarse	El conflicto podría intensificarse rápidamente.
essence	la esencia	El poema captura la esencia de la infancia.
establishment	el sistema	El sistema se opuso a la reforma.
eternal	eterno	Prometieron amistad eterna.
evacuate	evacuar	Los bomberos ayudaron a los residentes a evacuar de forma segura.
evoke	evocar	La canción puede evocar recuerdos fuertes.
evolutionary	evolutivo	El fósil muestra un cambio evolutivo.
exaggerate	exagerar	No exageres tu experiencia.
excellence	la excelencia	La escuela premia la excelencia académica.
exceptional	excepcional	Ella mostró una habilidad excepcional.
excess	el exceso	El exceso de agua inundó el sótano.
exclusion	la exclusión	La exclusión social daña a los jóvenes.
exclusive	exclusivo	El club ofrece acceso exclusivo.
exclusively	exclusivamente	Esta sala es utilizada exclusivamente por el personal.
execute	ejecutar	El equipo ejecutará el plan cuidadosamente.
execution	la ejecución	La ejecución de la estrategia tomó meses.
exert	ejercer	Debes ejercer más presión.
exile	el exilio	El escritor vivió en el exilio.
expenditure	el gasto	El gasto público aumentó el año pasado.
experimental	experimental	El tratamiento aún es experimental.
expire	expirar	Mi pasaporte expirará pronto.
explicit	explícito	Las instrucciones fueron explícitas.
explicitly	explícitamente	Las reglas prohíben explícitamente fumar.
exploitation	la explotación	El informe expuso la explotación de los trabajadores.
explosive	explosivo	El artefacto explosivo fue retirado de forma segura.
extremist	el extremista	El grupo extremista perdió apoyo.
facilitate	facilitar	La aplicación facilitará el aprendizaje a distancia.
faction	la facción	Una facción se opuso al líder.
faculty	el profesorado	El profesorado aprobó la propuesta.
fade	desvanecerse	La pintura se desvanecerá con la luz del sol.
fairness	la justicia	La justicia importa en cada competencia.
fatal	fatal	El accidente causó heridas fatales.
fate	el destino	Nadie sabía su destino.
favourable	favorable	La reseña fue favorable.
feat	la hazaña	Escalar ese pico fue una hazaña.
feminist	feminista	El movimiento feminista cambió el debate público.
fibre	la fibra	Este pan contiene fibra extra.
fierce	feroz	La feroz tormenta dañó los techos.
film-maker	el cineasta	El cineasta respondió preguntas después.
filter	el filtro	El filtro elimina el polvo del aire.
fine	la multa	La empresa pagó una multa.
firearm	el arma de fuego	El oficial recuperó un arma de fuego robada.
fit	el calce	Los zapatos nuevos tienen un calce perfecto.
fixture	la instalación	La lámpara es una instalación permanente.
flaw	la falla	El diseño tiene una falla grave.
flawed	fallido	El estudio fallido dio resultados falsos.
flee	huir	Las familias tuvieron que huir de los combates.
fleet	la flota	La aerolínea renovó su flota.
flesh	la carne	La espina le perforó la carne.
flexibility	la flexibilidad	El trabajo remoto ofrece más flexibilidad.
flourish	prosperar	Las pequeñas empresas pueden prosperar aquí.
fluid	el líquido	Bebe mucho líquido después de hacer ejercicio.
footage	la grabación	La grabación mostró el choque.
foreigner	el extranjero	El formulario pregunta si eres extranjero.
forge	forjar	Intentaron forjar una nueva alianza.
formula	la fórmula	La fórmula resolvió el problema.
formulate	formular	Los científicos formulan una nueva teoría.
forth	adelante	El río llevó el barco adelante.
forthcoming	próximo	El próximo informe explicará todo.
foster	fomentar	El programa ayuda a fomentar la independencia.
fragile	frágil	El jarrón frágil necesita un manejo cuidadoso.
franchise	la franquicia	El restaurante se convirtió en una franquicia global.
frankly	francamente	Francamente, necesitamos más tiempo.
frustrated	frustrado	Los trabajadores se sintieron frustrados por el retraso.
frustrating	frustrante	La conexión lenta fue frustrante.
frustration	la frustración	La frustración creció durante la reunión.
functional	funcional	La cocina vieja todavía es funcional.
fundraising	la recaudación de fondos	La recaudación de fondos comienza la próxima semana.
funeral	el funeral	El funeral tuvo lugar el viernes.
gallon	el galón	El tanque tiene capacidad para un galón.
gambling	los juegos de azar	Los juegos de azar están restringidos por la ley.
gathering	la reunión	La reunión terminó pacíficamente.
gaze	la mirada	Ella sostuvo su mirada brevemente.
gear	el equipo	Empaca el equipo de seguridad antes de escalar.
generic	genérico	La versión genérica cuesta menos.
genocide	el genocidio	El genocidio dejó un profundo trauma nacional.
glance	el vistazo	Él echó un vistazo rápido.
glimpse	el vistazo	Alcancé a dar un vistazo al mar.
glorious	glorioso	El equipo disfrutó de una victoria gloriosa.
glory	la gloria	Ella soñaba con la gloria olímpica.
governance	la gobernanza	La buena gobernanza requiere transparencia.
grace	la gracia	Ella aceptó la derrota con gracia.
grasp	comprender	Él no logró comprender el concepto.
grave (for dead person)	la tumba	La tumba estaba cubierta de flores.
grave (serious)	grave	La situación sigue siendo grave.
gravity	la gravedad	La gravedad atrae los objetos hacia la Tierra.
grid	la cuadrícula	El mapa usa una cuadrícula simple.
grief	el dolor	El duelo cambió a toda su familia.
grin	sorreír	El niño dio una gran sonrisa.
grind	moler	Los trabajadores muelen los granos cada mañana.
grip	el agarre	Mantén un agarre firme en la cuerda.
gross	bruto	El ingreso bruto aumentó bruscamente.
guerrilla	la guerrilla	Los combatientes de la guerrilla se escondieron en las colinas.
guidance	la orientación	La guía proporciona orientación práctica.
guilt	la culpa	Ella sintió culpa después de mentir.
gut	el instinto	Confía en tu instinto en decisiones difíciles.
hail	aclamar	Los aldeanos aclaman al médico como un héroe.
halfway	a medio camino	Nos detuvimos a medio camino en la colina.
halt	detenerse	El tren se detuvo repentinamente.
handful	el puñado	Un puñado de voluntarios se quedó hasta tarde.
handling	el manejo	El manejo adecuado evita daños.
handy	práctico	Esta herramienta es práctica para reparaciones.
harassment	el acoso	La empresa investigó las quejas de acoso.
hardware	el hardware	La tienda vende hardware de computadora.
harmony	la armonía	El coro cantó en perfecta armonía.
harsh	severo	El juez dio una sentencia severa.
harvest	la cosecha	La cosecha comienza en septiembre.
haunt	atormentar	El recuerdo continuó atormentándolo.
hazard	el peligro	El hielo es un grave peligro en la carretera.
heighten	aumentar	El discurso puede aumentar las tensiones.
heritage	el patrimonio	El castillo es parte del patrimonio local.
hierarchy	la jerarquía	La jerarquía de la oficina está claramente definida.
high-profile	de alto perfil	El juicio de alto perfil atrajo a los reporteros.
hint	la pista	Ella me dio una pista útil.
homeland	la tierra natal	Él regresó a su tierra natal.
hopeful	esperanzado	Los médicos están esperanzados sobre la recuperación.
horizon	el horizonte	El sol desapareció bajo el horizonte.
horn	la bocina	La bocina del auto despertó a todos.
hostage	el rehén	El rehén regresó a casa.
hostile	hostil	La multitud se volvió hostil.
hostility	la hostilidad	La abierta hostilidad puso fin a las conversaciones.
humanitarian	humanitario	La misión humanitaria entregó alimentos.
humanity	la humanidad	La humanidad enfrenta desafíos compartidos.
humble	humilde	Ella se mantuvo humilde después del éxito.
hydrogen	el hidrógeno	El hidrógeno se quema muy fácilmente.
identification	la identificación	Se requiere identificación en la entrada.
ideological	ideológico	La disputa tenía raíces ideológicas.
ideology	la ideología	Su ideología moldeó cada discurso.
idiot	el idiota	No llames idiota a nadie.
ignorance	la ignorancia	La ignorancia puede propagar el miedo.
imagery	la imaginería	El poema usa imágenes vívidas.
immense	inmenso	El proyecto requirió un esfuerzo inmenso.
imminent	inminente	Una tormenta parecía inminente.
implementation	la implementación	La implementación de la ley fue lenta.
imprison	encarcelar	El régimen intentó encarcelar a los críticos.
imprisonment	el encarcelamiento	Su encarcelamiento duró cinco años.
inability	la incapacidad	Su incapacidad para concentrarse preocupó a los maestros.
inadequate	inadecuado	El refugio tenía calefacción inadecuada.
inappropriate	inapropiado	Su broma fue inapropiada.
incidence	la incidencia	La incidencia de la gripe aumentó.
inclined	inclinado	Ella está inclinada a estar de acuerdo.
inclusion	la inclusión	La escuela promueve la inclusión.
