source_headword	TA	example_TA
incur	ஏற்படுத்து	தாமதங்கள் கூடுதல் செலவுகளை ஏற்படுத்தலாம்.
indicator	குறிகாட்டி	வேலையின்மை ஒரு பொருளாதாரக் குறிகாட்டியாகும்.
indictment	குற்றப்பத்திரிகை	குற்றப்பத்திரிகையில் மூன்று குற்றச்சாட்டுகள் இருந்தன.
indigenous	உள்நாட்டு	உள்நாட்டு தாவரங்கள் இங்கு நன்றாக வளரும்.
induce	தூண்டு	இந்த மருந்து தூக்கத்தைத் தூண்டும்.
indulge	ஈடுபடு	அவள் விலையுயர்ந்த பழக்கங்களில் ஈடுபடுவதில்லை.
inequality	சமத்துவமின்மை	வருமானச் சமத்துவமின்மை ஒரு பெரிய பிரச்சினையாக உள்ளது.
infamous	மோசமான பெயர் பெற்ற	சிறைச்சாலை உலகம் முழுவதும் மோசமான பெயர் பெற்றது.
infant	சிசு	சிசு கட்டிலில் தூங்கியது.
infect	தொற்றிக்கொள்	வைரஸ் ஆரோக்கியமான செல்களைத் தொற்றிக்கொள்ளும்.
inflict	ஏற்படுத்து	விலங்குகளுக்கு வலியை ஏற்படுத்தாதீர்கள்.
influential	செல்வாக்குள்ள	அவர் ஒரு செல்வாக்குள்ள சட்ட அறிஞர்.
inherent	இயல்பான	வடிவமைப்பில் இயல்பான அபாயங்கள் உள்ளன.
inhibit	தடு	பயம் நேர்மையான விவாதத்தைத் தடுக்கலாம்.
initiate	தொடங்கு	மேலாளர் மதிப்பாய்வைத் தொடங்குவார்.
inject	ஊசி போடு	செவிலியர் தடுப்பூசி போடுவார்.
injection	ஊசி	ஊசி வலியைக் குறைத்தது.
injustice	அநீதி	தீர்ப்பு ஒரு தெளிவான அநீதியை வெளிப்படுத்தியது.
inmate	கைதி	கைதி சட்ட ஆலோசனை கோரினார்.
insertion	சேர்த்தல்	படிவத்தில் ஒரு உரையைச் சேர்க்க வேண்டும்.
insider	உள்ளாள்	உள்ளாள் ஒருவர் அறிக்கையை கசியவிட்டார்.
inspect	ஆய்வு செய்	அதிகாரிகள் ஆண்டுதோறும் பாலத்தை ஆய்வு செய்கின்றனர்.
inspection	ஆய்வு	ஆய்வில் கடுமையான சேதம் காணப்பட்டது.
inspiration	உத்வேகம்	அவளது உரை எனக்கு உத்வேகம் அளித்தது.
instinct	உள்ளுணர்வு	அவரது முதல் உள்ளுணர்வு உதவுவதாகும்.
institutional	நிறுவன	நிறுவன விதிகள் முடிவை வடிவமைத்தன.
instruct	அறிவுறுத்து	கையேடு புதிய ஊழியர்களுக்கு அறிவுறுத்தும்.
instrumental	கருவியாக	பேச்சுவார்த்தைகளில் அவரது ஆலோசனை கருவியாக இருந்தது.
insufficient	போதாத	குற்றச்சாட்டுகளுக்கு ஆதாரம் போதாது.
insult	அவமானம்	அவரது அவமானம் உரையாடலை முடித்தது.
intact	சேதமடையாத	பழமையான சுவர் சேதமடையாமல் இருந்தது.
intake	உட்கொள்ளல்	சர்க்கரை உட்கொள்ளல் மிதமாக இருக்க வேண்டும்.
integral	ஒருங்கிணைந்த	அணிக்கு நம்பிக்கை ஒருங்கிணைந்தது.
integrated	ஒருங்கிணைக்கப்பட்ட	பள்ளி ஒருங்கிணைக்கப்பட்ட ஆதரவை வழங்குகிறது.
integration	ஒருங்கிணைப்பு	ஒருங்கிணைப்பு முழு அமைப்பையும் மேம்படுத்தியது.
integrity	நேர்மை	நீதிபதி மிகுந்த நேர்மையைக் காட்டினார்.
intensify	தீவிரமடை	புயல் ஒரே இரவில் தீவிரமடையலாம்.
intensity	தீவிரம்	பயிற்சியின் தீவிரம் அதிகரித்தது.
intensive	தீவிர	அவர்கள் தீவிர மொழிப் பயிற்சியை முடித்தனர்.
intent	நோக்கம்	அவரது நோக்கத்தை நிரூபிக்க கடினமாக இருந்தது.
interactive	ஊடாடும்	அருங்காட்சியகத்தில் ஊடாடும் காட்சிகள் உள்ளன.
interface	இடைமுகம்	இடைமுகம் பயன்படுத்த எளிதானது.
interfere	தலையிடு	விசாரணையில் தலையிட வேண்டாம்.
interference	குறுக்கீடு	சிக்னல் குறுக்கீடு அழைப்பைத் தடை செய்தது.
interim	இடைக்கால	இடைக்கால அறிக்கை நாளை வரும்.
interior	உட்புற	உட்புறச் சுவர்களுக்கு வண்ணம் தீட்ட வேண்டும்.
intermediate	இடைநிலை	அவர் இடைநிலை வகுப்பில் சேர்ந்தார்.
intervene	தலையிடு	காவல்துறை விரைவாக தலையிட வேண்டியிருந்தது.
intervention	தலையீடு	ஆரம்பகால தலையீடு நோயாளிக்கு உதவியது.
intimate	நெருக்கமான	அவர்கள் ஒரு நெருக்கமான குடும்ப விழாவை நடத்தினர்.
intriguing	சுவாரஸ்யமான	தரவு ஒரு சுவாரஸ்யமான வடிவத்தை வெளிப்படுத்தியது.
investigator	புலனாய்வாளர்	புலனாய்வாளர் ஒவ்வொரு சாட்சியிடமும் பேட்டி கண்டார்.
invisible	கண்ணுக்குத் தெரியாத	வாயு கண்ணுக்குத் தெரியாதது மற்றும் ஆபத்தானது.
invoke	செயல்படுத்து	வழக்கறிஞர் முன்னுதாரணத்தை செயல்படுத்த முயன்றார்.
involvement	ஈடுபாடு	அவரது ஈடுபாடு தெளிவாக இல்லை.
ironic	முரண்பாடான	முரண்பாடான கருத்து அனைவரையும் சிரிக்க வைத்தது.
ironically	முரண்பாடாக	முரண்பாடாக, பாதை அதிக நேரம் எடுத்தது.
irony	முரண்பாடு	முரண்பாடு அனைவருக்கும் தெளிவாக இருந்தது.
irrelevant	பொருத்தமற்ற	அந்த விவரம் இங்கு பொருத்தமற்றது.
isolation	தனிமைப்படுத்தல்	தனிமைப்படுத்தல் மன ஆரோக்கியத்திற்கு தீங்கு விளைவிக்கும்.
judicial	நீதித்துறை	நீதித்துறை மதிப்பாய்வு திங்கள் கிழமை தொடங்குகிறது.
junction	சந்திப்பு	சந்திப்பில் இடதுபுறம் திரும்பவும்.
jurisdiction	அதிகார வரம்பு	நீதிமன்றத்திற்கு வரையறுக்கப்பட்ட அதிகார வரம்பு உள்ளது.
just	நியாயமான	நீதிபதி ஒரு நியாயமான முடிவை எடுத்தார்.
justification	நியாயப்படுத்தல்	செலவு செய்வதற்கு தெளிவான நியாயப்படுத்தல் தேவை.
kidnap	கடத்து	குற்றவாளிகள் இராஜதந்திரியை கடத்த முயன்றனர்.
kidney	சிறுநீரகம்	அவரது சிறுநீரக செயல்பாடு மேம்பட்டது.
kingdom	ராஜ்யம்	அவரது ஆட்சியின் கீழ் ராஜ்யம் விரிவடைந்தது.
lad	சிறுவன்	இளம் சிறுவன் பைகளை எடுத்துச் சென்றான்.
