source_headword	NO	example_NO
strengthen	styrke	Den nye politikken vil styrke sikkerheten på nettet.
strictly	strengt	Billettene er strengt begrenset til to per person.
striking	slående	Maleriet har slående farger.
stroke	et strøk	Hun malte ett strøk over papiret.
stunning	fantastisk	Fjellutsikten var fantastisk.
subsequent	påfølgende	Det påfølgende møtet bekreftet budsjettet.
subsequently	deretter	Veien ble stengt; deretter beveget trafikken seg sakte.
suburb	en forstad	De bor i en rolig forstad.
suffering	en lidelse	Medisinen reduserte lidelsen hans.
sufficient	tilstrekkelig	Laget har tilstrekkelig tid.
sufficiently	tilstrekkelig	Rommet er tilstrekkelig varmt.
super	super	Det nye nettbrettet er superraskt.
surgeon	en kirurg	Kirurgen reparerte det skadede kneet.
survival	en overlevelse	Rent vann er avgjørende for overlevelse.
survivor	en overlevende	Den overlevende beskrev flommen.
suspend	innstille	Skolen kan innstille turen.
sustainable	bærekraftig	Gården bruker bærekraftige metoder.
swallow	svelge	Svelg tabletten med vann.
sympathetic	forståelsesfull	Lederen var forståelsesfull for problemet hennes.
tackle	ta tak i	Vi må ta tak i boligproblemet.
tag	en merkelapp	Posen hadde en prislapp.
tap	en kran	Hun skrudde av kranen.
technological	teknologisk	Teknologisk endring påvirker hver arbeidsplass.
teens	en tenåring	Mange tenåringer bruker sosiale medier daglig.
temple	et tempel	Tempelet sto nær elven.
temporarily	midlertidig	Kontoret er midlertidig stengt.
tendency	en tendens	Han har en tendens til å ankomme sent.
tension	en spenning	Spenningen steg under diskusjonen.
terms	et vilkår	Kontraktsvilkårene var klare.
terribly	forferdelig	Barnet var forferdelig opprørt.
terrify	vettskremme	Høye lyder vettskremmer hunden.
territory	et territorium	Kartet viser det nye territoriet.
terror	en terror	Terroren spredte seg etter angrepet.
terrorism	en terrorisme	Terrorisme truer den offentlige sikkerheten.
terrorist	en terrorist	Politiet arresterte terroristen i går.
testing	en testing	Produkttesting starter på mandag.
textbook	en lærebok	Hun glemte biologilæreboken sin.
theft	et tyveri	Tyveriene økte i området.
therapist	en terapeut	Terapeuten hjalp ham å håndtere angst.
thesis	en avhandling	Avhandlingen hennes undersøker nettbasert læring.
thorough	grundig	En grundig gjennomgang fant ingen feil.
thoroughly	grundig	Rens såret grundig.
thumb	en tommel	Han løftet tommelen for å signalisere godkjenning.
timing	en timing	Timingen for samtalen var perfekt.
tissue	et tørkepapir	Hun tørket av glasset med tørkepapir.
ton	et tonn	Lastebilen fraktet ett tonn sand.
tonne	et tonn	Forsendelsen veide ett tonn.
tournament	en turnering	Tennisturneringen starter i morgen.
trace	spore	Forskere kan spore viruskilden.
trading	en handel	Aksjehandelen stoppet ved middagstid.
tragedy	en tragedie	Ulykken var en forferdelig tragedie.
tragic	tragisk	Krasjet hadde tragiske konsekvenser.
trait	et trekk	Tålmodighet er et nyttig trekk.
transmit	overføre	Mygg kan overføre sykdom.
transportation	en transport	Offentlig transport er overfylt i dag.
trap	fange	Boksen kan fange insekter trygt.
treasure	en skatt	Den gamle kisten inneholdt en skatt.
tribe	en stamme	Stammen beskyttet sine tradisjoner.
trigger	utløse	Røyk kan utløse alarmen.
trillion	en billion	Gjelden nådde én billion dollar.
troop	en tropp	Troppen beveget seg mot grensen.
tsunami	en tsunami	Tsunamien ødela kystnære hjem.
ultimate	endelig	Det endelige målet er fred.
unacceptable	uakseptabel	Forsinkelsen var uakseptabel for passasjerene.
uncertainty	en usikkerhet	Usikkerhet gjorde investorene nervøse.
undergo	gjennomgå	Pasienten vil gjennomgå kirurgi i morgen.
undertake	gjennomføre	Teamet vil gjennomføre en undersøkelse.
unfold	utfolde seg	Dramaet begynte å utfolde seg sakte.
unfortunate	uheldig	Feilen var uheldig, men kunne fikses.
unite	forene	Lederne prøvde å forene partiet.
unity	en enhet	Talen oppfordret til nasjonal enhet.
universal	universell	Appen bruker en universell design.
urgent	presserende	Sykehuset mottok et presserende anrop.
usage	en bruk	Guiden forklarer riktig bruk.
useless	ubrukelig	Den ødelagte laderen er ubrukelig.
valid	gyldig	Passet ditt er fortsatt gyldig.
variation	en variasjon	Det er stor variasjon i prisene.
vertical	vertikal	Diagrammet har en vertikal akse.
viewpoint	et synspunkt	Hennes synspunkt endret seg etter debatten.
visa	et visum	Han søkte om studentvisum.
visible	synlig	Skiltet er synlig herfra.
voluntary	frivillig	Kurset inkluderer frivillige workshops.
voting	en avstemning	Forhåndsstemming begynner neste uke.
wander	vandre	Turister vandrer gjennom det gamle markedet.
warming	en oppvarming	Global oppvarming påvirker havnivået.
weekly	ukentlig	Teamet holder et ukentlig møte.
weird	rar	Lyden hørtes rar ut.
welfare	en velferd	Programmet støtter barnevelferd.
wheat	en hvete	Bonden dyrker hvete.
whoever	den som	Den som ankommer først bør vente utenfor.
widespread	omfattende	Stormen forårsaket omfattende skader.
wisdom	en visdom	Hennes bestemor delte praktisk visdom.
withdraw	trekke tilbake	Han bestemte seg for å trekke søknaden sin.
workforce	en arbeidsstyrke	Arbeidsstyrken trenger nye ferdigheter.
workplace	en arbeidsplass	Arbeidsplassen har klare sikkerhetsregler.
workshop	en workshop	Workshopen starter klokken ti.
worm	en mark	En mark beveget seg over jorden.
wrist	et håndledd	Hun skadet håndleddet sitt.
