source_headword	SL	example_SL
abolish	odpraviti	Zakon bo odpravil staro pristojbino.
abortion	splav	Splav ostaja občutljivo zdravstveno vprašanje.
absence	odsotnost	Njena odsotnost je zamaknila končno odločitev.
absent	odsoten	Dva člana sta bila odsotna od pouka.
absurd	absurden	Trditev je vsem zvenela absurdno.
abundance	obilje	Dolina ima obilje vode.
abuse	zloraba	Poročilo je opisalo zlorabe na delovnem mestu.
academy	akademija	Akademija usposablja mlade glasbenike.
accelerate	pospešiti	Nova sredstva bodo pospešila raziskave.
acceptance	sprejemanje	Njegovo sprejemanje kritike me je navdušilo.
accessible	dostopen	Muzej je dostopen uporabnikom invalidskih vozičkov.
accomplishment	dosežek	Dokončanje knjige je bilo resničen dosežek.
accordance	skladnost	Delo je bilo opravljeno v skladu s politiko.
accordingly	v skladu s tem	Dokazi so se spremenili in ukrepali smo v skladu s tem.
accountability	odgovornost	Politika povečuje odgovornost menedžerjev.
accountable	odgovoren	Menedžerji so odgovorni za varnost.
accumulate	kopičiti se	Za zaslonom se lahko kopiči prah.
accumulation	kopičenje	Kopičenje podatkov je trajalo mesece.
accusation	obtožba	Obtožba je šokirala odbor.
accused	obtoženec	Obtoženec se je pojavil na sodišču.
acquisition	prevzem	Prevzem je hitro razširil podjetje.
acre	aker	Kmetija obsega en aker.
activation	aktivacija	Aktivacija kartice traja nekaj minut.
activist	aktivist	Aktivist je govoril na zborovanju.
acute	akuten	Po teku je čutila akutno bolečino.
adaptation	priredba	Priredba je spremenila konec romana.
adhere	držati se	Osebje se mora držati varnostnih pravil.
adjacent	sosednji	Hotel je v neposredni bližini postaje.
adjustment	prilagoditev	Majhna prilagoditev je odpravila težavo.
administer	dati	Medicinske sestre previdno aplicirajo cepivo.
administrative	administrativen	Administrativno osebje obravnava obrazce.
administrator	administrator	Administrator je ponastavil moje geslo.
admission	vstopnina	Vstopnina v muzej je brezplačna.
adolescent	mladostnik	Mladostnik je potreboval dodatno podporo.
adoption	posvojitev	Posvojitev je otroku dala stabilen dom.
adverse	neugoden	Zdravilo je povzročilo neugodne učinke.
advocate	zagovornik	Zagovornik je branil pravice najemnikov.
aesthetic	estetski	Soba ima miren estetski slog.
affection	naklonjenost	Pokazala je naklonjenost do svoje družine.
aftermath	posledice	Posledice nevihte so bile hude.
aggression	agresija	Učitelj je med odmorom opazil agresijo.
agricultural	kmetijski	Kmetijski izvoz se je letos povečal.
aide	pomočnik	Pomočnik je organiziral ministrov urnik.
albeit	čeprav	Načrt je deloval, čeprav počasi.
alert	opozoriti	Prosim, da takoj opozorite osebje.
align	poravnati	Puščice so poravnane s cesto.
alignment	poravnava	Poravnava koles je izboljšala vodljivost avtomobila.
alike	podobno	Dvojčka se ob koncu tedna oblačita podobno.
allegation	obtožba	Obtožba se je pojavila v časopisu.
allege	trditi	Trdijo, da so bila sredstva izgubljena.
allegedly	domnevno	Voznik naj bi domnevno prezrl opozorilo.
alliance	zavezništvo	Stranke so sklenile začasno zavezništvo.
allocate	dodeliti	Mesto bo dodelilo denar za šole.
allocation	razporeditev	Razporeditev sedežev je bila nepoštena.
allowance	žepnina	Njena žepnina pokriva kosilo in prevoz.
ally	zaveznik	Kanada je postala tesna zaveznica.
aluminium	aluminij	Okvir je narejen iz aluminija.
amateur	amaterski	Sliko je posnel amaterski fotograf.
ambassador	veleposlanik	Veleposlanik se je srečal z lokalnimi študenti.
amend	spremeniti	Parlament je glasoval za spremembo zakona.
amendment	amandma	Amandma je spremenil en odstavek.
amid	sredi	Govor je potekal sredi naraščajoče napetosti.
analogy	analogija	Učitelj je uporabil preprosto analogijo.
anchor	sidro	Čoln je vrgel sidro blizu otoka.
angel	angel	Otrok je nosil kostum angela.
anonymous	anonimen	Pritožba je bila anonimna.
apparatus	aparat	Laboratorijski aparat je treba očistiti.
appealing	privlačen	Ponudba se študentom zdi privlačna.
appetite	apetit	Vadba mu je povečala apetit.
applaud	ploskati	Občinstvo je začelo glasno ploskati.
applicable	veljaven	Popust velja danes.
appoint	imenovati	Odbor bo imenoval direktorja.
appreciation	hvaležnost	Izrazila je hvaležnost za njihovo pomoč.
arbitrary	samovoljen	Rok se je osebju zdel samovoljen.
architectural	arhitekturni	Mesto ščiti svojo arhitekturno dediščino.
archive	arhiv	Arhiv hrani stare fotografije.
arena	arena	Razprava se je preselila v javno areno.
arguably	verjetno	To je verjetno njegov najboljši roman.
arm	oborožiti	Stražarji bodo oborožili konvoj.
array	niz	Trgovina ponuja vrsto orodij.
articulate	jasno izraziti	Ona lahko jasno izrazi kompleksne ideje.
ash	pepel	Pepel je po požaru prekril avto.
aspiration	težnja	Njena težnja je postati kirurg.
aspire	stremeti	Mnogi študenti stremijo k študiju v tujini.
assassination	atentat	Atentat je spremenil politiko države.
assault	napad	Napad se je zgodil blizu postaje.
assemble	sestaviti	Delavci ročno sestavljajo pohištvo.
assembly	zbor	Šolski zbor se začne ob devetih.
assert	uveljaviti	Poskušal je uveljaviti svojo avtoriteto.
assertion	trditev	Njena trditev je presenetila komisijo.
assurance	zagotovilo	Menedžer je dal zagotovilo o podpori.
asylum	azil	Družina je na meji zaprosila za azil.
atrocity	grozodejstvo	Film je opisal vojno grozodejstvo.
attain	doseči	Malo tekačev doseže to hitrost.
attendance	udeležba	Udeležba se je po objavi izboljšala.
attorney	odvetnik	Odvetnik je zaslišal pričo.
attribute	pripisati	Znanstveniki pripisujejo porast onesnaženju.
audit	revizija	Revizija je odkrila več napak.
authentic	avtentičen	Restavracija streže avtentično regionalno hrano.
authorize	odobriti	Samo menedžerji lahko odobrijo vračila.
auto	avto	Avtomobilska industrija se je hitro spremenila.
autonomy	avtonomija	Regija želi večjo avtonomijo.
availability	razpoložljivost	Razpoložljivost sedežev je omejena.
await	čakati	Več sporočil čaka na tvoj odgovor.
backdrop	ozadje	Gore so ustvarile dramatično ozadje.
backing	podpora	Predlog je dobil podporo volivcev.
backup	varnostna kopija	Sistem dnevno ustvarja varnostno kopijo.
