source_headword	BG	example_BG
strengthen	засилвам	Новата политика ще засили онлайн безопасността.
strictly	строго	Билетите са строго ограничени до два на човек.
striking	поразителен	Картината има поразителни цветове.
stroke	щрих	Тя нарисува един щрих през хартията.
stunning	зашеметяващ	Гледката към планината беше зашеметяваща.
subsequent	последващ	Последващата среща потвърди бюджета.
subsequently	впоследствие	Пътят беше затворен; впоследствие трафикът се движеше бавно.
suburb	предградие	Те живеят в тихо предградие.
suffering	страдание	Лекарството намали страданието му.
sufficient	достатъчен	Отборът има достатъчно време.
sufficiently	достатъчно	Стаята е достатъчно топла.
super	супер	Новият таблет е супер бърз.
surgeon	хирург	Хирургът оперира увреденото коляно.
survival	оцеляване	Чистата вода е от съществено значение за оцеляването.
survivor	оцелял	Оцелелият описа наводнението.
suspend	спирам	Училището може да спре екскурзията.
sustainable	устойчив	Фермата използва устойчиви методи.
swallow	гълтам	Преглътнете таблетката с вода.
sympathetic	съчувстващ	Мениджърът беше съчувстващ към проблема ѝ.
tackle	справям се с	Трябва да се справим с жилищния проблем.
tag	етикет	Чантата имаше етикет с цена.
tap	кран	Тя затвори крана.
technological	технологичен	Технологичната промяна засяга всяко работно място.
teens	тийнейджъри	Много тийнейджъри използват социалните мрежи ежедневно.
temple	храм	Храмът стоеше близо до реката.
temporarily	временно	Офисът е временно затворен.
tendency	тенденция	Той има тенденция да пристига късно.
tension	напрежение	Напрежението нарасна по време на дискусията.
terms	условия	Условията на договора бяха ясни.
terribly	ужасно	Детето беше ужасно разстроено.
terrify	ужасявам	Силните шумове ужасяват кучето.
territory	територия	Картата показва новата територия.
terror	терор	Терорът се разпространи след атаката.
terrorism	тероризъм	Тероризмът застрашава обществената безопасност.
terrorist	терорист	Полицията арестува терориста вчера.
testing	тестване	Тестването на продукта започва в понеделник.
textbook	учебник	Тя си забрави учебника по биология.
theft	кражба	Кражбите се увеличиха в района.
therapist	терапевт	Терапевтът му помогна да се справи с тревожността.
thesis	теза	Нейната теза разглежда онлайн обучението.
thorough	задълбочен	Задълбочената проверка не откри грешки.
thoroughly	напълно	Почистете раната напълно.
thumb	палец	Той вдигна палец, за да сигнализира одобрение.
timing	избор на момент	Изборът на момент за обаждането беше перфектен.
tissue	салфетка	Тя избърса чашата със салфетка.
ton	тон	Камионът превозваше един тон пясък.
tonne	тон	Пратката тежеше един тон.
tournament	турнир	Тенис турнирът започва утре.
trace	проследявам	Учените могат да проследят източника на вируса.
trading	търговия	Търговията с акции спря по обяд.
tragedy	трагедия	Инцидентът беше ужасна трагедия.
tragic	трагичен	Катастрофата имаше трагични последици.
trait	черта	Търпението е полезна черта.
transmit	предавам	Комарите могат да предават болести.
transportation	транспорт	Общественият транспорт е претъпкан днес.
trap	хващам в капан	Кутията може безопасно да хваща насекоми.
treasure	съкровище	Старият сандък съхраняваше съкровище.
tribe	племе	Племето защитаваше традициите си.
trigger	задействам	Димът може да задейства алармата.
trillion	трилион	Дългът достигна един трилион долара.
troop	отряд	Отрядът се придвижи към границата.
tsunami	цунами	Цунамито разруши крайбрежните домове.
ultimate	краен	Крайната цел е мирът.
unacceptable	неприемлив	Закъснението беше неприемливо за пътниците.
uncertainty	несигурност	Несигурността направи инвеститорите нервни.
undergo	подлагам се на	Пациентът ще се подложи на операция утре.
undertake	предприемам	Екипът ще предприеме проучване.
unfold	разгръщам се	Драмата започна да се разгръща бавно.
unfortunate	нещастен	Грешката беше нещастна, но поправима.
unite	обединявам	Лидерите се опитаха да обединят партията.
unity	единство	Речта призова за национално единство.
universal	универсален	Приложението използва универсален дизайн.
urgent	спешен	Болницата получи спешно обаждане.
usage	употреба	Ръководството обяснява правилната употреба.
useless	безполезен	Счупеното зарядно е безполезно.
valid	валиден	Вашият паспорт все още е валиден.
variation	вариация	Има голяма вариация в цените.
vertical	вертикален	Графиката има вертикална ос.
viewpoint	гледна точка	Нейната гледна точка се промени след дебата.
visa	виза	Той кандидатства за студентска виза.
visible	видим	Знакът е видим оттук.
voluntary	доброволен	Курсът включва доброволни семинари.
voting	гласуване	Ранното гласуване започва следващата седмица.
wander	скитам се	Туристите се скитат из стария пазар.
warming	затопляне	Глобалното затопляне засяга морското равнище.
weekly	седмичен	Екипът провежда седмична среща.
weird	странен	Шумът звучеше странно.
welfare	благосъстояние	Програмата подкрепя благосъстоянието на децата.
wheat	пшеница	Фермерът отглежда пшеница.
whoever	който и да е	Който и да пристигне първи, трябва да изчака отвън.
widespread	широко разпространен	Бурята причини широко разпространени щети.
wisdom	мъдрост	Нейната баба сподели практическа мъдрост.
withdraw	оттеглям	Той реши да оттегли кандидатурата си.
workforce	работна сила	Работната сила се нуждае от нови умения.
workplace	работно място	Работното място има ясни правила за безопасност.
workshop	семинар	Семинарът започва в десет.
worm	червей	Един червей се движеше по почвата.
wrist	китка	Тя нарани китката си.
