simplified	MY	example_MY	KM	example_KM	LO	example_LO
爱情	အချစ်; ချစ်ခြင်းမေတ္တာ	ဤသည် စိတ်ထိခိုက်ဖွယ်ကောင်းသော အချစ်ဇာတ်လမ်းတစ်ပုဒ် ဖြစ်သည်။	សេចក្តីស្រឡាញ់; ស្នេហា	នេះជារឿងស្នេហាដែលប៉ះពាល់ចិត្ត។	ຄວາມຮັກ; ຄວາມຮັກແບບຄູ່ຮັກ	ນີ້ແມ່ນເລື່ອງຄວາມຮັກທີ່ຊວນໃຫ້ຊາບຊຶ້ງ.
安排	စီစဉ်သည်; အစီအစဉ်	ဒီစနေ၊ တနင်္ဂနွေမှာ မင်း ဘာအစီအစဉ်ရှိလဲ။	រៀបចំ; គម្រោង	ចុងសប្តាហ៍នេះ អ្នកមានគម្រោងអ្វីខ្លះ?	ຈັດການ; ແຜນການ	ທ້າຍອາທິດນີ້ ເຈົ້າມີແຜນຫຍັງ?
安全	လုံခြုံသော; လုံခြုံရေး	ကျေးဇူးပြု၍ လုံခြုံရေးကို သတိပြုပါ။	សុវត្ថិភាព; មានសុវត្ថិភាព	សូមប្រុងប្រយ័ត្នពីសុវត្ថិភាព។	ປອດໄພ; ຄວາມປອດໄພ	ກະລຸນາລະວັງຄວາມປອດໄພ.
按时	အချိန်မီ; သတ်မှတ်ချိန်အတိုင်း	ကျွန်တော် တာဝန်ကို အချိန်မီ ပြီးစီးခဲ့သည်။	ទាន់ពេល; តាមកាលកំណត់	ខ្ញុំបានបញ្ចប់ភារកិច្ចទាន់ពេល។	ທັນເວລາ; ຕາມກຳນົດ	ຂ້ອຍເຮັດວຽກນັ້ນສຳເລັດທັນເວລາ.
按照	အတိုင်း; နှင့်အညီ	ဒီအစီအစဉ်က ကောင်းတယ်၊ အဲဒီအတိုင်း လုပ်ပါ။	តាម; យោងតាម	គម្រោងនេះល្អណាស់ អ្នកធ្វើតាមវាទៅ។	ຕາມ; ອີງຕາມ	ແຜນນີ້ດີຫຼາຍ ເຈົ້າກໍ່ເຮັດຕາມມັນໄປ.
百分之	ရာခိုင်နှုန်း	တာဝန်၏ ရှစ်ဆယ်ရာခိုင်နှုန်း ပြီးစီးပြီ။	ភាគរយ	ភារកិច្ចបានបញ្ចប់ប្រាំបីសិបភាគរយហើយ។	ເປີເຊັນ; ຮ້ອຍລະ	ວຽກນັ້ນສຳເລັດແລ້ວແປດສິບເປີເຊັນ.
棒	အလွန်ကောင်းသော; တော်သော	မင်းရဲ့ လက်ရေးက တကယ်ကောင်းတယ်။	អស្ចារ្យ; ល្អណាស់	អក្សរដៃរបស់អ្នកសរសេរបានល្អណាស់!	ດີເລີດ; ເກັ່ງ	ລາຍມືຂອງເຈົ້າຂຽນໄດ້ດີແທ້ໆ!
包子	ပေါက်စီ	ဒီစားသောက်ဆိုင်ရဲ့ ပေါက်စီ အရသာ အလွန်ကောင်းသည်။	នំប៉ាវ	នំប៉ាវនៅភោជនីយដ្ឋាននេះមានរសជាតិល្អណាស់។	ຊາລາເປົາ	ຊາລາເປົາຂອງຮ້ານອາຫານນີ້ລົດຊາດດີຫຼາຍ.
保护	ကာကွယ်သည်; စောင့်ရှောက်သည်	လူတွေဟာ ပတ်ဝန်းကျင်ကို ကာကွယ်သင့်သည်။	ការពារ; ថែរក្សា	មនុស្សគួរតែការពារបរិស្ថាន។	ປົກປ້ອງ; ຮັກສາ	ຜູ້ຄົນຄວນປົກປ້ອງສິ່ງແວດລ້ອມ.
保证	အာမခံသည်; ကတိပေးသည်	ကျွန်တော် အာမခံပါတယ်၊ နောက်မှ နောက်ကျတော့မည် မဟုတ်ပါ။	ធានា; សន្យា	ខ្ញុំសន្យាថា ពេលក្រោយខ្ញុំនឹងមិនមកយឺតទៀតទេ។	ຮັບປະກັນ; ສັນຍາ	ຂ້ອຍຮັບປະກັນວ່າ ຕໍ່ໄປຈະບໍ່ມາຊ້າອີກ.
报名	စာရင်းပေးသည်; လျှောက်ထားသည်	စာရင်းပေးရန် ဘာစာရွက်စာတမ်းတွေ လိုသလဲ။	ចុះឈ្មោះ; ដាក់ពាក្យ	ត្រូវការឯកសារអ្វីខ្លះសម្រាប់ចុះឈ្មោះ?	ລົງທະບຽນ; ສະໝັກ	ການລົງທະບຽນຕ້ອງການເອກະສານຫຍັງແດ່?
抱	ချီသည်; ပွေ့သည်	သူက ကလေးကို ချီလိုက်သည်။	ឱប; លើកកាន់	គាត់បានលើកក្មេងឡើង។	ອຸ້ມ; ກອດ	ລາວອຸ້ມເດັກຂຶ້ນມາ.
抱歉	တောင်းပန်ပါတယ်; စိတ်မကောင်းပါ	သင့်ကို ဒီလောက်ကြာ စောင့်ခိုင်းမိတာ အလွန်တောင်းပန်ပါတယ်။	សុំទោស; មានអារម្មណ៍ខុស	សូមអភ័យទោសណាស់ដែលឱ្យអ្នករង់ចាំយូរបែបនេះ។	ຂໍໂທດ; ຮູ້ສຶກຜິດ	ຂໍໂທດຫຼາຍທີ່ໃຫ້ທ່ານລໍຖ້າດົນປານນີ້.
