simplified	SR	example_SR
哎	еј; ах	Еј, откуд ти овде?
唉	ах; уздах	Ах, опет сам закаснио.
爱护	бринути о; чувати	Треба да чувамо животну средину.
爱惜	ценити; штедљиво користити	Молим те, цени своје време.
爱心	саосећање; доброта	Она има много доброте.
安慰	утешити	Пријатељ ме је утешио.
安装	инсталирати; поставити	Радник поставља клима-уређај.
岸	обала	Брод се полако приближава обали.
暗	таман	У соби је веома тамно.
熬夜	остати будан до касно	Остајање будним до касно није добро за здравље.
把握	сигурност; ухватити	Нисам сигуран да могу добро да урадим ову ствар.
摆	поређати; поставити	Молим те, уредно поређај столице.
办理	обавити; средити	Идем у банку да обавим посао.
傍晚	предвече	Предвече идемо у шетњу.
包裹	пакет	Добио сам пакет.
包含	садржати; укључивати	Цена укључује доручак.
包括	укључивати	Трошак укључује ручак.
薄	танак	Ова књига је врло танка.
保持	одржавати; задржати	Молим вас, одржавајте тишину.
保存	сачувати	Молим те, сачувај овај фајл.
保留	резервисати; задржати	Молим вас, резервишите ми једно место.
保险	осигурање	Купио сам путно осигурање.
宝贝	благо; драгоценост	Ово је моје благо.
宝贵	драгоцен	Време је веома драгоцено.
报到	пријавити се	Нови ученици данас долазе у школу да се пријаве.
报道	извештај; известити	Вести су известиле о овој ствари.
报告	извештај; известити	Он тренутно држи извештај.
报社	новинска редакција	Она ради у новинској редакцији.
抱怨	жалити се	Он се стално жали да има превише посла.
悲观	песимистичан	Немој бити превише песимистичан.
背	леђа; окренути леђа	Он седи леђима окренут вратима.
背景	позадина	Молим те, укратко представи своју позадину.
被子	јорган	Јорган је веома топао.
本科	основне студије	Он је студент основних студија.
本领	вештина; способност	Научио је нову вештину.
本质	суштина	Суштина проблема је врло једноставна.
彼此	једно друго	Треба да поштујемо једно друго.
比例	однос; пропорција	Однос мушкараца и жена је приближно исти.
必然	неизбежан	Труд неизбежно доноси резултат.
必要	неопходан	Нема потребе да бринеш.
毕竟	ипак	Ипак је он још дете.
避免	избећи	Молим те, избегавај кашњење.
编辑	уредити; уредник	Он је одговоран за уређивање овог чланка.
鞭炮	петарде	За Пролећни фестивал неки људи пале петарде.
便	затим; онда	После јела је отишао на час.
辩论	расправа; расправљати	Они расправљају о овом питању.
标点	интерпункција	Молим те, обрати пажњу на интерпункцију.
标志	знак; симбол	Црвено светло је знак за заустављање.
表达	изразити	Изразио је своје мишљење.
表面	површина	Површина стола је врло чиста.
表明	показати; јасно изразити	Резултат показује да је био у праву.
表情	израз лица	Њен израз лица је веома озбиљан.
表现	показати се; наступ	Данас се веома добро показао.
冰激凌	сладолед	Деца воле да једу сладолед.
病毒	вирус	Ова врста вируса се веома брзо шири.
播放	пустити; емитовати	Молим те, пусти ову песму.
玻璃	стакло	Стаклена чаша се разбила.
博物馆	музеј	За викенд идемо у музеј.
脖子	врат	Мало ме боли врат.
不断	непрестано	Цене непрестано расту.
不见得	не мора да значи	То не мора да значи да је лоше.
不耐烦	нестрпљив	После дугог чекања постао је мало нестрпљив.
不要紧	није важно; није страшно	Нема везе, није страшно.
补充	додати; допунити	Желим да додам једно мишљење.
不安	немиран; узнемирен	Када је чула ову вест, осетила је немир.
不得了	озбиљан; страшан	Ова ствар је заиста озбиљна.
不然	иначе	Крени брже, иначе ћеш закаснити.
不如	боље него	Боље је пешачити него ићи превозом.
不足	недовољан	Овде нема довољно воде.
布	платно	Овај комад платна је веома мек.
步骤	корак	Молим вас, радите по корацима.
部门	одељење	Радим у продајном одељењу.
财产	имовина	Ова кућа је његова имовина.
彩虹	дуга	После кише се појавила дуга.
踩	стати на	Не гази траву.
采访	интервјуисати	Новинар интервјуише лекара.
采取	усвојити; предузети	Усвојили смо нову методу.
参考	погледати; консултовати	Молим те, погледај ову књигу.
参与	учествовати	Он активно учествује у активностима.
惭愧	стидети се	Стидим се своје грешке.
操场	игралиште	Ученици трче на игралишту.
操心	бринути	Не брини за мене.
册	свеска; класификатор за књиге	Купио сам један том књиге.
测验	тест	Сутра је мали тест.
曾经	некада	Некада сам живео у Пекингу.
叉子	виљушка	Једем салату виљушком.
差距	разлика; јаз	Постоји јаз између града и села.
插	убацити; ставити	Молим те, стави цвеће у вазу.
拆	рушити; расклопити	Радници руше стару кућу.
产品	производ	Квалитет овог производа је веома добар.
产生	настати; произвести	Ово питање је произвело нови утицај.
常识	опште знање	Ово је основно опште знање.
长途	дуга релација	Путовање на дугу релацију је заморно.
抄	преписивати	Молим те, немој преписивати туђи домаћи.
超级	супер; веома	Ово је супермаркет.
朝	династија	Династија Танг је веома позната.
潮湿	влажан	Лето на југу је веома влажно.
吵	бучан	Напољу је веома бучно.
吵架	свађати се	Опет су се посвађали.
炒	пржити	Мама пржи јело.
车库	гаража	Ауто је паркиран у гаражи.
车厢	вагон	Овај вагон је врло тих.
彻底	потпуно	Потпуно је разумео.
沉默	ћутљив; ћутање	Све време је ћутао.
趁	искористити прилику	Хајде да кренемо док још није мрак.
称	измерити; назвати	Молим вас, измерите овај пакет.
称呼	ословити	Не знам како да га ословим.
称赞	похвалити	Учитељ је похвалио његов напредак.
成分	састав; састојак	Састав овог лека је врло једноставан.
成果	резултат; достигнуће	Овај пројекат је постигао резултате.
成就	достигнуће	Има много достигнућа у каријери.
成立	основати	Компанија је основана прошле године.
成人	одрасла особа	Карта за одрасле скупља је од дечје карте.
成熟	зрео	Јабуке су већ зреле.
成语	идиом	Овај идиом се често користи.
成长	расти; одрастати	Дете полако одраста.
承担	преузети	Спреман је да преузме одговорност.
承认	признати	Признао је да је погрешио.
