source_headword	DA	example_DA
abolish	afskaffe	Loven vil afskaffe det gamle gebyr.
abortion	en abort	Abort er stadig et følsomt medicinsk emne.
absence	et fravær	Hendes fravær forsinkede den endelige beslutning.
absent	fraværende	To medlemmer var fraværende fra undervisningen.
absurd	absurd	Påstanden lød absurd for alle.
abundance	en overflod	Dalen har en overflod af vand.
abuse	et misbrug	Rapporten beskrev misbrug på arbejdspladsen.
academy	et akademi	Akademiet uddanner unge musikere.
accelerate	accelerere	Nye midler vil accelerere forskningen.
acceptance	en accept	Hans accept af kritik imponerede mig.
accessible	tilgængelig	Museet er tilgængeligt for kørestolsbrugere.
accomplishment	en præstation	At færdiggøre bogen var en rigtig præstation.
accordance	en overensstemmelse	Arbejdet blev udført i overensstemmelse med politikken.
accordingly	i overensstemmelse hermed	Beviserne ændrede sig, og vi handlede i overensstemmelse hermed.
accountability	en ansvarlighed	Politikken øger ansvarligheden for ledere.
accountable	ansvarlig	Ledere er ansvarlige for sikkerhed.
accumulate	ophobe	Støv kan ophobe sig bag skærmen.
accumulation	en ophobning	Ophobningen af data tog måneder.
accusation	en anklage	Anklagen chokerede udvalget.
accused	en anklaget	Den anklagede mødte op i retten.
acquisition	et opkøb	Opkøbet udvidede virksomheden hurtigt.
acre	en acre	Gården dækker én acre.
activation	en aktivering	Aktivering af kortet tager minutter.
activist	en aktivist	Aktivisten talte ved demonstrationen.
acute	akut	Hun følte akut smerte efter løbeturen.
adaptation	en tilpasning	Tilpasningen ændrede romanens slutning.
adhere	overholde	Personalet skal overholde sikkerhedsreglerne.
adjacent	tilstødende	Hotellet ligger tilstødende til stationen.
adjustment	en justering	En lille justering løste problemet.
administer	administrere	Sygeplejersker administrerer vaccinen omhyggeligt.
administrative	administrativ	Administrativt personale håndterer formularerne.
administrator	en administrator	Administratoren nulstillede min adgangskode.
admission	en adgang	Adgang til museet er gratis.
adolescent	en ung	Den unge havde brug for ekstra støtte.
adoption	en adoption	Adoptionen gav barnet et stabilt hjem.
adverse	ugunstig	Medicinen forårsagede ugunstige virkninger.
advocate	en talsmand	Talsmanden forsvarede lejernes rettigheder.
aesthetic	æstetisk	Rummet har en rolig æstetisk stil.
affection	en hengivenhed	Hun viste hengivenhed for sin familie.
aftermath	et efterspil	Efterspillet af stormen var svært.
aggression	en aggression	Læreren bemærkede aggression i frikvarteret.
agricultural	landbrugs-	Landbrugseksporten steg i år.
aide	en assistent	Assistenten organiserede ministerens tidsplan.
albeit	omend	Planen virkede, omend langsomt.
alert	advare	Advar venligst personalet med det samme.
align	flugte	Pilene flugter med vejen.
alignment	en sporing	En hjulsporing forbedrede bilens styring.
alike	ens	Tvillingerne klæder sig ens i weekenden.
allegation	en påstand	Påstanden fremgik af avisen.
allege	hævde	De hævder, at der gik penge tabt.
allegedly	angiveligt	Chaufføren ignorerede angiveligt advarslen.
alliance	en alliance	Partierne dannede en midlertidig alliance.
allocate	tildele	Byen vil tildele penge til skoler.
allocation	en tildeling	Tildelingen af pladser var uretfærdig.
allowance	lommepenge	Hendes lommepenge dækker frokost og transport.
ally	en allieret	Canada blev en tæt allieret.
aluminium	aluminium	Rammen er lavet af aluminium.
amateur	amatør	En amatørfotograf tog billedet.
ambassador	en ambassadør	Ambassadøren mødte lokale studerende.
amend	ændre	Parlamentet stemte for at ændre loven.
amendment	en ændring	Ændringen ændrede ét afsnit.
amid	midt i	Talen kom midt i voksende spænding.
analogy	en analogi	Læreren brugte en simpel analogi.
anchor	et anker	Båden kastede anker nær øen.
angel	en engel	Barnet havde et englekostume på.
anonymous	anonym	Klagen var anonym.
apparatus	et apparatur	Laboratoriets apparatur trænger til rengøring.
appealing	tiltalende	Tilbuddet ser tiltalende ud for studerende.
appetite	en appetit	Træning øgede hans appetit.
applaud	klappe	Publikum begyndte at klappe højlydt.
applicable	gældende	Rabatten er gældende i dag.
appoint	udnævne	Bestyrelsen vil udnævne en direktør.
appreciation	en påskønnelse	Hun udtrykte påskønnelse for deres hjælp.
arbitrary	vilkårlig	Deadlinen virkede vilkårlig for personalet.
architectural	arkitektonisk	Byen beskytter sin arkitektoniske arv.
archive	et arkiv	Arkivet gemmer gamle fotografier.
arena	en arena	Debatten flyttede ind på den offentlige arena.
arguably	velsagtens	Dette er velsagtens hans bedste roman.
arm	bevæbne	Vagtstyrken vil bevæbne konvojen.
array	et udvalg	Butikken tilbyder et udvalg af værktøjer.
articulate	formulere	Hun kan formulere komplekse ideer tydeligt.
ash	en aske	Aske dækkede bilen efter branden.
aspiration	en ambition	Hendes ambition er at blive kirurg.
aspire	stræbe	Mange studerende stræber efter at studere i udlandet.
assassination	et attentat	Attentatet ændrede landets politik.
assault	et overfald	Overfaldet skete nær stationen.
assemble	samle	Arbejdere samler møblerne i hånden.
assembly	en samling	Skolens samling starter klokken ni.
assert	hævde	Han forsøgte at hævde sin autoritet.
assertion	en påstand	Hendes påstand overraskede panelet.
assurance	en forsikring	Lederen gav en forsikring om støtte.
asylum	et asyl	Familien søgte asyl ved grænsen.
atrocity	en grusomhed	Filmen beskrev en grusomhed fra krigen.
attain	opnå	Få løbere opnår den hastighed.
attendance	et fremmøde	Fremmødet blev forbedret efter meddelelsen.
attorney	en advokat	Advokaten udspurgte vidnet.
attribute	tilskrive	Forskere tilskriver stigningen forurening.
audit	en revision	Revisionen fandt flere fejl.
authentic	autentisk	Restauranten serverer autentisk regional mad.
authorize	godkende	Kun ledere kan godkende refusioner.
auto	en bil	Bilindustrien ændrede sig hurtigt.
autonomy	en autonomi	Regionen ønsker større autonomi.
availability	en tilgængelighed	Tilgængeligheden af pladser er begrænset.
await	at afvente	Flere beskeder afventer dit svar.
backdrop	en baggrund	Bjergene dannede en dramatisk baggrund.
backing	en opbakning	Forslaget fik opbakning fra vælgerne.
backup	en backup	Systemet opretter en backup dagligt.
bail	en kaution	Dommeren fastsatte kautionen til middag.
ballot	en stemmeseddel	Hver vælger modtog en stemmeseddel.
banner	et banner	Banneret hang over indgangen.
bare	bar	Rummet havde bare vægge.
barrel	en tønde	Tønden var fuld af vand.
bass1	en bas	Bassen lød dyb og varm.
battlefield	en slagmark	Den gamle slagmark blev til et mindesmærke.
bay	en bugt	Landsbyen ligger ved siden af en stille bugt.
beam	en bjælke	En stålbjælke støtter taget.
beast	et udyr	Historien beskriver et glubsk udyr.
behalf	vegne	Hun talte på vegne af sit hold.
beloved	elsket	Den elskede lærer gik på pension i dag.
bench	en bænk	De sad på en træbænk.
benchmark	et benchmark	Testen blev en branchestandard.
beneath	under	Dokumenterne var under mappen.
beneficiary	en modtager	Hendes søn var hovedmodtageren.
betray	at forråde	Forråd ikke din vens tillid.
bind	at binde	Aftalen vil binde begge virksomheder.
biography	en biografi	Hans biografi solgte mange eksemplarer.
bishop	en biskop	Biskoppen besøgte landsbykirken.
bizarre	bizar	Filmen havde en bizar slutning.
blade	en klinge	Klingen skar rebet over.
blast	en eksplosion	Eksplosionen knuste nærliggende vinduer.
bleed	at bløde	Såret begyndte at bløde kraftigt.
blend	at blande	Bland saucen indtil den er jævn.
bless	at velsigne	Præsten vil velsigne huset.
blessing	en velsignelse	At have støtte var en velsignelse.
boast	at prale	Han kan lide at prale af penge.
bonus	en bonus	Medarbejderne fik en feriebonus.
boom	et opsving	Byen oplevede et byggeboom.
bounce	at hoppe	Bolden kan hoppe meget højt.
boundary	en grænse	Floden markerer grænsen.
bow1	et buk	Skuespilleren gav et dybt buk.
breach	et brud	Bruddet afslørede private data.
breakdown	en opdeling	Rapporten inkluderer en opdeling af omkostningerne.
breakthrough	et gennembrud	Opdagelsen var et stort gennembrud.
breed	at yngle	Disse fugle yngler om foråret.
broadband	et bredbånd	Kontoret har brug for hurtigere bredbånd.
browser	en browser	Opdater din browser før du logger ind.
brutal	brutal	Angrebet var brutalt og pludseligt.
buck	en dollar	Billetten koster ti dollars.
buddy	en kammerat	Hans kammerat ventede udenfor.
buffer	en buffer	Træerne skaber en støjbuffer.
bulk	en stor mængde	De købte ris i store mængder.
burden	en byrde	Gælden blev en tung byrde.
bureaucracy	et bureaukrati	Bureaukrati forsinkede tilladelsen.
burial	en begravelse	Begravelsen fandt sted ved daggry.
burst	at sprænge	Røret kan sprænge under tryk.
cabinet	et kabinet	Kabinettet godkendte planen.
calculation	en beregning	Beregningen tog flere minutter.
canvas	et lærred	Kunstneren malede på et stort lærred.
capability	en kapacitet	Enheden har trådløs kapacitet.
capitalism	en kapitalisme	Kapitalismen formede den moderne økonomi.
capitalist	kapitalistisk	Det kapitalistiske system belønner private investeringer.
cargo	en last	Skibet bar medicinsk last.
carriage	en togvogn	Togvognen var næsten tom.
carve	at skære	Han vil skære træet forsigtigt.
casino	et kasino	Kasinoet åbnede i nærheden af hotellet.
casualty	et offer	Styrtet forårsagede et offer.
catalogue	et katalog	Kataloget lister hvert produkt.
cater	at levere mad	Restauranten kan levere mad til store begivenheder.
cattle	kvæg	Kvæget græssede nær floden.
caution	en forsigtighed	Udvis forsigtighed på isglatte veje.
